aircraft_id,department,year,month,maintenance_hours,technician_id,effective_condition_score
TB2-B02,Beta,2022,3,11.3,G25008,86.2
TB2-B02,Beta,2022,4,8.3,G24128,83.0
TB2-B02,Beta,2022,5,18.4,G21967,89.1
TB2-B02,Beta,2022,6,25.0,G21267,87.9
TB2-B02,Beta,2022,7,19.7,G21967,91.2
TB2-B02,Beta,2022,8,18.8,G24284,88.2
TB2-B02,Beta,2022,9,16.6,G18175,89.6
TB2-B02,Beta,2022,10,20.4,G25778,95.6
TB2-B02,Beta,2022,11,23.0,G24796,91.5
TB2-B02,Beta,2022,12,13.0,G22413,91.1
TB2-B02,Beta,2023,1,24.3,G23964,87.3
TB2-B02,Beta,2023,2,12.1,G22413,81.6
TB2-B02,Beta,2023,3,13.4,G23763,83.7
TB2-B02,Beta,2023,4,9.4,G24043,85.5
TB2-B02,Beta,2023,5,15.8,G24010,92.7
TB2-B02,Beta,2023,6,7.0,G10758,83.9
TB2-B02,Beta,2023,7,16.8,G11685,84.3
TB2-B02,Beta,2023,8,10.6,G24796,84.3
TB2-B02,Beta,2023,9,13.0,G23895,84.7
TB2-B02,Beta,2023,10,21.7,G18175,86.9
TB2-B02,Beta,2023,11,22.8,G14731,92.2
TB2-B02,Beta,2023,12,11.4,G21070,88.4
TB2-B02,Beta,2024,1,12.8,G10758,81.5
TB2-B02,Beta,2024,2,22.8,G24580,91.1
TB2-B02,Beta,2024,3,19.4,G23945,86.7
TB2-B02,Beta,2024,4,22.2,G08962,84.8
TB2-B02,Beta,2024,5,19.0,G22473,84.9
TB2-B02,Beta,2024,6,26.2,G16019,87.4
TB2-B02,Beta,2024,7,13.2,G23964,81.2
TB2-B02,Beta,2024,8,19.4,G23945,88.7
TB2-B02,Beta,2024,9,8.8,G21267,82.1
TB2-B02,Beta,2024,10,27.2,G25915,89.5
TB2-B02,Beta,2024,11,26.0,G08962,90.9
TB2-B02,Beta,2024,12,14.2,G24796,86.5
TB2-B02,Beta,2025,1,7.7,G24250,85.3
TB2-B02,Beta,2025,2,18.1,G24309,85.5
TB2-B02,Beta,2025,3,21.3,G12425,85.1
TB2-B02,Beta,2025,4,15.8,G23763,84.5
TB2-B02,Beta,2025,5,17.2,G11685,87.6
TB2-B02,Beta,2025,6,19.4,G23964,87.1
TB2-B02,Beta,2025,7,25.0,G21967,92.4
TB2-B02,Beta,2025,8,13.3,G12593,80.8
TB2-B02,Beta,2025,9,15.7,G25778,80.6
TB2-B02,Beta,2025,10,26.9,G24309,84.0
TB2-B02,Beta,2025,11,24.5,G22473,88.3
TB2-B02,Beta,2025,12,19.7,G13609,84.0
TB2-B02,Beta,2026,1,20.4,G24128,77.8
TB2-B02,Beta,2026,2,19.3,G23895,82.1
TB2-B02,Beta,2026,3,16.9,G21267,82.0
TB2-B02,Beta,2026,4,27.2,G22413,89.4
TB2-B02,Beta,2026,5,22.2,G24879,84.7
TB2-B02,Beta,2026,6,27.9,G16019,83.0
TB2-B03,Beta,2023,1,11.3,G14731,90.2
TB2-B03,Beta,2023,2,14.6,G22473,86.3
TB2-B03,Beta,2023,3,4.8,G25778,96.4
TB2-B03,Beta,2023,4,17.8,G24250,96.0
TB2-B03,Beta,2023,5,17.0,G24010,97.7
TB2-B03,Beta,2023,6,18.9,G17208,100.0
TB2-B03,Beta,2023,7,12.5,G22544,91.4
TB2-B03,Beta,2023,8,4.0,G14731,97.4
TB2-B03,Beta,2023,9,14.1,G10758,94.3
TB2-B03,Beta,2023,10,12.1,G12593,95.5
TB2-B03,Beta,2023,11,13.3,G08568,95.3
TB2-B03,Beta,2023,12,7.2,G17208,95.7
TB2-B03,Beta,2024,1,18.7,G23299,93.2
TB2-B03,Beta,2024,2,18.5,G24309,93.1
TB2-B03,Beta,2024,3,10.5,G24284,93.0
TB2-B03,Beta,2024,4,13.0,G24879,93.2
TB2-B03,Beta,2024,5,16.3,G25778,91.1
TB2-B03,Beta,2024,6,14.1,G24038,88.3
TB2-B03,Beta,2024,7,4.0,G24796,90.2
TB2-B03,Beta,2024,8,13.0,G22473,95.1
TB2-B03,Beta,2024,9,19.8,G22544,98.4
TB2-B03,Beta,2024,10,7.4,G24128,94.5
TB2-B03,Beta,2024,11,16.3,G14731,92.4
TB2-B03,Beta,2024,12,15.7,G22544,97.4
TB2-B03,Beta,2025,1,18.8,G23895,91.1
TB2-B03,Beta,2025,2,11.6,G08568,91.7
TB2-B03,Beta,2025,3,10.7,G13609,86.5
TB2-B03,Beta,2025,4,21.2,G23226,95.6
TB2-B03,Beta,2025,5,7.9,G23763,96.8
TB2-B03,Beta,2025,6,22.7,G25008,95.0
TB2-B03,Beta,2025,7,25.5,G21967,93.7
TB2-B03,Beta,2025,8,14.4,G22544,88.3
TB2-B03,Beta,2025,9,21.3,G12593,91.3
TB2-B03,Beta,2025,10,16.8,G23226,94.7
TB2-B03,Beta,2025,11,18.7,G24309,93.6
TB2-B03,Beta,2025,12,12.2,G10758,83.9
TB2-B03,Beta,2026,1,20.5,G24309,89.9
TB2-B03,Beta,2026,2,11.4,G08568,89.6
TB2-B03,Beta,2026,3,16.9,G22413,92.4
TB2-B03,Beta,2026,4,12.8,G24128,86.0
TB2-B03,Beta,2026,5,16.3,G25915,94.3
TB2-B03,Beta,2026,6,12.9,G25915,86.0
TB2-B04,Beta,2021,1,20.9,G16019,92.8
TB2-B04,Beta,2021,2,17.4,G25915,92.4
TB2-B04,Beta,2021,3,20.4,G17208,90.0
TB2-B04,Beta,2021,4,20.1,G08568,94.4
TB2-B04,Beta,2021,5,15.1,G13609,91.7
TB2-B04,Beta,2021,6,12.4,G16019,91.1
TB2-B04,Beta,2021,7,17.0,G23945,87.3
TB2-B04,Beta,2021,8,17.0,G24284,88.3
TB2-B04,Beta,2021,9,9.9,G22544,88.1
TB2-B04,Beta,2021,10,11.2,G23964,89.8
TB2-B04,Beta,2021,11,15.3,G23299,88.3
TB2-B04,Beta,2021,12,6.3,G16019,94.9
TB2-B04,Beta,2022,1,8.5,G13609,83.2
TB2-B04,Beta,2022,2,6.8,G12593,88.1
TB2-B04,Beta,2022,3,8.5,G25778,88.6
TB2-B04,Beta,2022,4,4.0,G11685,89.0
TB2-B04,Beta,2022,5,14.0,G17208,91.0
TB2-B04,Beta,2022,6,20.1,G25915,90.9
TB2-B04,Beta,2022,7,10.1,G24796,83.7
TB2-B04,Beta,2022,8,12.4,G22544,83.5
TB2-B04,Beta,2022,9,19.3,G24250,86.5
TB2-B04,Beta,2022,10,16.1,G23945,86.8
TB2-B04,Beta,2022,11,4.0,G25778,82.5
TB2-B04,Beta,2022,12,12.6,G24128,87.4
TB2-B04,Beta,2023,1,24.1,G22635,88.1
TB2-B04,Beta,2023,2,18.7,G24796,88.2
TB2-B04,Beta,2023,3,18.5,G13609,90.8
TB2-B04,Beta,2023,4,14.8,G24309,87.3
TB2-B04,Beta,2023,5,12.3,G24010,81.2
TB2-B04,Beta,2023,6,16.6,G24879,88.7
TB2-B04,Beta,2023,7,13.0,G21967,85.7
TB2-B04,Beta,2023,8,19.3,G23299,85.3
TB2-B04,Beta,2023,9,17.1,G16019,90.9
TB2-B04,Beta,2023,10,24.4,G22635,89.7
TB2-B04,Beta,2023,11,8.4,G08962,81.0
TB2-B04,Beta,2023,12,15.7,G08962,92.2
TB2-B04,Beta,2024,1,14.4,G21070,83.7
TB2-B04,Beta,2024,2,9.9,G25915,86.7
TB2-B04,Beta,2024,3,11.9,G22473,80.9
TB2-B04,Beta,2024,4,28.7,G22544,87.7
TB2-B04,Beta,2024,5,19.4,G16019,86.8
TB2-B04,Beta,2024,6,13.6,G21070,82.8
TB2-B04,Beta,2024,7,17.5,G22544,87.2
TB2-B04,Beta,2024,8,19.3,G16019,83.0
TB2-B04,Beta,2024,9,19.8,G25778,86.0
TB2-B04,Beta,2024,10,14.0,G25915,84.4
TB2-B04,Beta,2024,11,16.6,G23922,80.7
TB2-B04,Beta,2024,12,22.3,G23299,90.9
TB2-B04,Beta,2025,1,16.0,G25008,81.7
TB2-B04,Beta,2025,2,19.0,G13609,84.2
TB2-B04,Beta,2025,3,22.7,G22544,85.0
TB2-B04,Beta,2025,4,16.8,G24043,85.1
TB2-B04,Beta,2025,5,22.9,G10758,87.3
TB2-B04,Beta,2025,6,16.6,G11685,90.3
TB2-B04,Beta,2025,7,17.0,G17208,90.3
TB2-B04,Beta,2025,8,25.5,G24580,89.7
TB2-B04,Beta,2025,9,16.5,G10138,78.0
TB2-B04,Beta,2025,10,8.4,G22473,80.6
TB2-B04,Beta,2025,11,10.4,G24796,88.5
TB2-B04,Beta,2025,12,23.9,G23226,90.6
TB2-B04,Beta,2026,1,13.2,G22544,84.4
TB2-B04,Beta,2026,2,13.2,G24010,80.7
TB2-B04,Beta,2026,3,20.1,G23964,86.3
TB2-B04,Beta,2026,4,11.4,G23226,83.6
TB2-B04,Beta,2026,5,17.8,G10758,83.8
TB2-B04,Beta,2026,6,16.4,G21267,86.0
TB2-D01,Delta,2023,4,13.5,G13401,82.8
TB2-D01,Delta,2023,5,6.7,G13194,87.0
TB2-D01,Delta,2023,6,4.0,G22415,87.5
TB2-D01,Delta,2023,7,7.0,G25584,81.7
TB2-D01,Delta,2023,8,14.5,G13401,81.7
TB2-D01,Delta,2023,9,21.9,G24951,90.2
TB2-D01,Delta,2023,10,8.6,G11903,82.2
TB2-D01,Delta,2023,11,10.7,G25456,83.3
TB2-D01,Delta,2023,12,17.5,G21565,84.2
TB2-D01,Delta,2024,1,12.3,G11903,83.4
TB2-D01,Delta,2024,2,20.4,G23074,88.8
TB2-D01,Delta,2024,3,12.3,G07405,77.8
TB2-D01,Delta,2024,4,8.0,G21565,81.7
TB2-D01,Delta,2024,5,13.8,G24390,82.7
TB2-D01,Delta,2024,6,12.9,G25584,84.4
TB2-D01,Delta,2024,7,13.8,G23312,81.3
TB2-D01,Delta,2024,8,4.0,G25456,79.3
TB2-D01,Delta,2024,9,19.6,G24065,84.5
TB2-D01,Delta,2024,10,15.1,G25177,85.1
TB2-D01,Delta,2024,11,13.2,G22436,79.8
TB2-D01,Delta,2024,12,9.2,G13401,83.4
TB2-D01,Delta,2025,1,12.5,G13194,77.6
TB2-D01,Delta,2025,2,16.1,G22535,78.2
TB2-D01,Delta,2025,3,17.9,G21565,85.4
TB2-D01,Delta,2025,4,13.6,G23918,79.8
TB2-D01,Delta,2025,5,15.3,G13401,83.0
TB2-D01,Delta,2025,6,18.9,G13194,79.7
TB2-D01,Delta,2025,7,17.8,G24951,84.5
TB2-D01,Delta,2025,8,17.8,G25132,83.4
TB2-D01,Delta,2025,9,13.9,G24951,82.6
TB2-D01,Delta,2025,10,11.7,G22037,78.3
TB2-D01,Delta,2025,11,15.2,G25177,83.4
TB2-D01,Delta,2025,12,15.1,G24311,85.8
TB2-D01,Delta,2026,1,18.9,G24311,79.6
TB2-D01,Delta,2026,2,13.2,G07673,79.0
TB2-D01,Delta,2026,3,12.7,G20187,77.0
TB2-D01,Delta,2026,4,14.6,G25132,80.4
TB2-D01,Delta,2026,5,17.2,G11789,78.8
TB2-D01,Delta,2026,6,15.3,G15955,79.3
TB2-D02,Delta,2022,8,11.5,G23312,97.7
TB2-D02,Delta,2022,9,13.6,G23810,94.4
TB2-D02,Delta,2022,10,20.4,G22579,93.1
TB2-D02,Delta,2022,11,4.0,G25132,97.4
TB2-D02,Delta,2022,12,11.5,G23804,93.0
TB2-D02,Delta,2023,1,13.0,G11789,94.4
TB2-D02,Delta,2023,2,8.4,G22436,89.5
TB2-D02,Delta,2023,3,12.0,G13194,89.4
TB2-D02,Delta,2023,4,11.6,G22436,90.0
TB2-D02,Delta,2023,5,14.3,G25707,92.0
TB2-D02,Delta,2023,6,16.6,G22977,93.0
TB2-D02,Delta,2023,7,15.2,G24151,92.9
TB2-D02,Delta,2023,8,7.9,G11903,85.5
TB2-D02,Delta,2023,9,13.8,G11789,90.5
TB2-D02,Delta,2023,10,9.3,G24311,92.2
TB2-D02,Delta,2023,11,9.4,G25177,91.0
TB2-D02,Delta,2023,12,16.9,G22168,97.8
TB2-D02,Delta,2024,1,12.1,G11903,89.2
TB2-D02,Delta,2024,2,19.9,G25584,93.9
TB2-D02,Delta,2024,3,12.9,G11903,86.5
TB2-D02,Delta,2024,4,13.7,G23918,87.9
TB2-D02,Delta,2024,5,25.0,G07673,97.0
TB2-D02,Delta,2024,6,8.3,G15955,87.5
TB2-D02,Delta,2024,7,10.8,G23810,86.1
TB2-D02,Delta,2024,8,12.1,G23626,94.3
TB2-D02,Delta,2024,9,21.4,G22436,95.1
TB2-D02,Delta,2024,10,14.8,G22535,96.6
TB2-D02,Delta,2024,11,21.6,G22415,92.0
TB2-D02,Delta,2024,12,10.3,G24151,92.9
TB2-D02,Delta,2025,1,9.3,G07820,88.8
TB2-D02,Delta,2025,2,4.0,G21565,83.2
TB2-D02,Delta,2025,3,9.5,G11789,94.8
TB2-D02,Delta,2025,4,13.5,G20187,93.1
TB2-D02,Delta,2025,5,23.7,G21565,92.1
TB2-D02,Delta,2025,6,23.7,G25062,88.2
TB2-D02,Delta,2025,7,11.4,G25132,82.3
TB2-D02,Delta,2025,8,9.0,G21565,86.4
TB2-D02,Delta,2025,9,23.1,G21565,92.2
TB2-D02,Delta,2025,10,13.5,G13401,91.1
TB2-D02,Delta,2025,11,17.1,G22168,94.3
TB2-D02,Delta,2025,12,18.1,G24311,92.6
TB2-D02,Delta,2026,1,14.2,G09841,92.3
TB2-D02,Delta,2026,2,16.3,G25584,84.1
TB2-D02,Delta,2026,3,11.6,G24390,88.2
TB2-D02,Delta,2026,4,17.8,G23804,86.5
TB2-D02,Delta,2026,5,22.0,G22579,91.7
TB2-D02,Delta,2026,6,21.2,G25584,92.6
TB2-D03,Delta,2023,7,11.3,G22535,86.9
