person_id,year,age_group,pullups_count,run_3km_minutes,pullup_score,run_score,fitness_score,result
AO21304,2026,2,13,13.66,78.8,98.4,88.6,Pass
AO24033,2024,1,9,15.02,55.0,79.8,67.4,Pass
AO24033,2025,1,17,13.53,95.0,94.7,94.9,Pass
AO24033,2026,1,10,11.85,60.0,100.0,80.0,Pass
AO25712,2024,1,15,12.39,85.0,100.0,92.5,Pass
AO25712,2025,1,14,14.06,80.0,89.4,84.7,Pass
AO25712,2026,1,13,12.88,75.0,100.0,87.5,Pass
AO21586,2021,1,19,12.0,100.0,100.0,100.0,Pass
AO21586,2022,1,14,12.51,80.0,100.0,90.0,Pass
AO21586,2023,1,15,12.52,85.0,100.0,92.5,Pass
AO21586,2024,1,9,12.3,55.0,100.0,77.5,Pass
AO21586,2025,1,12,14.82,70.0,81.8,75.9,Pass
AO21586,2026,1,14,13.39,80.0,96.1,88.1,Pass
AO24023,2024,1,12,12.88,70.0,100.0,85.0,Pass
AO24023,2025,1,8,10.62,50.0,100.0,75.0,Pass
AO24023,2026,1,8,11.39,50.0,100.0,75.0,Pass
AO21458,2023,2,9,13.65,57.6,98.5,78.1,Pass
AO21458,2024,2,22,12.71,100.0,100.0,100.0,Pass
AO21458,2025,2,6,13.43,41.8,100.0,70.9,Pass
AO21458,2026,2,10,14.59,62.9,89.1,76.0,Pass
AO18524,2022,1,13,11.58,75.0,100.0,87.5,Pass
AO18524,2023,2,15,13.47,89.4,100.0,94.7,Pass
AO18524,2024,2,12,12.96,73.5,100.0,86.8,Pass
AO18524,2025,2,21,13.68,100.0,98.2,99.1,Pass
AO18524,2026,2,13,13.9,78.8,96.0,87.4,Pass
AO12328,2021,3,8,14.1,55.0,99.0,77.0,Pass
AO12328,2022,3,10,17.03,66.2,69.7,68.0,Pass
AO12328,2023,3,8,16.39,55.0,76.1,65.6,Pass
AO12328,2024,3,9,12.49,60.6,100.0,80.3,Pass
AO12328,2025,4,12,14.31,82.0,100.0,91.0,Pass
AO12328,2026,4,11,15.01,76.0,94.9,85.5,Pass
AO16636,2021,2,7,14.58,47.1,89.2,68.2,Pass
AO16636,2022,2,10,15.08,62.9,84.2,73.6,Pass
AO16636,2023,2,7,13.25,47.1,100.0,73.6,Pass
AO16636,2024,3,4,11.77,32.5,100.0,66.3,Pass
AO16636,2025,3,10,14.05,66.2,99.5,82.9,Pass
AO16636,2026,3,7,13.31,49.4,100.0,74.7,Pass
AO25389,2024,1,12,15.4,70.0,76.0,73.0,Pass
AO25389,2025,1,15,13.38,85.0,96.2,90.6,Pass
AO25389,2026,1,9,12.61,55.0,100.0,77.5,Pass
AO25228,2024,1,17,15.78,95.0,72.2,83.6,Pass
AO25228,2025,1,15,14.96,85.0,80.4,82.7,Pass
AO25228,2026,1,13,10.67,75.0,100.0,87.5,Pass
AO18688,2024,2,10,12.03,62.9,100.0,81.5,Pass
AO18688,2025,2,5,14.7,36.5,88.0,62.3,Pass
AO18688,2026,3,11,15.85,71.9,81.5,76.7,Pass
AO20164,2021,1,15,15.0,85.0,80.0,82.5,Pass
AO20164,2022,1,12,10.71,70.0,100.0,85.0,Pass
AO20164,2023,1,15,12.66,85.0,100.0,92.5,Pass
AO20164,2024,2,8,11.41,52.4,100.0,76.2,Pass
AO20164,2025,2,19,13.96,100.0,95.4,97.7,Pass
AO20164,2026,2,14,14.05,84.1,94.5,89.3,Pass
AO25328,2024,1,18,11.43,100.0,100.0,100.0,Pass
AO25328,2025,1,14,10.71,80.0,100.0,90.0,Pass
AO25328,2026,1,15,10.58,85.0,100.0,92.5,Pass
AO24416,2023,1,17,14.8,95.0,82.0,88.5,Pass
AO24416,2024,1,15,11.59,85.0,100.0,92.5,Pass
AO24416,2025,1,15,13.65,85.0,93.5,89.3,Pass
AO24416,2026,1,15,12.11,85.0,100.0,92.5,Pass
AO22646,2021,1,13,14.49,75.0,85.1,80.1,Pass
AO22646,2022,1,13,12.05,75.0,100.0,87.5,Pass
AO22646,2023,1,9,16.36,55.0,66.4,60.7,Pass
AO22646,2024,1,17,16.92,95.0,60.8,77.9,Pass
AO22646,2025,1,17,14.32,95.0,86.8,90.9,Pass
AO22646,2026,2,13,14.42,78.8,90.8,84.8,Pass
AO22701,2023,1,9,14.5,55.0,85.0,70.0,Pass
AO22701,2024,2,11,13.04,68.2,100.0,84.1,Pass
AO22701,2025,2,17,12.16,100.0,100.0,100.0,Pass
AO22701,2026,2,13,12.71,78.8,100.0,89.4,Pass
AO24250,2023,1,13,12.12,75.0,100.0,87.5,Pass
AO24250,2024,1,14,14.02,80.0,89.8,84.9,Pass
AO24250,2025,1,19,14.08,100.0,89.2,94.6,Pass
AO24250,2026,1,14,12.22,80.0,100.0,90.0,Pass
AO22585,2021,1,8,14.87,50.0,81.3,65.7,Pass
AO22585,2022,1,17,12.77,95.0,100.0,97.5,Pass
AO22585,2023,1,14,10.29,80.0,100.0,90.0,Pass
AO22585,2024,1,10,14.11,60.0,88.9,74.5,Pass
AO22585,2025,1,11,12.41,65.0,100.0,82.5,Pass
AO22585,2026,2,15,13.2,89.4,100.0,94.7,Pass
AO12461,2021,2,12,15.55,73.5,79.5,76.5,Pass
AO12461,2022,3,14,14.68,88.8,93.2,91.0,Pass
AO12461,2023,3,14,14.28,88.8,97.2,93.0,Pass
AO12461,2024,3,8,15.12,55.0,88.8,71.9,Pass
AO12461,2025,3,13,16.25,83.1,77.5,80.3,Pass
AO12461,2026,3,5,13.04,38.1,100.0,69.1,Pass
AO19336,2021,1,9,15.1,55.0,79.0,67.0,Pass
AO19336,2022,1,9,11.24,55.0,100.0,77.5,Pass
AO19336,2023,2,13,16.82,78.8,66.8,72.8,Pass
AO19336,2024,2,15,10.94,89.4,100.0,94.7,Pass
AO19336,2025,2,13,14.75,78.8,87.5,83.2,Pass
AO19336,2026,2,12,14.21,73.5,92.9,83.2,Pass
AO17172,2023,2,18,14.18,100.0,93.2,96.6,Pass
AO17172,2024,2,10,14.75,62.9,87.5,75.2,Pass
AO17172,2025,2,13,13.57,78.8,99.3,89.1,Pass
AO17172,2026,3,9,12.5,60.6,100.0,80.3,Pass
AO22921,2021,1,15,12.65,85.0,100.0,92.5,Pass
AO22921,2022,1,11,11.72,65.0,100.0,82.5,Pass
AO22921,2023,1,9,14.32,55.0,86.8,70.9,Pass
AO22921,2024,1,10,12.25,60.0,100.0,80.0,Pass
AO22921,2025,2,8,10.55,52.4,100.0,76.2,Pass
AO22921,2026,2,9,13.04,57.6,100.0,78.8,Pass
AO20473,2021,1,8,11.49,50.0,100.0,75.0,Pass
AO20473,2022,1,15,14.03,85.0,89.7,87.4,Pass
AO20473,2023,1,8,13.24,50.0,97.6,73.8,Pass
AO20473,2024,1,10,14.57,60.0,84.3,72.2,Pass
AO20473,2025,2,11,11.98,68.2,100.0,84.1,Pass
AO20473,2026,2,9,13.04,57.6,100.0,78.8,Pass
AO24361,2024,1,13,15.01,75.0,79.9,77.5,Pass
AO24361,2025,1,11,12.22,65.0,100.0,82.5,Pass
AO24361,2026,1,15,14.07,85.0,89.3,87.2,Pass
AO11628,2022,3,9,12.1,60.6,100.0,80.3,Pass
AO11628,2023,3,9,14.48,60.6,95.2,77.9,Pass
AO11628,2024,4,16,13.13,100.0,100.0,100.0,Pass
AO11628,2025,4,8,15.01,58.0,94.9,76.5,Pass
AO11628,2026,4,11,13.19,76.0,100.0,88.0,Pass
AO21607,2021,1,13,13.55,75.0,94.5,84.8,Pass
AO21607,2022,1,19,10.88,100.0,100.0,100.0,Pass
AO21607,2023,2,13,13.53,78.8,99.7,89.3,Pass
AO21607,2024,2,17,13.22,100.0,100.0,100.0,Pass
AO21607,2025,2,18,13.42,100.0,100.0,100.0,Pass
AO21607,2026,2,19,11.31,100.0,100.0,100.0,Pass
AO17445,2024,2,8,12.88,52.4,100.0,76.2,Pass
AO17445,2025,3,9,13.03,60.6,100.0,80.3,Pass
AO17445,2026,3,11,14.08,71.9,99.2,85.6,Pass
AO22937,2024,1,12,13.34,70.0,96.6,83.3,Pass
AO22937,2025,2,17,14.33,100.0,91.7,95.9,Pass
AO22937,2026,2,16,13.92,94.7,95.8,95.3,Pass
AO23491,2023,1,14,11.93,80.0,100.0,90.0,Pass
AO23491,2024,1,13,11.54,75.0,100.0,87.5,Pass
AO23491,2025,1,15,14.62,85.0,83.8,84.4,Pass
AO23491,2026,1,11,10.91,65.0,100.0,82.5,Pass
AO18742,2023,2,13,15.45,78.8,80.5,79.7,Pass
AO18742,2024,2,12,11.9,73.5,100.0,86.8,Pass
AO18742,2025,2,4,14.62,31.2,88.8,60.0,Pass
AO18742,2026,2,12,14.38,73.5,91.2,82.4,Pass
AO15635,2021,2,7,13.92,47.1,95.8,71.5,Pass
AO15635,2022,2,11,14.41,68.2,90.9,79.6,Pass
AO15635,2023,3,10,13.41,66.2,100.0,83.1,Pass
AO15635,2024,3,9,15.27,60.6,87.3,74.0,Pass
AO15635,2025,3,7,10.87,49.4,100.0,74.7,Pass
AO15635,2026,3,9,14.03,60.6,99.7,80.2,Pass
G23402,2024,1,12,15.72,70.0,72.8,71.4,Pass
G23402,2025,1,16,10.53,90.0,100.0,95.0,Pass
G23402,2026,1,13,13.41,75.0,95.9,85.5,Pass
G19017,2021,1,22,12.75,100.0,100.0,100.0,Pass
G19017,2022,1,20,13.96,100.0,90.4,95.2,Pass
G19017,2023,1,22,14.26,100.0,87.4,93.7,Pass
G19017,2024,2,16,15.38,94.7,81.2,88.0,Pass
G19017,2025,2,16,13.79,94.7,97.1,95.9,Pass
G19017,2026,2,20,13.42,100.0,100.0,100.0,Pass
G22746,2024,1,9,12.92,55.0,100.0,77.5,Pass
G22746,2025,1,14,10.97,80.0,100.0,90.0,Pass
G22746,2026,1,16,13.88,90.0,91.2,90.6,Pass
G23357,2023,1,14,13.81,80.0,91.9,86.0,Pass
G23357,2024,1,15,10.39,85.0,100.0,92.5,Pass
G23357,2025,1,13,14.2,75.0,88.0,81.5,Pass
G23357,2026,1,15,15.36,85.0,76.4,80.7,Pass
G18673,2023,1,23,12.55,100.0,100.0,100.0,Pass
G18673,2024,2,20,12.62,100.0,100.0,100.0,Pass
G18673,2025,2,22,11.46,100.0,100.0,100.0,Pass
G18673,2026,2,20,11.71,100.0,100.0,100.0,Pass
G11740,2021,3,24,13.66,100.0,100.0,100.0,Pass
G11740,2022,3,17,10.87,100.0,100.0,100.0,Pass
G11740,2023,3,21,13.06,100.0,100.0,100.0,Pass
G11740,2024,3,24,13.73,100.0,100.0,100.0,Pass
G11740,2025,3,20,14.03,100.0,99.7,99.9,Pass
G11740,2026,4,25,13.23,100.0,100.0,100.0,Pass
G23944,2022,1,15,14.85,85.0,81.5,83.3,Pass
G23944,2023,1,14,12.41,80.0,100.0,90.0,Pass
G23944,2024,1,18,11.55,100.0,100.0,100.0,Pass
G23944,2025,1,19,15.62,100.0,73.8,86.9,Pass
G23944,2026,1,22,14.72,100.0,82.8,91.4,Pass
G22677,2023,1,18,13.95,100.0,90.5,95.3,Pass
G22677,2024,1,17,13.14,95.0,98.6,96.8,Pass
G22677,2025,1,20,16.53,100.0,64.7,82.4,Pass
G22677,2026,2,16,14.44,94.7,90.6,92.7,Pass
G25596,2024,1,11,12.69,65.0,100.0,82.5,Pass
G25596,2025,1,10,12.41,60.0,100.0,80.0,Pass
G25596,2026,1,15,13.46,85.0,95.4,90.2,Pass
G23288,2023,1,13,15.47,75.0,75.3,75.2,Pass
G23288,2024,1,13,13.97,75.0,90.3,82.7,Pass
G23288,2025,1,12,15.52,70.0,74.8,72.4,Pass
G23288,2026,1,17,15.82,95.0,71.8,83.4,Pass
G25878,2024,1,11,13.36,65.0,96.4,80.7,Pass
G25878,2025,1,16,12.76,90.0,100.0,95.0,Pass
G25878,2026,1,13,14.11,75.0,88.9,82.0,Pass
G25956,2024,1,15,15.87,85.0,71.3,78.2,Pass
G25956,2025,1,7,15.9,45.0,71.0,58.0,Fail
G25956,2026,1,16,16.65,90.0,63.5,76.8,Pass
G22091,2024,1,20,11.89,100.0,100.0,100.0,Pass
G22091,2025,1,19,13.96,100.0,90.4,95.2,Pass
G22091,2026,1,26,12.08,100.0,100.0,100.0,Pass
G18716,2021,1,20,13.77,100.0,92.3,96.2,Pass
G18716,2022,1,22,13.25,100.0,97.5,98.8,Pass
G18716,2023,2,19,11.94,100.0,100.0,100.0,Pass
G18716,2024,2,16,14.62,94.7,88.8,91.8,Pass
G18716,2025,2,19,14.42,100.0,90.8,95.4,Pass
G18716,2026,2,22,14.72,100.0,87.8,93.9,Pass
G22153,2022,1,17,13.52,95.0,94.8,94.9,Pass
G22153,2023,1,16,13.52,90.0,94.8,92.4,Pass
G22153,2024,1,19,15.46,100.0,75.4,87.7,Pass
G22153,2025,1,17,14.67,95.0,83.3,89.2,Pass
G22153,2026,1,10,14.97,60.0,80.3,70.2,Pass
G11488,2021,3,25,13.03,100.0,100.0,100.0,Pass
G11488,2022,3,23,9.0,100.0,100.0,100.0,Pass
G11488,2023,3,20,12.14,100.0,100.0,100.0,Pass
G11488,2024,3,25,12.36,100.0,100.0,100.0,Pass
G11488,2025,3,26,12.68,100.0,100.0,100.0,Pass
G11488,2026,4,30,13.44,100.0,100.0,100.0,Pass
G24197,2024,1,18,15.69,100.0,73.1,86.6,Pass
G24197,2025,1,10,17.62,60.0,53.8,56.9,Fail
G24197,2026,1,15,17.07,85.0,59.3,72.2,Pass
G17139,2023,2,18,9.0,100.0,100.0,100.0,Pass
G17139,2024,2,21,11.54,100.0,100.0,100.0,Pass
G17139,2025,2,22,15.24,100.0,82.6,91.3,Pass
G17139,2026,2,29,12.95,100.0,100.0,100.0,Pass
G22314,2022,1,15,10.83,85.0,100.0,92.5,Pass
G22314,2023,1,14,13.51,80.0,94.9,87.5,Pass
G22314,2024,1,19,13.21,100.0,97.9,99.0,Pass
G22314,2025,1,18,10.46,100.0,100.0,100.0,Pass
G22314,2026,1,17,14.85,95.0,81.5,88.3,Pass
G23423,2023,1,8,14.97,50.0,80.3,65.2,Pass
G23423,2024,1,15,12.82,85.0,100.0,92.5,Pass
G23423,2025,1,17,14.24,95.0,87.6,91.3,Pass
G23423,2026,1,14,14.14,80.0,88.6,84.3,Pass
G13885,2023,2,20,13.67,100.0,98.3,99.2,Pass
G13885,2024,3,17,11.84,100.0,100.0,100.0,Pass
G13885,2025,3,23,12.59,100.0,100.0,100.0,Pass
G13885,2026,3,23,11.39,100.0,100.0,100.0,Pass
G08643,2021,3,18,13.79,100.0,100.0,100.0,Pass
G08643,2022,3,24,11.24,100.0,100.0,100.0,Pass
G08643,2023,3,22,13.93,100.0,100.0,100.0,Pass
G08643,2024,4,24,12.28,100.0,100.0,100.0,Pass
G08643,2025,4,22,11.11,100.0,100.0,100.0,Pass
G08643,2026,4,25,13.82,100.0,100.0,100.0,Pass
G08693,2024,3,28,15.26,100.0,87.4,93.7,Pass
G08693,2025,4,24,12.42,100.0,100.0,100.0,Pass
G08693,2026,4,18,12.39,100.0,100.0,100.0,Pass
G23673,2023,1,14,13.98,80.0,90.2,85.1,Pass
G23673,2024,1,16,12.42,90.0,100.0,95.0,Pass
G23673,2025,1,21,12.43,100.0,100.0,100.0,Pass
G23673,2026,1,15,11.7,85.0,100.0,92.5,Pass
G24293,2024,1,16,16.91,90.0,60.9,75.5,Pass
G24293,2025,1,15,12.74,85.0,100.0,92.5,Pass
G24293,2026,1,16,14.98,90.0,80.2,85.1,Pass
G23445,2023,1,14,16.54,80.0,64.6,72.3,Pass
G23445,2024,1,10,15.9,60.0,71.0,65.5,Pass
G23445,2025,1,16,15.37,90.0,76.3,83.2,Pass
G23445,2026,1,9,11.95,55.0,100.0,77.5,Pass
G21944,2021,1,16,13.67,90.0,93.3,91.7,Pass
G21944,2022,1,20,12.17,100.0,100.0,100.0,Pass
G21944,2023,1,15,12.9,85.0,100.0,92.5,Pass
G21944,2024,1,15,13.39,85.0,96.1,90.6,Pass
G21944,2025,1,15,13.07,85.0,99.3,92.2,Pass
G21944,2026,1,16,13.62,90.0,93.8,91.9,Pass
G22075,2021,1,13,12.4,75.0,100.0,87.5,Pass
G22075,2022,1,21,15.26,100.0,77.4,88.7,Pass
G22075,2023,1,20,13.97,100.0,90.3,95.2,Pass
G22075,2024,1,11,12.84,65.0,100.0,82.5,Pass
G22075,2025,1,17,12.65,95.0,100.0,97.5,Pass
G22075,2026,1,18,11.82,100.0,100.0,100.0,Pass
G23253,2023,1,10,14.03,60.0,89.7,74.9,Pass
G23253,2024,1,14,15.96,80.0,70.4,75.2,Pass
G23253,2025,1,11,16.81,65.0,61.9,63.5,Pass
G23253,2026,1,3,15.24,25.0,77.6,51.3,Fail
G22963,2021,1,16,16.23,90.0,67.7,78.9,Pass
G22963,2022,1,15,13.01,85.0,99.9,92.5,Pass
G22963,2023,1,13,13.57,75.0,94.3,84.7,Pass
G22963,2024,1,16,14.36,90.0,86.4,88.2,Pass
G22963,2025,1,20,14.25,100.0,87.5,93.8,Pass
G22963,2026,1,14,14.16,80.0,88.4,84.2,Pass
G22206,2022,1,14,15.1,80.0,79.0,79.5,Pass
G22206,2023,1,23,13.59,100.0,94.1,97.1,Pass
G22206,2024,1,17,11.72,95.0,100.0,97.5,Pass
G22206,2025,1,18,15.24,100.0,77.6,88.8,Pass
G22206,2026,1,20,12.93,100.0,100.0,100.0,Pass
G23305,2023,1,9,15.37,55.0,76.3,65.7,Pass
G23305,2024,1,14,13.93,80.0,90.7,85.4,Pass
G23305,2025,1,19,12.97,100.0,100.0,100.0,Pass
G23305,2026,1,14,16.81,80.0,61.9,71.0,Pass
G24645,2023,1,13,15.68,75.0,73.2,74.1,Pass
G24645,2024,1,14,15.95,80.0,70.5,75.3,Pass
G24645,2025,1,14,14.65,80.0,83.5,81.8,Pass
G24645,2026,1,21,14.43,100.0,85.7,92.9,Pass
G25276,2024,1,12,12.6,70.0,100.0,85.0,Pass
G25276,2025,1,9,16.24,55.0,67.6,61.3,Pass
G25276,2026,1,10,16.21,60.0,67.9,64.0,Pass
G24726,2024,1,18,16.14,100.0,68.6,84.3,Pass
G24726,2025,1,18,15.68,100.0,73.2,86.6,Pass
G24726,2026,1,14,13.91,80.0,90.9,85.5,Pass
G22585,2021,1,16,15.67,90.0,73.3,81.7,Pass
G22585,2022,1,15,12.51,85.0,100.0,92.5,Pass
G22585,2023,1,17,12.69,95.0,100.0,97.5,Pass
G22585,2024,1,20,16.05,100.0,69.5,84.8,Pass
G22585,2025,1,24,10.79,100.0,100.0,100.0,Pass
G22585,2026,1,20,14.15,100.0,88.5,94.3,Pass
G18574,2021,1,26,13.03,100.0,99.7,99.9,Pass
G18574,2022,1,21,11.9,100.0,100.0,100.0,Pass
G18574,2023,2,24,13.65,100.0,98.5,99.3,Pass
G18574,2024,2,23,13.95,100.0,95.5,97.8,Pass
G18574,2025,2,18,15.38,100.0,81.2,90.6,Pass
G18574,2026,2,17,14.06,100.0,94.4,97.2,Pass
G24803,2024,1,10,14.16,60.0,88.4,74.2,Pass
G24803,2025,1,12,13.71,70.0,92.9,81.5,Pass
G24803,2026,1,11,17.67,65.0,53.3,59.2,Fail
G24422,2024,1,12,15.67,70.0,73.3,71.7,Pass
G24422,2025,1,13,18.24,75.0,47.6,61.3,Pass
G24422,2026,1,15,17.09,85.0,59.1,72.1,Pass
G24379,2024,1,18,16.24,100.0,67.6,83.8,Pass
G24379,2025,1,15,15.87,85.0,71.3,78.2,Pass
G24379,2026,1,12,12.93,70.0,100.0,85.0,Pass
G20209,2021,1,18,13.28,100.0,97.2,98.6,Pass
G20209,2022,1,13,12.59,75.0,100.0,87.5,Pass
G20209,2023,1,18,13.31,100.0,96.9,98.5,Pass
G20209,2024,1,22,13.3,100.0,97.0,98.5,Pass
G20209,2025,1,17,14.14,95.0,88.6,91.8,Pass
G20209,2026,2,17,12.3,100.0,100.0,100.0,Pass
G23995,2023,1,9,13.04,55.0,99.6,77.3,Pass
G23995,2024,1,11,14.18,65.0,88.2,76.6,Pass
G23995,2025,1,16,15.61,90.0,73.9,82.0,Pass
G23995,2026,1,10,15.51,60.0,74.9,67.5,Pass
G15195,2021,2,21,15.48,100.0,80.2,90.1,Pass
G15195,2022,2,17,11.85,100.0,100.0,100.0,Pass
G15195,2023,2,29,14.12,100.0,93.8,96.9,Pass
G15195,2024,2,21,13.67,100.0,98.3,99.2,Pass
G15195,2025,2,23,14.39,100.0,91.1,95.6,Pass
G15195,2026,3,19,11.19,100.0,100.0,100.0,Pass
G10686,2023,3,20,13.79,100.0,100.0,100.0,Pass
G10686,2024,3,19,13.51,100.0,100.0,100.0,Pass
G10686,2025,4,26,13.81,100.0,100.0,100.0,Pass
G10686,2026,4,20,15.7,100.0,88.0,94.0,Pass
G11957,2024,3,25,13.53,100.0,100.0,100.0,Pass
G11957,2025,3,24,12.83,100.0,100.0,100.0,Pass
G11957,2026,3,23,14.73,100.0,92.7,96.4,Pass
G17797,2024,2,18,13.22,100.0,100.0,100.0,Pass
G17797,2025,2,21,16.62,100.0,68.8,84.4,Pass
G17797,2026,3,20,14.12,100.0,98.8,99.4,Pass
G19538,2024,2,20,14.55,100.0,89.5,94.8,Pass
G19538,2025,2,18,15.94,100.0,75.6,87.8,Pass
G19538,2026,2,17,12.17,100.0,100.0,100.0,Pass
G24344,2023,1,13,16.82,75.0,61.8,68.4,Pass
G24344,2024,1,11,17.05,65.0,59.5,62.3,Pass
G24344,2025,1,17,15.76,95.0,72.4,83.7,Pass
G24344,2026,1,9,17.6,55.0,54.0,54.5,Fail
G22249,2022,1,11,12.04,65.0,100.0,82.5,Pass
G22249,2023,1,14,17.59,80.0,54.1,67.1,Pass
G22249,2024,1,13,12.89,75.0,100.0,87.5,Pass
G22249,2025,1,19,15.95,100.0,70.5,85.3,Pass
G22249,2026,1,14,14.14,80.0,88.6,84.3,Pass
G22769,2023,1,13,9.47,75.0,100.0,87.5,Pass
G22769,2024,1,15,15.2,85.0,78.0,81.5,Pass
G22769,2025,1,25,15.93,100.0,70.7,85.4,Pass
G22769,2026,1,13,16.32,75.0,66.8,70.9,Pass
G08859,2021,3,27,11.26,100.0,100.0,100.0,Pass
G08859,2022,3,21,12.53,100.0,100.0,100.0,Pass
G08859,2023,3,21,13.36,100.0,100.0,100.0,Pass
G08859,2024,4,24,13.26,100.0,100.0,100.0,Pass
G08859,2025,4,24,12.0,100.0,100.0,100.0,Pass
G08859,2026,4,24,9.0,100.0,100.0,100.0,Pass
G22733,2024,1,14,15.85,80.0,71.5,75.8,Pass
G22733,2025,1,22,17.54,100.0,54.6,77.3,Pass
G22733,2026,1,16,12.11,90.0,100.0,95.0,Pass
G11223,2021,2,16,13.23,94.7,100.0,97.4,Pass
G11223,2022,3,27,11.87,100.0,100.0,100.0,Pass
G11223,2023,3,25,12.16,100.0,100.0,100.0,Pass
G11223,2024,3,25,11.33,100.0,100.0,100.0,Pass
G11223,2025,3,29,11.74,100.0,100.0,100.0,Pass
G11223,2026,3,24,15.79,100.0,82.1,91.1,Pass
G13364,2024,3,25,12.26,100.0,100.0,100.0,Pass
G13364,2025,3,21,12.8,100.0,100.0,100.0,Pass
G13364,2026,3,25,12.7,100.0,100.0,100.0,Pass
