person_id,department,year,month,planned_missions,completed_missions,cancelled_missions,flight_hours_real,flight_hours_training,flight_hours_combat,flight_hours_test,flight_hours_simulator,avg_temperature_c,avg_wind_speed_kmh,dominant_weather,primary_cancellation_reason
AO05709,Delta,2026,6,8,8,0,24.72,10.75,9.97,4.0,4.06,30.9,20.3,Clear,
AO07216,Alpha,2024,9,1,1,0,4.0,4.0,0.0,0.0,1.12,13.1,13.6,Cloudy,
AO07216,Alpha,2024,10,5,5,0,20.0,12.0,4.0,4.0,5.34,13.6,18.8,Clear,
AO07216,Alpha,2024,11,2,2,0,4.87,0.0,0.0,4.87,2.35,14.1,8.4,Rainy,
AO07216,Alpha,2025,2,1,1,0,4.0,4.0,0.0,0.0,1.76,3.1,34.0,Cloudy,
AO07216,Alpha,2025,4,3,3,0,8.629999999999999,0.63,4.0,4.0,3.8,17.4,16.2,Clear,
AO07216,Alpha,2025,5,2,2,0,8.0,4.0,0.0,4.0,4.33,16.4,43.3,Clear,
AO07216,Alpha,2025,7,2,2,0,4.720000000000001,2.74,1.98,0.0,3.92,30.5,6.5,Clear,
AO07216,Alpha,2025,8,2,2,0,7.4399999999999995,4.0,3.44,0.0,4.37,31.3,29.4,Clear,
AO07216,Alpha,2025,9,3,3,0,9.530000000000001,1.53,8.0,0.0,4.93,13.9,16.2,Clear,
AO07216,Alpha,2025,10,2,2,0,8.0,4.0,4.0,0.0,2.05,14.8,42.2,Clear,
AO07216,Alpha,2025,11,1,1,0,4.0,4.0,0.0,0.0,5.02,14.7,10.6,Cloudy,
AO07216,Alpha,2025,12,2,2,0,8.0,0.0,0.0,8.0,3.63,3.9,44.3,Rainy,
AO07216,Alpha,2026,2,1,1,0,1.29,0.0,1.29,0.0,8.21,3.4,16.1,Rainy,
AO07216,Alpha,2026,3,1,1,0,3.18,0.0,3.18,0.0,8.77,15.0,28.9,Clear,
AO07216,Alpha,2026,4,5,5,0,20.0,4.0,8.0,8.0,4.55,14.4,24.3,Cloudy,
AO07216,Alpha,2026,5,1,1,0,4.0,4.0,0.0,0.0,0.53,16.5,44.2,Clear,
AO07216,Alpha,2026,6,3,3,0,12.0,8.0,0.0,4.0,4.5,28.3,6.0,Clear,
AO11296,Delta,2022,12,2,2,0,5.699999999999999,5.699999999999999,0.0,0.0,6.72,2.9,10.9,Cloudy,
AO11296,Delta,2023,1,3,3,0,11.0,8.0,3.0,0.0,5.88,1.9,10.6,Rainy,
AO11296,Delta,2023,2,4,4,0,16.0,8.0,8.0,0.0,4.61,4.7,7.7,Cloudy,
AO11296,Delta,2023,3,1,1,0,4.0,0.0,4.0,0.0,1.93,17.2,7.1,Clear,
AO11296,Delta,2023,4,3,3,0,12.0,0.0,8.0,4.0,1.78,14.2,41.7,Clear,
AO11296,Delta,2023,5,11,11,0,39.53,18.1,13.43,8.0,4.38,15.4,40.9,Clear,
AO11296,Delta,2023,6,7,7,0,25.07,12.0,8.0,5.07,2.38,29.3,23.4,Clear,
AO11296,Delta,2023,7,6,6,0,20.939999999999998,12.0,8.94,0.0,6.16,28.8,23.3,Clear,
AO11296,Delta,2023,8,8,8,0,28.36,20.0,4.36,4.0,4.63,29.4,24.4,Clear,
AO11296,Delta,2023,9,1,1,0,1.96,0.0,1.96,0.0,2.54,14.3,38.6,Cloudy,
AO11296,Delta,2023,10,8,8,0,32.0,12.0,8.0,12.0,5.31,13.4,7.8,Clear,
AO11296,Delta,2023,11,2,2,0,8.0,4.0,0.0,4.0,4.47,16.2,20.6,Clear,
AO11296,Delta,2023,12,1,1,0,4.0,4.0,0.0,0.0,4.11,3.9,10.5,Clear,
AO11296,Delta,2024,1,2,2,0,6.8,4.0,2.8,0.0,2.76,4.6,5.7,Windy,
AO11296,Delta,2024,2,3,3,0,12.0,4.0,8.0,0.0,6.77,1.6,36.5,Cloudy,
AO11296,Delta,2024,3,5,5,0,16.72,7.52,5.2,4.0,4.38,14.7,21.1,Clear,
AO11296,Delta,2024,4,2,2,0,8.0,4.0,0.0,4.0,6.15,16.0,32.0,Clear,
AO11296,Delta,2024,5,3,3,0,11.6,4.0,0.0,7.6,2.26,14.5,8.3,Clear,
AO11296,Delta,2024,6,8,8,0,30.95,8.0,10.95,12.0,5.64,31.1,26.3,Clear,
AO11296,Delta,2024,7,5,5,0,20.0,12.0,4.0,4.0,5.73,30.4,5.9,Clear,
AO11296,Delta,2024,8,2,2,0,8.0,8.0,0.0,0.0,3.85,29.2,41.4,Clear,
AO11296,Delta,2024,9,3,3,0,11.7,8.0,0.0,3.7,4.43,14.1,29.3,Cloudy,
AO11296,Delta,2024,10,5,5,0,17.95,4.0,5.95,8.0,4.28,13.7,10.6,Cloudy,
AO11296,Delta,2024,11,2,2,0,7.65,7.65,0.0,0.0,1.97,14.5,17.7,Cloudy,
AO11296,Delta,2024,12,1,1,0,4.0,0.0,0.0,4.0,3.95,4.4,14.7,Clear,
AO11296,Delta,2025,1,1,1,0,3.31,0.0,0.0,3.31,4.43,2.8,13.1,Windy,
AO11296,Delta,2025,2,2,2,0,8.0,4.0,4.0,0.0,3.27,2.2,36.9,Rainy,
AO11296,Delta,2025,3,2,2,0,4.34,4.0,0.0,0.34,5.76,14.4,39.3,Clear,
AO11296,Delta,2025,4,3,3,0,10.93,6.93,4.0,0.0,6.76,16.7,19.1,Clear,
AO11296,Delta,2025,5,1,1,0,4.0,0.0,4.0,0.0,4.3,15.5,7.7,Clear,
AO11296,Delta,2025,6,2,2,0,7.08,0.0,4.0,3.08,3.28,30.8,6.9,Clear,
AO11296,Delta,2025,7,2,2,0,5.38,1.38,0.0,4.0,6.93,30.1,39.3,Clear,
AO11296,Delta,2025,8,2,2,0,4.65,4.65,0.0,0.0,2.66,30.5,37.2,Clear,
AO11296,Delta,2025,9,2,2,0,5.79,1.79,4.0,0.0,2.13,14.0,6.0,Cloudy,
AO11296,Delta,2025,10,3,3,0,12.0,4.0,0.0,8.0,0.0,15.0,8.1,Windy,
AO11296,Delta,2025,11,1,1,0,4.0,4.0,0.0,0.0,2.84,12.1,21.9,Clear,
AO11296,Delta,2025,12,1,1,0,1.4,1.4,0.0,0.0,8.17,2.5,9.2,Windy,
AO11296,Delta,2026,1,2,2,0,8.0,0.0,8.0,0.0,4.4,2.4,11.8,Cloudy,
AO11296,Delta,2026,4,3,3,0,12.0,4.0,8.0,0.0,5.07,16.2,22.8,Cloudy,
AO11296,Delta,2026,5,3,3,0,12.0,8.0,4.0,0.0,0.81,16.5,24.6,Clear,
AO11296,Delta,2026,6,1,1,0,4.0,0.0,4.0,0.0,2.37,30.9,5.7,Clear,
AO11537,Sigma,2021,1,4,4,0,16.0,4.0,12.0,0.0,2.77,4.9,39.3,Cloudy,
AO11537,Sigma,2021,2,11,11,0,89.4,36.47,40.76,12.17,1.73,4.0,21.7,Clear,
AO11537,Sigma,2021,3,9,9,0,56.22,39.74,12.48,4.0,5.17,15.3,22.3,Clear,
AO11537,Sigma,2021,4,18,18,0,67.82,28.67,27.15,12.0,3.4,16.2,7.2,Clear,
AO11537,Sigma,2021,5,26,26,0,91.35,36.15,35.2,20.0,0.5,15.3,18.6,Clear,
AO11537,Sigma,2021,6,11,11,0,44.0,8.0,24.0,12.0,1.52,29.1,26.1,Clear,
AO11537,Sigma,2021,7,15,15,0,54.94,18.21,20.0,16.73,4.24,30.1,24.8,Clear,
AO11537,Sigma,2021,8,7,7,0,25.14,13.14,4.0,8.0,1.6,31.4,22.6,Clear,
AO11537,Sigma,2021,9,11,11,0,42.13,20.0,7.83,14.3,5.01,13.3,31.1,Rainy,
AO11537,Sigma,2021,10,3,3,0,12.0,4.0,4.0,4.0,7.4,14.0,23.2,Clear,
AO11537,Sigma,2021,11,2,2,0,6.54,4.0,0.0,2.54,7.19,12.6,19.9,Clear,
AO11537,Sigma,2021,12,4,4,0,10.65,4.05,4.0,2.6,0.12,3.0,11.4,Clear,
AO11537,Sigma,2022,1,5,5,0,20.0,8.0,8.0,4.0,1.56,4.3,18.2,Rainy,
AO11537,Sigma,2022,2,2,2,0,8.0,4.0,4.0,0.0,5.89,3.0,35.0,Cloudy,
AO11537,Sigma,2022,3,9,9,0,32.54,13.57,6.970000000000001,12.0,5.97,15.3,44.5,Clear,
AO11537,Sigma,2022,4,8,8,0,28.08,8.08,4.0,16.0,6.52,16.6,11.3,Clear,
AO11537,Sigma,2022,5,13,13,0,46.14,8.0,26.42,11.719999999999999,4.36,17.1,25.0,Cloudy,
AO11537,Sigma,2022,6,8,8,0,30.34,14.34,12.0,4.0,6.73,29.2,36.7,Clear,
AO11537,Sigma,2022,7,3,3,0,12.0,8.0,4.0,0.0,5.28,30.6,18.4,Clear,
AO11537,Sigma,2022,8,7,7,0,25.009999999999998,13.43,7.58,4.0,2.96,31.1,23.5,Clear,
AO11537,Sigma,2022,9,4,4,0,16.0,8.0,4.0,4.0,6.22,13.0,44.6,Rainy,
AO11537,Sigma,2022,10,5,5,0,20.0,12.0,8.0,0.0,5.27,15.3,23.0,Cloudy,
AO11537,Sigma,2022,11,2,2,0,8.0,0.0,0.0,8.0,5.55,14.0,30.2,Cloudy,
AO11537,Sigma,2022,12,5,5,0,18.759999999999998,14.76,0.0,4.0,3.69,3.9,30.6,Cloudy,
AO11537,Sigma,2023,1,2,2,0,7.720000000000001,4.0,0.0,3.72,2.29,4.7,10.2,Cloudy,
AO11537,Sigma,2023,2,9,9,0,29.51,19.73,5.78,4.0,4.28,2.6,39.6,Clear,
AO11537,Sigma,2023,3,3,3,0,9.48,8.0,1.48,0.0,5.99,16.6,21.2,Cloudy,
AO11537,Sigma,2023,4,3,3,0,12.0,8.0,4.0,0.0,5.62,14.6,32.1,Clear,
AO11537,Sigma,2023,5,5,5,0,19.25,8.0,3.25,8.0,6.86,15.4,26.7,Clear,
AO11537,Sigma,2023,6,7,7,0,26.36,4.0,12.0,10.36,5.38,29.5,35.4,Clear,
AO11537,Sigma,2023,7,10,10,0,38.0,16.0,11.29,10.71,2.46,29.9,12.2,Clear,
AO11537,Sigma,2023,8,5,5,0,16.27,0.81,8.0,7.46,4.74,30.6,10.3,Clear,
AO11537,Sigma,2023,9,8,8,0,26.07,8.030000000000001,6.23,11.81,1.28,14.1,13.6,Cloudy,
AO11537,Sigma,2023,10,8,8,0,25.84,5.84,16.0,4.0,3.54,14.3,31.4,Cloudy,
AO11537,Sigma,2023,11,5,5,0,20.0,8.0,12.0,0.0,5.16,12.8,8.8,Clear,
AO11537,Sigma,2023,12,5,5,0,16.61,8.61,0.0,8.0,3.41,4.0,23.8,Clear,
AO11537,Sigma,2024,1,4,4,0,11.16,9.27,1.89,0.0,2.27,3.6,44.0,Cloudy,
AO11537,Sigma,2024,2,4,4,0,16.0,8.0,8.0,0.0,1.83,3.5,22.7,Cloudy,
AO11537,Sigma,2024,3,2,2,0,8.0,8.0,0.0,0.0,1.5,16.3,28.9,Clear,
AO11537,Sigma,2024,4,5,5,0,13.47,1.81,4.0,7.66,2.03,16.0,9.1,Clear,
AO11537,Sigma,2024,5,8,8,0,28.28,16.28,8.0,4.0,3.73,16.0,36.0,Clear,
AO11537,Sigma,2024,6,4,4,0,16.0,4.0,4.0,8.0,4.37,30.4,13.6,Clear,
AO11537,Sigma,2024,7,7,7,0,24.6,8.0,13.86,2.74,6.23,29.4,16.6,Clear,
AO11537,Sigma,2024,8,5,5,0,19.02,7.02,12.0,0.0,5.79,30.9,27.2,Clear,
AO11537,Sigma,2024,9,7,7,0,27.72,0.0,16.0,11.72,6.35,13.7,38.1,Clear,
AO11537,Sigma,2024,10,4,4,0,15.92,4.0,3.92,8.0,0.0,13.5,29.8,Clear,
AO11537,Sigma,2024,11,2,2,0,7.48,4.0,3.48,0.0,9.03,13.4,16.8,Clear,
AO11537,Sigma,2024,12,3,3,0,6.359999999999999,4.0,0.0,2.36,5.11,4.0,26.2,Rainy,
AO11537,Sigma,2025,1,2,2,0,8.0,4.0,4.0,0.0,6.9,3.1,37.6,Windy,
AO11537,Sigma,2025,2,4,4,0,12.4,4.4,8.0,0.0,5.98,4.7,12.0,Clear,
AO11537,Sigma,2025,3,4,4,0,8.89,1.65,3.2399999999999998,4.0,2.62,16.4,21.2,Clear,
AO11537,Sigma,2025,4,5,5,0,15.91,8.0,5.37,2.54,4.59,16.3,31.2,Clear,
AO11537,Sigma,2025,6,2,2,0,8.0,4.0,4.0,0.0,3.08,29.6,33.6,Clear,
AO11537,Sigma,2025,7,5,5,0,20.0,12.0,4.0,4.0,2.06,30.3,34.3,Clear,
AO11537,Sigma,2025,8,5,5,0,20.0,12.0,4.0,4.0,0.65,29.6,17.1,Clear,
AO11537,Sigma,2025,9,3,3,0,11.98,7.98,4.0,0.0,3.45,14.1,29.9,Cloudy,
AO11537,Sigma,2025,10,3,3,0,8.46,4.0,0.0,4.46,3.91,14.5,40.0,Clear,
AO11537,Sigma,2025,11,4,4,0,16.0,12.0,4.0,0.0,3.17,13.9,18.7,Clear,
AO11537,Sigma,2025,12,3,3,0,12.0,4.0,4.0,4.0,1.96,2.4,19.7,Cloudy,
AO11537,Sigma,2026,1,1,1,0,2.8,0.0,0.0,2.8,3.33,3.4,15.2,Cloudy,
AO11537,Sigma,2026,2,4,4,0,14.41,12.0,2.41,0.0,5.1,2.6,12.0,Rainy,
AO11537,Sigma,2026,3,4,4,0,12.81,4.0,4.0,4.8100000000000005,2.83,15.9,9.8,Clear,
AO11537,Sigma,2026,4,6,6,0,23.89,3.89,16.0,4.0,3.98,14.9,6.9,Clear,
AO11537,Sigma,2026,5,1,1,0,4.0,0.0,4.0,0.0,4.33,16.0,31.0,Clear,
AO11537,Sigma,2026,6,5,5,0,16.16,7.5600000000000005,8.0,0.6,3.3,29.2,43.7,Clear,
AO11628,Alpha,2022,8,3,3,0,51.56,18.89,15.46,17.21,2.63,31.5,24.3,Clear,
AO11628,Alpha,2023,1,1,1,0,15.73,0.0,0.0,15.73,3.08,3.0,39.0,Rainy,
AO11628,Alpha,2023,4,1,1,0,16.52,16.52,0.0,0.0,2.2,16.2,7.3,Clear,
AO11628,Alpha,2023,6,1,1,0,18.8,18.8,0.0,0.0,5.23,30.7,31.6,Clear,
AO11628,Alpha,2023,8,3,3,0,42.45,27.490000000000002,0.0,14.96,10.36,28.2,22.5,Clear,
AO11628,Alpha,2023,9,1,1,0,19.03,19.03,0.0,0.0,2.41,13.9,11.8,Cloudy,
AO11628,Alpha,2023,11,1,1,0,18.12,0.0,18.12,0.0,2.69,13.3,10.1,Cloudy,
AO11628,Alpha,2023,12,1,1,0,15.94,0.0,0.0,15.94,4.26,3.0,35.5,Rainy,
AO11628,Alpha,2024,3,1,1,0,16.09,16.09,0.0,0.0,0.0,16.4,10.4,Cloudy,
AO11628,Alpha,2024,4,1,1,0,16.74,16.74,0.0,0.0,7.57,16.7,9.0,Clear,
AO11628,Alpha,2024,5,1,1,0,13.99,0.0,13.99,0.0,5.38,15.8,15.5,Clear,
AO11628,Alpha,2024,6,1,1,0,15.42,0.0,15.42,0.0,3.98,30.3,20.5,Clear,
AO11628,Alpha,2024,7,1,1,0,15.58,15.58,0.0,0.0,3.29,29.5,14.9,Clear,
AO11628,Alpha,2024,8,1,1,0,18.23,18.23,0.0,0.0,6.29,28.6,5.8,Clear,
AO11628,Alpha,2024,9,1,1,0,15.77,0.0,15.77,0.0,5.7,13.1,24.0,Cloudy,
AO11628,Alpha,2024,11,1,1,0,12.26,0.0,12.26,0.0,4.32,14.1,30.3,Rainy,
AO11628,Alpha,2024,12,2,2,0,32.230000000000004,16.42,15.81,0.0,2.07,4.3,9.2,Clear,
AO11628,Alpha,2025,4,1,1,0,19.11,0.0,19.11,0.0,8.87,17.4,35.5,Clear,
AO11628,Alpha,2025,6,2,2,0,35.11,35.11,0.0,0.0,6.62,31.3,8.4,Clear,
AO11628,Alpha,2025,7,2,2,0,35.95,35.95,0.0,0.0,6.33,30.5,23.0,Clear,
AO11938,Gamma,2021,6,9,9,0,151.58,70.81,34.980000000000004,45.79,0.96,29.1,26.1,Clear,
AO11938,Gamma,2021,7,1,1,0,16.33,0.0,16.33,0.0,5.96,30.2,27.7,Clear,
AO11938,Gamma,2021,8,1,1,0,19.05,19.05,0.0,0.0,2.75,29.7,23.5,Clear,
AO11938,Gamma,2021,9,3,3,0,53.769999999999996,53.769999999999996,0.0,0.0,2.96,15.2,43.5,Cloudy,
AO11938,Gamma,2021,11,4,4,0,77.47,20.0,57.47,0.0,4.78,13.9,12.7,Clear,
AO11938,Gamma,2021,12,1,1,0,16.31,16.31,0.0,0.0,3.89,2.5,25.9,Clear,
AO11938,Gamma,2022,1,1,1,0,14.81,0.0,0.0,14.81,5.19,3.4,12.3,Cloudy,
AO11938,Gamma,2022,2,1,1,0,18.59,0.0,18.59,0.0,7.79,2.8,18.1,Cloudy,
AO11938,Gamma,2022,3,2,2,0,34.81,0.0,17.7,17.11,4.86,17.1,34.9,Clear,
AO11938,Gamma,2022,4,1,1,0,20.0,0.0,20.0,0.0,4.44,16.4,34.8,Cloudy,
AO11938,Gamma,2022,5,4,4,0,62.44,30.75,15.36,16.33,2.73,15.9,7.7,Clear,
AO11938,Gamma,2022,7,5,5,0,84.15,69.82,14.33,0.0,4.85,29.9,13.4,Clear,
AO11938,Gamma,2022,8,1,1,0,17.21,0.0,17.21,0.0,2.54,29.7,27.7,Clear,
AO11938,Gamma,2022,9,2,2,0,33.47,33.47,0.0,0.0,4.8,13.5,22.1,Cloudy,
AO11938,Gamma,2023,2,2,2,0,31.580000000000002,17.1,14.48,0.0,1.52,1.2,13.3,Clear,
AO11938,Gamma,2023,3,4,4,0,65.91,0.0,33.01,32.9,5.29,16.8,31.4,Clear,
AO11938,Gamma,2023,4,1,1,0,16.38,0.0,0.0,16.38,2.75,16.0,30.3,Clear,
AO11938,Gamma,2023,5,3,3,0,49.51,34.72,0.0,14.79,3.04,14.7,43.2,Clear,
AO11938,Gamma,2023,6,2,2,0,32.56,16.04,16.52,0.0,3.07,30.7,10.8,Clear,
AO11938,Gamma,2023,7,1,1,0,20.0,0.0,0.0,20.0,4.06,29.6,35.0,Clear,
AO11938,Gamma,2023,8,1,1,0,19.53,0.0,19.53,0.0,3.9,29.7,25.3,Clear,
AO11938,Gamma,2023,9,3,3,0,49.53,32.49,0.0,17.04,4.76,14.3,43.5,Cloudy,
AO11938,Gamma,2023,10,2,2,0,31.410000000000004,0.0,16.51,14.9,7.12,15.1,30.5,Clear,
AO11938,Gamma,2024,1,3,3,0,55.94,18.86,17.91,19.17,3.14,1.5,26.2,Cloudy,
AO11938,Gamma,2024,5,1,1,0,18.95,18.95,0.0,0.0,2.5,17.0,28.8,Clear,
AO11938,Gamma,2024,6,1,1,0,18.84,18.84,0.0,0.0,3.3,31.2,24.1,Clear,
AO11938,Gamma,2024,7,2,2,0,32.129999999999995,0.0,32.129999999999995,0.0,5.62,29.5,41.0,Clear,
AO11938,Gamma,2024,8,2,2,0,29.34,14.48,0.0,14.86,3.27,30.1,5.9,Clear,
AO11938,Gamma,2024,9,1,1,0,14.8,14.8,0.0,0.0,1.54,14.5,41.9,Cloudy,
AO11938,Gamma,2024,11,1,1,0,20.0,0.0,20.0,0.0,9.33,14.5,7.0,Cloudy,
AO11938,Gamma,2025,3,3,3,0,53.43,0.0,35.69,17.74,2.55,17.2,13.3,Rainy,
AO11938,Gamma,2025,6,2,2,0,34.22,0.0,34.22,0.0,4.92,31.1,6.0,Clear,
AO11938,Gamma,2025,7,1,1,0,14.64,0.0,14.64,0.0,5.26,29.2,38.0,Clear,
AO11938,Gamma,2025,11,1,1,0,20.0,0.0,0.0,20.0,5.11,14.3,41.7,Clear,
AO11938,Gamma,2026,1,2,2,0,37.099999999999994,19.2,17.9,0.0,5.13,3.3,26.3,Cloudy,
AO11938,Gamma,2026,2,1,1,0,17.02,0.0,0.0,17.02,7.59,3.5,24.8,Windy,
AO11938,Gamma,2026,3,1,1,0,19.74,0.0,19.74,0.0,4.85,15.4,15.4,Cloudy,
AO11938,Gamma,2026,6,1,1,0,15.5,0.0,15.5,0.0,5.95,29.9,12.0,Clear,
AO12000,Sigma,2021,8,8,8,0,29.18,14.26,12.0,2.92,4.17,31.4,39.8,Clear,
AO12000,Sigma,2021,9,9,9,0,35.56,12.0,8.0,15.56,2.26,13.3,34.0,Rainy,
AO12000,Sigma,2021,10,4,4,0,12.49,4.0,0.49,8.0,3.67,14.0,11.7,Clear,
AO12000,Sigma,2021,11,5,5,0,19.28,11.28,4.0,4.0,7.03,12.6,33.1,Clear,
AO12000,Sigma,2021,12,9,9,0,36.0,12.0,20.0,4.0,3.95,3.0,25.3,Clear,
AO12000,Sigma,2022,1,1,1,0,2.76,2.76,0.0,0.0,4.82,4.3,43.7,Rainy,
AO12000,Sigma,2022,2,4,4,0,9.0,4.97,4.0,0.03,3.97,3.0,24.2,Cloudy,
AO12000,Sigma,2022,3,7,7,0,28.0,12.0,4.0,12.0,5.95,15.3,26.4,Clear,
AO12000,Sigma,2022,4,6,6,0,20.66,0.0,4.0,16.66,3.33,16.6,37.4,Clear,
AO12000,Sigma,2022,5,21,21,0,79.41,24.67,34.74,20.0,3.21,17.1,18.3,Cloudy,
AO12000,Sigma,2022,6,5,5,0,16.07,12.07,4.0,0.0,3.31,29.2,36.6,Clear,
AO12000,Sigma,2022,7,13,13,0,45.69,33.0,8.0,4.6899999999999995,3.37,30.6,26.5,Clear,
AO12000,Sigma,2022,8,9,9,0,34.89,16.0,7.32,11.57,3.28,31.1,41.3,Clear,
AO12000,Sigma,2022,9,4,4,0,14.14,4.0,0.0,10.14,8.29,13.0,42.5,Rainy,
AO12000,Sigma,2022,10,6,6,0,21.09,10.07,7.02,4.0,4.05,15.3,15.0,Cloudy,
AO12000,Sigma,2022,11,2,2,0,4.78,0.0,0.0,4.78,2.71,14.0,39.5,Cloudy,
AO12000,Sigma,2022,12,5,5,0,18.23,8.0,0.0,10.23,4.53,3.9,21.4,Cloudy,
AO12000,Sigma,2023,1,5,5,0,20.0,8.0,8.0,4.0,4.75,4.7,36.2,Cloudy,
AO12000,Sigma,2023,2,5,5,0,14.44,13.55,0.0,0.89,5.85,2.6,29.2,Clear,
AO12000,Sigma,2023,3,6,6,0,24.0,20.0,4.0,0.0,3.23,16.6,39.3,Cloudy,
AO12000,Sigma,2023,4,6,6,0,18.759999999999998,9.43,9.33,0.0,0.48,14.6,43.2,Clear,
