person_id,previous_branch,years_in_previous_branch
AO24322,Civilian Sector (Direct Entry),0.0
AO24715,Civilian Sector (Direct Entry),0.0
AO16557,"Internal Promotion (Former UAV Operator, this unit)",3.56
AO20423,Ground Forces,2.19
AO15870,Ground Forces,6.78
AO17162,Ground Forces,4.05
AO24225,Civilian Sector (Direct Entry),0.0
AO24481,Civilian Sector (Direct Entry),0.0
AO12508,Artillery,11.21
AO23007,Civilian Sector (Direct Entry),0.0
AO21316,Ground Forces,0.53
AO21906,Civilian Sector (Direct Entry),0.0
AO24203,Civilian Sector (Direct Entry),0.0
AO20690,"Internal Promotion (Former UAV Operator, this unit)",1.25
AO19316,"Internal Promotion (Former UAV Operator, this unit)",3.45
AO20211,"Internal Promotion (Former UAV Operator, this unit)",2.96
AO14299,Reconnaissance,6.71
AO23728,Civilian Sector (Direct Entry),0.0
AO22709,Ground Forces,2.48
AO18592,Special Forces,3.08
AO18652,Navy,6.34
AO24038,Civilian Sector (Direct Entry),0.0
AO23051,Civilian Sector (Direct Entry),0.0
AO25210,Civilian Sector (Direct Entry),0.0
AO25050,Civilian Sector (Direct Entry),0.0
AO24602,Civilian Sector (Direct Entry),0.0
AO23001,"Internal Promotion (Former UAV Operator, this unit)",1.86
AO16430,"Internal Promotion (Former UAV Operator, this unit)",3.87
AO23143,"Internal Promotion (Former UAV Operator, this unit)",1.58
AO24756,Civilian Sector (Direct Entry),0.0
AO12366,Ground Forces,8.49
AO24395,Civilian Sector (Direct Entry),0.0
AO23430,"Internal Promotion (Former UAV Operator, this unit)",1.77
AO24998,Civilian Sector (Direct Entry),0.0
G22440,Civilian Sector (Direct Entry),0.0
G11589,Ground Forces,11.68
G23771,Civilian Sector (Direct Entry),0.0
G17117,Communications & Engineering Troops,4.03
G15417,Border Service,9.35
G24483,Civilian Sector (Direct Entry),0.0
G24819,Civilian Sector (Direct Entry),0.0
G22927,Civilian Sector (Direct Entry),0.0
G24599,Civilian Sector (Direct Entry),0.0
G25161,Civilian Sector (Direct Entry),0.0
G13723,Ground Forces,7.16
G24135,Civilian Sector (Direct Entry),0.0
G21624,Civilian Sector (Direct Entry),0.0
G08986,Reconnaissance,16.76
G21223,Border Service,2.59
G23268,Communications & Engineering Troops,0.66
G25106,Civilian Sector (Direct Entry),0.0
G25990,Civilian Sector (Direct Entry),0.0
G15161,Communications & Engineering Troops,5.22
G22969,Air Force,0.62
G25008,Civilian Sector (Direct Entry),0.0
G24879,Civilian Sector (Direct Entry),0.0
G16019,Artillery,7.19
G24796,Civilian Sector (Direct Entry),0.0
G23895,Civilian Sector (Direct Entry),0.0
G21967,Special Forces,3.54
G24128,Civilian Sector (Direct Entry),0.0
G17208,Border Service,5.13
G23922,Civilian Sector (Direct Entry),0.0
G11685,Artillery,9.9
G23964,Communications & Engineering Troops,1.61
G24038,Civilian Sector (Direct Entry),0.0
G23945,Civilian Sector (Direct Entry),0.0
G10758,Communications & Engineering Troops,10.08
G08002,Air Force,13.97
G24250,Civilian Sector (Direct Entry),0.0
G24010,Civilian Sector (Direct Entry),0.0
G24043,Civilian Sector (Direct Entry),0.0
G22635,Artillery,2.61
G22413,Civilian Sector (Direct Entry),0.0
G21070,Ground Forces,1.99
G23299,Civilian Sector (Direct Entry),0.0
G25915,Civilian Sector (Direct Entry),0.0
G22473,Civilian Sector (Direct Entry),0.0
G24309,Civilian Sector (Direct Entry),0.0
G18175,Ground Forces,6.05
G10138,Border Service,11.84
G24284,Civilian Sector (Direct Entry),0.0
G22544,Civilian Sector (Direct Entry),0.0
G14731,Air Force,11.0
G23763,Civilian Sector (Direct Entry),0.0
G08568,Artillery,16.58
G12593,Artillery,9.49
G08962,Ground Forces,15.51
G12425,Artillery,8.25
G25778,Civilian Sector (Direct Entry),0.0
G13609,Communications & Engineering Troops,8.77
G24580,Civilian Sector (Direct Entry),0.0
G21267,Air Force,1.27
G23226,Civilian Sector (Direct Entry),0.0
AO05709,Air Force,16.57
AO12824,Ground Forces,8.66
AO16360,Ground Forces,4.66
G11837,Communications & Engineering Troops,11.07
AO13387,Artillery,7.43
AO18342,Border Service,4.4
AO23991,"Internal Promotion (Former UAV Operator, this unit)",1.79
AO11296,Artillery,11.19
AO24278,Civilian Sector (Direct Entry),0.0
AO21963,Border Service,3.04
AO24578,Civilian Sector (Direct Entry),0.0
AO25711,"Internal Promotion (Former UAV Operator, this unit)",1.0
AO14187,"Internal Promotion (Former UAV Operator, this unit)",3.88
AO22316,Civilian Sector (Direct Entry),0.0
AO18186,"Internal Promotion (Former UAV Operator, this unit)",1.52
AO20436,"Internal Promotion (Former UAV Operator, this unit)",3.18
AO18238,Ground Forces,1.78
AO25379,Civilian Sector (Direct Entry),0.0
AO12189,"Internal Promotion (Former UAV Operator, this unit)",3.32
AO15573,Ground Forces,4.9
AO18127,Ground Forces,2.04
AO13278,Air Force,11.1
AO15860,Border Service,6.02
AO23574,Civilian Sector (Direct Entry),0.0
AO24436,Civilian Sector (Direct Entry),0.0
AO24631,Ground Forces,0.71
AO15583,Navy,9.14
AO24190,Civilian Sector (Direct Entry),0.0
AO15781,Ground Forces,7.06
AO12061,Ground Forces,12.3
AO18148,Special Forces,5.4
AO13289,"Internal Promotion (Former UAV Operator, this unit)",2.7
AO23475,Civilian Sector (Direct Entry),0.0
AO25607,Civilian Sector (Direct Entry),0.0
AO21091,"Internal Promotion (Former UAV Operator, this unit)",2.59
AO22207,Artillery,1.54
AO17682,"Internal Promotion (Former UAV Operator, this unit)",3.12
AO17015,"Internal Promotion (Former UAV Operator, this unit)",2.98
AO13576,Special Forces,9.76
AO20306,Communications & Engineering Troops,3.85
AO14271,Communications & Engineering Troops,8.34
AO25477,Civilian Sector (Direct Entry),0.0
AO16242,Border Service,4.59
AO23405,Artillery,0.51
AO18046,Ground Forces,5.03
G20303,Ground Forces,2.06
G12516,Reconnaissance,8.91
G11545,Ground Forces,11.89
G24443,Civilian Sector (Direct Entry),0.0
G24868,Civilian Sector (Direct Entry),0.0
G23314,Civilian Sector (Direct Entry),0.0
G19777,Ground Forces,4.14
G08440,Artillery,12.95
G23726,Civilian Sector (Direct Entry),0.0
G11657,Ground Forces,10.25
G21722,Artillery,2.68
G22580,Ground Forces,1.67
G16308,Navy,6.57
G23263,Ground Forces,1.47
G22662,Air Force,1.42
G20911,Air Force,3.33
G22464,Ground Forces,2.04
G21369,Ground Forces,2.77
G18149,Artillery,6.81
G07690,Artillery,17.5
G23804,Ground Forces,1.89
G24311,Ground Forces,0.64
G07820,Ground Forces,14.35
G24390,Civilian Sector (Direct Entry),0.0
G09841,Artillery,15.44
G25584,Civilian Sector (Direct Entry),0.0
G23074,Civilian Sector (Direct Entry),0.0
G23810,Civilian Sector (Direct Entry),0.0
G21565,Ground Forces,3.46
G20187,Artillery,4.44
G24951,Ground Forces,1.09
G25456,Civilian Sector (Direct Entry),0.0
G15955,Artillery,5.4
G21305,Ground Forces,1.44
G22415,Civilian Sector (Direct Entry),0.0
G22037,Ground Forces,2.93
G22579,Civilian Sector (Direct Entry),0.0
G22977,Reconnaissance,1.53
G24065,Civilian Sector (Direct Entry),0.0
G07673,Special Forces,14.09
G22535,Civilian Sector (Direct Entry),0.0
G23918,Civilian Sector (Direct Entry),0.0
G25132,Civilian Sector (Direct Entry),0.0
G22485,Artillery,1.33
G22220,Ground Forces,2.21
G22168,Artillery,1.58
G13401,Ground Forces,8.9
G25062,Civilian Sector (Direct Entry),0.0
G23312,Civilian Sector (Direct Entry),0.0
G11789,Special Forces,10.24
G25707,Civilian Sector (Direct Entry),0.0
G22436,Civilian Sector (Direct Entry),0.0
G13194,Navy,7.83
G24151,Civilian Sector (Direct Entry),0.0
G07405,Communications & Engineering Troops,15.92
G11903,Reconnaissance,12.93
G23626,Special Forces,0.92
G09553,Communications & Engineering Troops,11.37
G22502,Artillery,2.09
G25177,Civilian Sector (Direct Entry),0.0
AO97317,Reconnaissance,24.38
AO14416,"Internal Promotion (Former UAV Operator, this unit)",2.15
AO14212,Special Forces,10.47
G23124,Civilian Sector (Direct Entry),0.0
AO18162,Artillery,3.14
AO17072,"Internal Promotion (Former UAV Operator, this unit)",1.62
AO24985,Civilian Sector (Direct Entry),0.0
AO21429,Civilian Sector (Direct Entry),0.0
AO20240,"Internal Promotion (Former UAV Operator, this unit)",2.86
AO16860,Ground Forces,7.81
AO24475,Civilian Sector (Direct Entry),0.0
AO24451,Civilian Sector (Direct Entry),0.0
AO25736,Civilian Sector (Direct Entry),0.0
AO24080,Civilian Sector (Direct Entry),0.0
AO17637,Border Service,6.14
AO23313,"Internal Promotion (Former UAV Operator, this unit)",1.54
AO23316,Civilian Sector (Direct Entry),0.0
AO17887,Artillery,7.52
AO15343,Reconnaissance,5.59
AO18123,"Internal Promotion (Former UAV Operator, this unit)",2.23
AO18600,"Internal Promotion (Former UAV Operator, this unit)",2.94
AO24112,Civilian Sector (Direct Entry),0.0
AO18070,Artillery,2.33
AO24903,Civilian Sector (Direct Entry),0.0
AO21835,Ground Forces,2.29
AO21206,Ground Forces,3.43
AO15626,"Internal Promotion (Former UAV Operator, this unit)",2.9
AO16652,"Internal Promotion (Former UAV Operator, this unit)",3.93
AO21394,Civilian Sector (Direct Entry),0.0
AO17667,"Internal Promotion (Former UAV Operator, this unit)",2.44
AO25008,"Internal Promotion (Former UAV Operator, this unit)",1.0
AO21911,Civilian Sector (Direct Entry),0.0
AO24650,Civilian Sector (Direct Entry),0.0
AO13655,Communications & Engineering Troops,9.07
AO19192,"Internal Promotion (Former UAV Operator, this unit)",3.13
AO22118,Artillery,2.28
AO24579,Civilian Sector (Direct Entry),0.0
AO12488,"Internal Promotion (Former UAV Operator, this unit)",2.06
AO24665,Civilian Sector (Direct Entry),0.0
AO18360,Communications & Engineering Troops,2.08
AO12822,"Internal Promotion (Former UAV Operator, this unit)",3.05
AO11938,Communications & Engineering Troops,9.43
AO21355,Ground Forces,3.71
AO16958,Border Service,5.04
AO23557,"Internal Promotion (Former UAV Operator, this unit)",1.79
G08994,Artillery,13.03
G21193,Reconnaissance,0.68
G23405,Civilian Sector (Direct Entry),0.0
G21265,Special Forces,0.84
G23583,Ground Forces,1.32
G16237,Special Forces,4.93
G12759,Navy,9.99
G21712,Ground Forces,2.18
G11534,Air Force,12.72
G13338,Navy,9.27
G24740,Civilian Sector (Direct Entry),0.0
G24625,Civilian Sector (Direct Entry),0.0
G08825,Ground Forces,16.24
G24228,Civilian Sector (Direct Entry),0.0
G22914,Ground Forces,3.33
G23950,Civilian Sector (Direct Entry),0.0
G18229,Reconnaissance,2.89
G10034,Air Force,14.78
G24055,Civilian Sector (Direct Entry),0.0
G17751,Air Force,3.75
G21335,Reconnaissance,0.85
G19692,Artillery,3.73
G18048,Navy,4.38
G23617,Air Force,1.14
G18607,Reconnaissance,2.28
G22495,Ground Forces,0.52
G22236,Civilian Sector (Direct Entry),0.0
G22081,Civilian Sector (Direct Entry),0.0
G23603,Civilian Sector (Direct Entry),0.0
G23250,Civilian Sector (Direct Entry),0.0
G21406,Civilian Sector (Direct Entry),0.0
G24842,Civilian Sector (Direct Entry),0.0
G09851,Navy,15.71
G17884,Air Force,2.93
G25117,Civilian Sector (Direct Entry),0.0
G25881,Civilian Sector (Direct Entry),0.0
G22817,Civilian Sector (Direct Entry),0.0
G24028,Civilian Sector (Direct Entry),0.0
G21397,Border Service,1.0
G22616,Civilian Sector (Direct Entry),0.0
G16679,Ground Forces,6.38
G25490,Civilian Sector (Direct Entry),0.0
G22788,Artillery,1.59
G21226,Special Forces,1.1
G22189,Civilian Sector (Direct Entry),0.0
G21086,Ground Forces,2.68
G07800,Ground Forces,16.54
G21074,Communications & Engineering Troops,1.35
G23622,Civilian Sector (Direct Entry),0.0
G08080,Reconnaissance,14.52
G18336,Ground Forces,4.83
G19856,Ground Forces,0.97
G06810,Border Service,15.02
G09028,Artillery,14.07
G25779,Civilian Sector (Direct Entry),0.0
G16461,Artillery,5.57
G25044,Civilian Sector (Direct Entry),0.0
G24144,Civilian Sector (Direct Entry),0.0
G22135,Civilian Sector (Direct Entry),0.0
G22448,Civilian Sector (Direct Entry),0.0
AO97468,Communications & Engineering Troops,27.32
AO12000,Ground Forces,9.23
AO13467,Special Forces,7.42
G06923,Communications & Engineering Troops,17.81
AO12830,Ground Forces,10.71
AO22617,"Internal Promotion (Former UAV Operator, this unit)",1.62
AO25183,Civilian Sector (Direct Entry),0.0
AO21436,Civilian Sector (Direct Entry),0.0
AO23681,Civilian Sector (Direct Entry),0.0
AO25376,"Internal Promotion (Former UAV Operator, this unit)",1.0
AO22093,Civilian Sector (Direct Entry),0.0
AO23780,"Internal Promotion (Former UAV Operator, this unit)",1.52
AO14671,Ground Forces,8.2
AO11537,Communications & Engineering Troops,8.79
AO12140,Communications & Engineering Troops,8.93
AO20080,Civilian Sector (Direct Entry),0.0
AO19031,"Internal Promotion (Former UAV Operator, this unit)",3.69
AO18862,Special Forces,1.93
AO14110,Ground Forces,6.94
AO23445,Communications & Engineering Troops,0.97
AO25358,Civilian Sector (Direct Entry),0.0
AO13818,Air Force,10.56
AO23508,Reconnaissance,0.62
AO23410,Civilian Sector (Direct Entry),0.0
AO18024,Ground Forces,5.07
AO16212,"Internal Promotion (Former UAV Operator, this unit)",3.77
AO21707,Ground Forces,4.17
AO21034,Artillery,1.84
AO22645,"Internal Promotion (Former UAV Operator, this unit)",2.73
AO21263,Civilian Sector (Direct Entry),0.0
AO25112,"Internal Promotion (Former UAV Operator, this unit)",1.0
AO21878,Air Force,1.47
AO20873,"Internal Promotion (Former UAV Operator, this unit)",3.8
AO24366,Civilian Sector (Direct Entry),0.0
AO24140,Civilian Sector (Direct Entry),0.0
AO17508,"Internal Promotion (Former UAV Operator, this unit)",3.61
AO20321,Air Force,3.75
AO18793,"Internal Promotion (Former UAV Operator, this unit)",2.71
AO25165,Civilian Sector (Direct Entry),0.0
AO13943,Navy,7.2
AO25541,"Internal Promotion (Former UAV Operator, this unit)",1.0
AO17098,Navy,6.95
AO22788,Special Forces,1.66
AO24582,Civilian Sector (Direct Entry),0.0
AO21338,Artillery,3.36
G21228,Ground Forces,1.18
G23248,Civilian Sector (Direct Entry),0.0
G17472,Artillery,3.8
G25334,Civilian Sector (Direct Entry),0.0
G23853,Civilian Sector (Direct Entry),0.0
G24918,Civilian Sector (Direct Entry),0.0
G21956,Special Forces,1.39
G24754,Civilian Sector (Direct Entry),0.0
G13596,Reconnaissance,10.7
G22667,Civilian Sector (Direct Entry),0.0
G22398,Civilian Sector (Direct Entry),0.0
G23722,Civilian Sector (Direct Entry),0.0
G21555,Ground Forces,3.59
G23967,Artillery,1.14
G21563,Civilian Sector (Direct Entry),0.0
G13345,Ground Forces,10.92
G24895,Artillery,0.92
G21379,Civilian Sector (Direct Entry),0.0
G17341,Artillery,2.7
G10878,Special Forces,12.85
G22691,Special Forces,2.14
G23878,Civilian Sector (Direct Entry),0.0
G23264,Civilian Sector (Direct Entry),0.0
G09033,Border Service,12.3
G22782,Civilian Sector (Direct Entry),0.0
G10254,Air Force,12.2
G22028,Ground Forces,0.65
G21049,Air Force,2.11
G23282,Ground Forces,1.66
G25308,Civilian Sector (Direct Entry),0.0
G22471,Civilian Sector (Direct Entry),0.0
G23592,Civilian Sector (Direct Entry),0.0
G25920,Civilian Sector (Direct Entry),0.0
G24364,Civilian Sector (Direct Entry),0.0
G22982,Civilian Sector (Direct Entry),0.0
G23461,Civilian Sector (Direct Entry),0.0
G18512,Communications & Engineering Troops,3.45
G23291,Civilian Sector (Direct Entry),0.0
G23231,Civilian Sector (Direct Entry),0.0
G22347,Civilian Sector (Direct Entry),0.0
G23588,Civilian Sector (Direct Entry),0.0
G09565,Communications & Engineering Troops,15.03
G21906,Ground Forces,1.13
G22712,Artillery,1.69
G23902,Ground Forces,1.8
G18430,Communications & Engineering Troops,7.05
G23276,Civilian Sector (Direct Entry),0.0
G17879,Air Force,3.33
G22590,Civilian Sector (Direct Entry),0.0
G23898,Civilian Sector (Direct Entry),0.0
G23419,Civilian Sector (Direct Entry),0.0
G25872,Civilian Sector (Direct Entry),0.0
G18131,Ground Forces,3.51
G24109,Civilian Sector (Direct Entry),0.0
G25531,Civilian Sector (Direct Entry),0.0
G18619,Artillery,3.95
G17402,Ground Forces,7.36
G25356,Civilian Sector (Direct Entry),0.0
G23270,Civilian Sector (Direct Entry),0.0
G22986,Communications & Engineering Troops,2.5
