person_id,current_rank,current_rank_date,previous_rank,previous_rank_date,current_rank_tenure_years,years_since_last_promotion
G08643,Senior Warrant Officer,2013-12-15,Warrant Officer,2011-12-16,12.54,12.54
G08693,Senior Warrant Officer,2013-10-07,Warrant Officer,2011-10-07,12.73,12.73
G23673,Warrant Officer,2026-01-24,Junior Warrant Officer,2024-01-25,0.43,0.43
G24293,Junior Warrant Officer,2025-09-26,,,0.76,0.76
G23445,Junior Warrant Officer,2024-12-04,,,1.57,1.57
G21944,Warrant Officer,2024-08-02,Junior Warrant Officer,2022-08-02,1.91,1.91
G22075,Warrant Officer,2025-01-21,Junior Warrant Officer,2023-01-21,1.44,1.44
G23253,Junior Warrant Officer,2024-07-22,,,1.94,1.94
G22963,Warrant Officer,2024-12-30,Junior Warrant Officer,2022-12-30,1.5,1.5
G22206,Warrant Officer,2025-06-27,Junior Warrant Officer,2023-06-27,1.01,1.01
G23305,Junior Warrant Officer,2024-07-29,,,1.92,1.92
G24645,Junior Warrant Officer,2025-04-22,,,1.19,1.19
G25276,Junior Warrant Officer,2026-04-04,,,0.24,0.24
G24726,Junior Warrant Officer,2025-04-22,,,1.19,1.19
G22585,Warrant Officer,2025-04-29,Junior Warrant Officer,2023-04-30,1.17,1.17
G18574,Senior Warrant Officer,2023-06-09,Warrant Officer,2021-06-08,3.06,3.06
G24803,Junior Warrant Officer,2025-09-15,,,0.79,0.79
G24422,Junior Warrant Officer,2025-11-12,,,0.63,0.63
G24379,Junior Warrant Officer,2025-07-29,,,0.92,0.92
G20209,Senior Warrant Officer,2025-05-25,Warrant Officer,2023-05-25,1.1,1.1
G23995,Junior Warrant Officer,2024-08-16,,,1.87,1.87
G15195,Senior Warrant Officer,2020-12-15,Warrant Officer,2018-12-16,5.54,5.54
G10686,Senior Warrant Officer,2015-12-12,Warrant Officer,2013-12-12,10.55,10.55
G11957,Senior Warrant Officer,2016-09-07,Warrant Officer,2014-09-08,9.81,9.81
G17797,Senior Warrant Officer,2022-01-03,Warrant Officer,2020-01-03,4.49,4.49
G19538,Senior Warrant Officer,2024-06-26,Warrant Officer,2022-06-27,2.01,2.01
G24344,Junior Warrant Officer,2025-05-21,,,1.11,1.11
G22249,Warrant Officer,2025-01-21,Junior Warrant Officer,2023-01-21,1.44,1.44
G22769,Warrant Officer,2025-12-19,Junior Warrant Officer,2023-12-19,0.53,0.53
G08859,Senior Warrant Officer,2013-10-21,Warrant Officer,2011-10-22,12.69,12.69
G22733,Warrant Officer,2025-12-12,Junior Warrant Officer,2023-12-12,0.55,0.55
G11223,Senior Warrant Officer,2016-12-08,Warrant Officer,2014-12-08,9.56,9.56
G13364,Senior Warrant Officer,2018-03-20,Warrant Officer,2016-03-20,8.28,8.28
G25102,Junior Warrant Officer,2026-05-07,,,0.15,0.15
G13541,Senior Warrant Officer,2018-04-26,Warrant Officer,2016-04-25,8.18,8.18
G23338,Warrant Officer,2026-03-13,Junior Warrant Officer,2024-03-12,0.3,0.3
G21587,Warrant Officer,2024-09-11,Junior Warrant Officer,2022-09-12,1.8,1.8
G08482,Senior Warrant Officer,2013-01-06,Warrant Officer,2011-01-06,13.48,13.48
G25255,Junior Warrant Officer,2026-04-15,,,0.21,0.21
AO97199,Lieutenant Colonel,2012-11-05,Major,2009-11-05,13.65,13.65
AO16486,Captain,2023-03-28,Senior Lieutenant,2020-03-27,3.26,3.26
AO12560,Major,2024-09-04,Captain,2019-09-04,1.82,1.82
G15848,Senior Warrant Officer,2020-03-20,Warrant Officer,2018-03-20,6.28,6.28
AO13826,Major,2025-10-03,Captain,2020-10-03,0.74,0.74
AO21460,Senior Lieutenant,2025-10-21,Lieutenant,2022-10-22,0.69,0.69
AO18804,Captain,2025-12-12,Senior Lieutenant,2022-12-12,0.55,0.55
AO17999,Captain,2024-06-12,Senior Lieutenant,2021-06-12,2.05,2.05
AO21945,Senior Lieutenant,2025-11-12,Lieutenant,2022-11-13,0.63,0.63
AO22715,Senior Lieutenant,2026-01-24,Lieutenant,2023-01-25,0.43,0.43
AO16664,Captain,2023-09-30,Senior Lieutenant,2020-09-29,2.75,2.75
AO24322,Lieutenant,2025-01-28,,,1.42,1.42
AO24715,Lieutenant,2025-06-01,,,1.08,1.08
AO16557,Captain,2023-06-16,Senior Lieutenant,2020-06-15,3.04,3.04
AO20423,Senior Lieutenant,2024-08-09,Lieutenant,2021-08-09,1.89,1.89
AO15870,Captain,2022-12-01,Senior Lieutenant,2019-12-01,3.58,3.58
AO17162,Captain,2024-10-21,Senior Lieutenant,2021-10-21,1.69,1.69
AO24225,Lieutenant,2025-09-26,,,0.76,0.76
AO24481,Lieutenant,2025-12-19,,,0.53,0.53
AO12508,Major,2024-06-12,Captain,2019-06-12,2.05,2.05
AO23007,Lieutenant,2024-12-04,,,1.57,1.57
AO21316,Senior Lieutenant,2025-10-11,Lieutenant,2022-10-11,0.72,0.72
AO21906,Senior Lieutenant,2025-02-22,Lieutenant,2022-02-23,1.35,1.35
AO24203,Lieutenant,2025-03-16,,,1.29,1.29
AO20690,Senior Lieutenant,2024-11-27,Lieutenant,2021-11-27,1.59,1.59
AO19316,Captain,2026-04-22,Senior Lieutenant,2023-04-22,0.19,0.19
AO20211,Senior Lieutenant,2024-11-30,Lieutenant,2021-12-01,1.58,1.58
AO14299,Major,2026-05-03,Captain,2021-05-03,0.16,0.16
AO23728,Lieutenant,2024-10-03,,,1.74,1.74
AO22709,Senior Lieutenant,2026-01-17,Lieutenant,2023-01-17,0.45,0.45
AO18592,Captain,2025-01-10,Senior Lieutenant,2022-01-10,1.47,1.47
AO18652,Captain,2025-09-15,Senior Lieutenant,2022-09-15,0.79,0.79
AO24038,Lieutenant,2025-08-06,,,0.9,0.9
AO23051,Lieutenant,2024-07-29,,,1.92,1.92
AO25210,Lieutenant,2026-06-01,,,0.08,0.08
AO25050,Lieutenant,2026-03-06,,,0.32,0.32
AO24602,Lieutenant,2025-07-26,,,0.93,0.93
AO23001,Lieutenant,2024-08-20,,,1.86,1.86
AO16430,Captain,2023-12-30,Senior Lieutenant,2020-12-30,2.5,2.5
AO23143,Lieutenant,2024-11-30,,,1.58,1.58
AO24756,Lieutenant,2025-01-28,,,1.42,1.42
AO12366,Major,2024-12-08,Captain,2019-12-08,1.56,1.56
AO24395,Lieutenant,2025-05-28,,,1.09,1.09
AO23430,Lieutenant,2024-09-22,,,1.77,1.77
AO24998,Lieutenant,2025-11-27,,,0.59,0.59
G22440,Warrant Officer,2025-07-19,Junior Warrant Officer,2023-07-19,0.95,0.95
G11589,Senior Warrant Officer,2016-10-03,Warrant Officer,2014-10-03,9.74,9.74
G23771,Warrant Officer,2026-01-06,Junior Warrant Officer,2024-01-07,0.48,0.48
G17117,Senior Warrant Officer,2022-11-02,Warrant Officer,2020-11-01,3.66,3.66
G15417,Senior Warrant Officer,2020-10-10,Warrant Officer,2018-10-11,5.72,5.72
G24483,Junior Warrant Officer,2025-12-26,,,0.51,0.51
G24819,Junior Warrant Officer,2025-06-19,,,1.03,1.03
G22927,Warrant Officer,2025-06-23,Junior Warrant Officer,2023-06-23,1.02,1.02
G24599,Junior Warrant Officer,2025-03-13,,,1.3,1.3
G25161,Junior Warrant Officer,2026-04-22,,,0.19,0.19
G13723,Senior Warrant Officer,2018-06-30,Warrant Officer,2016-06-30,8.0,8.0
G24135,Junior Warrant Officer,2025-03-27,,,1.26,1.26
G21624,Warrant Officer,2024-10-29,Junior Warrant Officer,2022-10-29,1.67,1.67
G08986,Senior Warrant Officer,2013-04-26,Warrant Officer,2011-04-26,13.18,13.18
G21223,Warrant Officer,2024-11-12,Junior Warrant Officer,2022-11-13,1.63,1.63
G23268,Warrant Officer,2026-06-12,Junior Warrant Officer,2024-06-12,0.05,0.05
G25106,Junior Warrant Officer,2026-05-07,,,0.15,0.15
G25990,Junior Warrant Officer,2026-05-10,,,0.14,0.14
G15161,Senior Warrant Officer,2020-05-21,Warrant Officer,2018-05-21,6.11,6.11
G22969,Warrant Officer,2025-11-12,Junior Warrant Officer,2023-11-13,0.63,0.63
G25008,Junior Warrant Officer,2026-06-27,,,0.01,0.01
G24879,Junior Warrant Officer,2025-01-02,,,1.49,1.49
G16019,Senior Warrant Officer,2021-02-15,Warrant Officer,2019-02-16,5.37,5.37
G24796,Junior Warrant Officer,2025-02-15,,,1.37,1.37
G23895,Junior Warrant Officer,2024-08-24,,,1.85,1.85
G21967,Senior Warrant Officer,2026-01-13,Warrant Officer,2024-01-14,0.46,0.46
G24128,Junior Warrant Officer,2025-01-02,,,1.49,1.49
G17208,Senior Warrant Officer,2022-01-28,Warrant Officer,2020-01-29,4.42,4.42
G23922,Junior Warrant Officer,2024-09-22,,,1.77,1.77
G11685,Senior Warrant Officer,2016-10-10,Warrant Officer,2014-10-11,9.72,9.72
G23964,Junior Warrant Officer,2024-09-29,,,1.75,1.75
G24038,Junior Warrant Officer,2025-05-06,,,1.15,1.15
G23945,Warrant Officer,2026-04-29,Junior Warrant Officer,2024-04-29,0.17,0.17
G10758,Senior Warrant Officer,2015-08-10,Warrant Officer,2013-08-09,10.89,10.89
G08002,Senior Warrant Officer,2013-09-22,Warrant Officer,2011-09-23,12.77,12.77
G24250,Junior Warrant Officer,2025-04-07,,,1.23,1.23
G24010,Junior Warrant Officer,2025-02-26,,,1.34,1.34
G24043,Junior Warrant Officer,2024-12-30,,,1.5,1.5
G22635,Warrant Officer,2025-03-16,Junior Warrant Officer,2023-03-17,1.29,1.29
G22413,Warrant Officer,2025-12-30,Junior Warrant Officer,2023-12-30,0.5,0.5
G21070,Warrant Officer,2024-08-06,Junior Warrant Officer,2022-08-06,1.9,1.9
G23299,Warrant Officer,2026-01-10,Junior Warrant Officer,2024-01-10,0.47,0.47
G25915,Junior Warrant Officer,2026-02-08,,,0.39,0.39
G22473,Warrant Officer,2025-03-05,Junior Warrant Officer,2023-03-06,1.32,1.32
G24309,Junior Warrant Officer,2025-05-14,,,1.13,1.13
G18175,Senior Warrant Officer,2023-12-19,Warrant Officer,2021-12-19,2.53,2.53
G10138,Senior Warrant Officer,2015-10-26,Warrant Officer,2013-10-25,10.68,10.68
G24284,Junior Warrant Officer,2025-10-11,,,0.72,0.72
G22544,Warrant Officer,2025-07-15,Junior Warrant Officer,2023-07-15,0.96,0.96
G14731,Senior Warrant Officer,2019-03-13,Warrant Officer,2017-03-13,7.3,7.3
G23763,Warrant Officer,2026-05-03,Junior Warrant Officer,2024-05-03,0.16,0.16
G08568,Senior Warrant Officer,2013-02-15,Warrant Officer,2011-02-16,13.37,13.37
G12593,Senior Warrant Officer,2017-02-04,Warrant Officer,2015-02-05,9.4,9.4
G08962,Senior Warrant Officer,2013-10-03,Warrant Officer,2011-10-04,12.74,12.74
G12425,Senior Warrant Officer,2017-10-25,Warrant Officer,2015-10-26,8.68,8.68
G25778,Junior Warrant Officer,2026-06-05,,,0.07,0.07
G13609,Senior Warrant Officer,2018-05-25,Warrant Officer,2016-05-24,8.1,8.1
G24580,Junior Warrant Officer,2025-09-19,,,0.78,0.78
G21267,Warrant Officer,2024-10-14,Junior Warrant Officer,2022-10-14,1.71,1.71
G23226,Warrant Officer,2026-04-26,Junior Warrant Officer,2024-04-25,0.18,0.18
AO05709,Lieutenant Colonel,2020-10-07,Major,2017-10-07,5.73,5.73
AO12824,Major,2024-11-12,Captain,2019-11-13,1.63,1.63
AO16360,Captain,2023-06-05,Senior Lieutenant,2020-06-04,3.07,3.07
G11837,Senior Warrant Officer,2016-04-25,Warrant Officer,2014-04-26,10.18,10.18
AO13387,Major,2025-12-15,Captain,2020-12-15,0.54,0.54
AO18342,Captain,2025-04-22,Senior Lieutenant,2022-04-22,1.19,1.19
AO23991,Lieutenant,2024-09-15,,,1.79,1.79
AO11296,Major,2023-10-18,Captain,2018-10-18,2.7,2.7
AO24278,Lieutenant,2025-04-22,,,1.19,1.19
AO21963,Senior Lieutenant,2025-06-27,Lieutenant,2022-06-27,1.01,1.01
AO24578,Lieutenant,2025-11-09,,,0.64,0.64
AO25711,Lieutenant,2026-06-09,,,0.06,0.06
AO14187,Major,2026-06-09,Captain,2021-06-08,0.06,0.06
AO22316,Senior Lieutenant,2026-04-18,Lieutenant,2023-04-19,0.2,0.2
AO18186,Captain,2025-12-30,Senior Lieutenant,2022-12-30,0.5,0.5
AO20436,Senior Lieutenant,2024-10-21,Lieutenant,2021-10-21,1.69,1.69
AO18238,Captain,2025-12-04,Senior Lieutenant,2022-12-05,0.57,0.57
AO25379,Lieutenant,2026-01-03,,,0.49,0.49
AO12189,Major,2024-10-29,Captain,2019-10-29,1.67,1.67
AO15573,Captain,2022-08-28,Senior Lieutenant,2019-08-28,3.84,3.84
AO18127,Captain,2025-10-29,Senior Lieutenant,2022-10-29,0.67,0.67
AO13278,Major,2025-09-04,Captain,2020-09-04,0.82,0.82
AO15860,Captain,2022-06-30,Senior Lieutenant,2019-07-01,4.0,4.0
AO23574,Lieutenant,2024-10-25,,,1.68,1.68
AO24436,Lieutenant,2025-06-05,,,1.07,1.07
AO24631,Lieutenant,2025-02-04,,,1.4,1.4
AO15583,Captain,2022-06-30,Senior Lieutenant,2019-07-01,4.0,4.0
AO24190,Lieutenant,2025-06-27,,,1.01,1.01
AO15781,Captain,2022-09-19,Senior Lieutenant,2019-09-19,3.78,3.78
AO12061,Major,2024-05-17,Captain,2019-05-18,2.12,2.12
AO18148,Captain,2025-03-16,Senior Lieutenant,2022-03-17,1.29,1.29
AO13289,Major,2025-07-04,Captain,2020-07-04,0.99,0.99
AO23475,Lieutenant,2024-08-27,,,1.84,1.84
AO25607,Lieutenant,2026-06-23,,,0.02,0.02
AO21091,Senior Lieutenant,2025-02-08,Lieutenant,2022-02-08,1.39,1.39
AO22207,Senior Lieutenant,2026-05-03,Lieutenant,2023-05-03,0.16,0.16
AO17682,Captain,2024-05-06,Senior Lieutenant,2021-05-06,2.15,2.15
AO17015,Captain,2024-09-18,Senior Lieutenant,2021-09-19,1.78,1.78
AO13576,Major,2025-05-14,Captain,2020-05-14,1.13,1.13
AO20306,Senior Lieutenant,2024-10-25,Lieutenant,2021-10-25,1.68,1.68
AO14271,Major,2026-02-15,Captain,2021-02-15,0.37,0.37
AO25477,Lieutenant,2026-06-23,,,0.02,0.02
AO16242,Captain,2023-10-11,Senior Lieutenant,2020-10-10,2.72,2.72
AO23405,Lieutenant,2024-11-12,,,1.63,1.63
AO18046,Captain,2025-08-13,Senior Lieutenant,2022-08-13,0.88,0.88
G20303,Senior Warrant Officer,2025-12-12,Warrant Officer,2023-12-12,0.55,0.55
G12516,Senior Warrant Officer,2017-05-28,Warrant Officer,2015-05-29,9.09,9.09
G11545,Senior Warrant Officer,2016-11-30,Warrant Officer,2014-12-01,9.58,9.58
G24443,Junior Warrant Officer,2025-06-30,,,1.0,1.0
G24868,Junior Warrant Officer,2025-01-06,,,1.48,1.48
G23314,Warrant Officer,2026-02-23,Junior Warrant Officer,2024-02-23,0.35,0.35
G19777,Senior Warrant Officer,2024-08-02,Warrant Officer,2022-08-02,1.91,1.91
G08440,Senior Warrant Officer,2013-04-11,Warrant Officer,2011-04-11,13.22,13.22
G23726,Junior Warrant Officer,2024-10-18,,,1.7,1.7
G11657,Senior Warrant Officer,2016-04-29,Warrant Officer,2014-04-29,10.17,10.17
G21722,Warrant Officer,2024-09-22,Junior Warrant Officer,2022-09-23,1.77,1.77
G22580,Warrant Officer,2025-02-22,Junior Warrant Officer,2023-02-23,1.35,1.35
G16308,Senior Warrant Officer,2021-08-28,Warrant Officer,2019-08-28,4.84,4.84
G23263,Warrant Officer,2026-04-04,Junior Warrant Officer,2024-04-03,0.24,0.24
G22662,Warrant Officer,2025-06-19,Junior Warrant Officer,2023-06-20,1.03,1.03
G20911,Senior Warrant Officer,2025-10-18,Warrant Officer,2023-10-18,0.7,0.7
G22464,Warrant Officer,2025-11-12,Junior Warrant Officer,2023-11-13,0.63,0.63
G21369,Warrant Officer,2024-09-26,Junior Warrant Officer,2022-09-26,1.76,1.76
G18149,Senior Warrant Officer,2023-02-12,Warrant Officer,2021-02-11,3.38,3.38
G07690,Senior Warrant Officer,2012-09-29,Warrant Officer,2010-09-30,13.75,13.75
G23804,Warrant Officer,2026-05-14,Junior Warrant Officer,2024-05-14,0.13,0.13
G24311,Junior Warrant Officer,2025-08-20,,,0.86,0.86
G07820,Senior Warrant Officer,2012-06-19,Warrant Officer,2010-06-20,14.03,14.03
G24390,Junior Warrant Officer,2025-07-19,,,0.95,0.95
G09841,Senior Warrant Officer,2014-03-06,Warrant Officer,2012-03-05,12.32,12.32
G25584,Junior Warrant Officer,2026-05-07,,,0.15,0.15
G23074,Warrant Officer,2026-04-22,Junior Warrant Officer,2024-04-22,0.19,0.19
G23810,Junior Warrant Officer,2024-07-18,,,1.95,1.95
G21565,Warrant Officer,2024-09-18,Junior Warrant Officer,2022-09-19,1.78,1.78
G20187,Senior Warrant Officer,2025-07-26,Warrant Officer,2023-07-26,0.93,0.93
G24951,Junior Warrant Officer,2025-04-11,,,1.22,1.22
G25456,Junior Warrant Officer,2026-05-21,,,0.11,0.11
G15955,Senior Warrant Officer,2020-06-19,Warrant Officer,2018-06-20,6.03,6.03
G21305,Warrant Officer,2024-10-07,Junior Warrant Officer,2022-10-07,1.73,1.73
G22415,Warrant Officer,2025-08-02,Junior Warrant Officer,2023-08-03,0.91,0.91
G22037,Warrant Officer,2025-04-04,Junior Warrant Officer,2023-04-04,1.24,1.24
G22579,Warrant Officer,2025-02-22,Junior Warrant Officer,2023-02-23,1.35,1.35
G22977,Warrant Officer,2025-04-26,Junior Warrant Officer,2023-04-26,1.18,1.18
G24065,Junior Warrant Officer,2025-01-24,,,1.43,1.43
G07673,Senior Warrant Officer,2012-12-04,Warrant Officer,2010-12-05,13.57,13.57
G22535,Warrant Officer,2025-10-14,Junior Warrant Officer,2023-10-15,0.71,0.71
G23918,Warrant Officer,2026-02-15,Junior Warrant Officer,2024-02-16,0.37,0.37
G25132,Junior Warrant Officer,2026-03-28,,,0.26,0.26
G22485,Warrant Officer,2025-03-13,Junior Warrant Officer,2023-03-13,1.3,1.3
G22220,Warrant Officer,2025-06-01,Junior Warrant Officer,2023-06-02,1.08,1.08
G22168,Warrant Officer,2025-04-15,Junior Warrant Officer,2023-04-15,1.21,1.21
G13401,Senior Warrant Officer,2018-09-23,Warrant Officer,2016-09-22,7.77,7.77
G25062,Junior Warrant Officer,2026-01-10,,,0.47,0.47
G23312,Warrant Officer,2026-05-21,Junior Warrant Officer,2024-05-21,0.11,0.11
G11789,Senior Warrant Officer,2016-11-19,Warrant Officer,2014-11-20,9.61,9.61
G25707,Junior Warrant Officer,2026-02-12,,,0.38,0.38
G22436,Warrant Officer,2025-07-26,Junior Warrant Officer,2023-07-26,0.93,0.93
G13194,Senior Warrant Officer,2018-01-03,Warrant Officer,2016-01-03,8.49,8.49
G24151,Junior Warrant Officer,2025-11-01,,,0.66,0.66
G07405,Senior Warrant Officer,2012-11-01,Warrant Officer,2010-11-02,13.66,13.66
G11903,Senior Warrant Officer,2016-11-30,Warrant Officer,2014-12-01,9.58,9.58
G23626,Warrant Officer,2026-01-24,Junior Warrant Officer,2024-01-25,0.43,0.43
G09553,Senior Warrant Officer,2014-04-11,Warrant Officer,2012-04-11,12.22,12.22
G22502,Warrant Officer,2025-09-11,Junior Warrant Officer,2023-09-12,0.8,0.8
G25177,Junior Warrant Officer,2026-06-23,,,0.02,0.02
AO97317,Lieutenant Colonel,2012-08-02,Major,2009-08-02,13.91,13.91
AO14416,Major,2026-02-01,Captain,2021-01-31,0.41,0.41
AO14212,Major,2026-06-20,Captain,2021-06-19,0.03,0.03
G23124,Warrant Officer,2026-05-14,Junior Warrant Officer,2024-05-14,0.13,0.13
AO18162,Captain,2025-09-30,Senior Lieutenant,2022-09-30,0.75,0.75
AO17072,Captain,2024-05-06,Senior Lieutenant,2021-05-06,2.15,2.15
AO24985,Lieutenant,2025-07-22,,,0.94,0.94
AO21429,Senior Lieutenant,2025-05-17,Lieutenant,2022-05-18,1.12,1.12
AO20240,Senior Lieutenant,2024-08-20,Lieutenant,2021-08-20,1.86,1.86
AO16860,Captain,2023-01-10,Senior Lieutenant,2020-01-10,3.47,3.47
AO24475,Lieutenant,2025-03-31,,,1.25,1.25
AO24451,Lieutenant,2025-06-01,,,1.08,1.08
AO25736,Lieutenant,2026-03-13,,,0.3,0.3
AO24080,Lieutenant,2025-12-19,,,0.53,0.53
AO17637,Captain,2024-02-23,Senior Lieutenant,2021-02-22,2.35,2.35
AO23313,Lieutenant,2024-12-15,,,1.54,1.54
AO23316,Lieutenant,2024-11-19,,,1.61,1.61
AO17887,Captain,2024-08-09,Senior Lieutenant,2021-08-09,1.89,1.89
AO15343,Captain,2022-07-15,Senior Lieutenant,2019-07-15,3.96,3.96
AO18123,Captain,2025-11-27,Senior Lieutenant,2022-11-27,0.59,0.59
AO18600,Captain,2025-03-16,Senior Lieutenant,2022-03-17,1.29,1.29
AO24112,Lieutenant,2025-06-23,,,1.02,1.02
AO18070,Captain,2025-03-09,Senior Lieutenant,2022-03-09,1.31,1.31
AO24903,Lieutenant,2025-05-17,,,1.12,1.12
AO21835,Senior Lieutenant,2025-07-19,Lieutenant,2022-07-19,0.95,0.95
AO21206,Senior Lieutenant,2025-06-08,Lieutenant,2022-06-09,1.06,1.06
AO15626,Captain,2022-09-04,Senior Lieutenant,2019-09-04,3.82,3.82
AO16652,Captain,2023-08-25,Senior Lieutenant,2020-08-24,2.85,2.85
AO21394,Senior Lieutenant,2025-07-08,Lieutenant,2022-07-08,0.98,0.98
AO17667,Captain,2024-04-07,Senior Lieutenant,2021-04-07,2.23,2.23
AO25008,Lieutenant,2026-06-12,,,0.05,0.05
AO21911,Senior Lieutenant,2025-02-26,Lieutenant,2022-02-26,1.34,1.34
AO24650,Lieutenant,2025-05-17,,,1.12,1.12
AO13655,Major,2025-05-06,Captain,2020-05-06,1.15,1.15
AO19192,Captain,2026-06-16,Senior Lieutenant,2023-06-16,0.04,0.04
AO22118,Senior Lieutenant,2026-06-27,Lieutenant,2023-06-27,0.01,0.01
AO24579,Lieutenant,2025-10-03,,,0.74,0.74
AO12488,Major,2024-09-04,Captain,2019-09-04,1.82,1.82
AO24665,Lieutenant,2025-07-15,,,0.96,0.96
AO18360,Captain,2025-06-27,Senior Lieutenant,2022-06-27,1.01,1.01
AO12822,Major,2024-01-10,Captain,2019-01-10,2.47,2.47
AO11938,Major,2023-07-04,Captain,2018-07-04,2.99,2.99
