record_id,person_id,department,year,month,record_type,severity,reason
D0155,AO21394,Gamma,2022,5,Warning,Minor,Uniform/Regulation Violation
D0156,AO25008,Gamma,2024,5,Commendation,,Outstanding Duty Performance
D0157,AO13655,Gamma,2025,6,Reprimand,Minor,Unauthorized Absence
D0158,AO13655,Gamma,2022,10,Warning,Minor,Uniform/Regulation Violation
D0159,AO19192,Gamma,2024,9,Warning,Minor,Insubordination
D0160,AO22118,Gamma,2024,9,Reprimand,Minor,Late Arrival
D0161,AO22118,Gamma,2025,12,Warning,Minor,Equipment Mishandling
D0162,AO22118,Gamma,2024,12,Reprimand,Major,Uniform/Regulation Violation
D0163,AO22118,Gamma,2024,9,Commendation,,Outstanding Duty Performance
D0164,AO12488,Gamma,2023,7,Commendation,,Exemplary Conduct
D0165,AO21355,Gamma,2026,5,Commendation,,Outstanding Duty Performance
D0166,AO21355,Gamma,2026,2,Commendation,,Exemplary Conduct
D0167,AO16958,Gamma,2022,10,Reprimand,Minor,Insubordination
D0168,AO23557,Gamma,2026,5,Warning,Minor,Uniform/Regulation Violation
D0169,AO23557,Gamma,2023,2,Warning,Minor,Equipment Mishandling
D0170,G08994,Gamma,2022,8,Commendation,,Outstanding Duty Performance
D0171,G21712,Gamma,2025,9,Commendation,,Outstanding Duty Performance
D0172,G21712,Gamma,2023,7,Commendation,,Outstanding Duty Performance
D0173,G24625,Gamma,2024,9,Warning,Minor,Late Arrival
D0174,G08825,Gamma,2024,10,Warning,Minor,Late Arrival
D0175,G08825,Gamma,2025,7,Commendation,,Exemplary Conduct
D0176,G24228,Gamma,2024,5,Reprimand,Minor,Unauthorized Absence
D0177,G24228,Gamma,2026,5,Commendation,,Outstanding Duty Performance
D0178,G22914,Gamma,2026,4,Warning,Minor,Unauthorized Absence
D0179,G21335,Gamma,2025,6,Warning,Minor,Insubordination
D0180,G18607,Gamma,2023,7,Commendation,,Outstanding Duty Performance
D0181,G22236,Gamma,2024,3,Commendation,,Exemplary Conduct
D0182,G23603,Gamma,2023,3,Warning,Minor,Equipment Mishandling
D0183,G23603,Gamma,2026,3,Warning,Minor,Equipment Mishandling
D0184,G23250,Gamma,2025,2,Reprimand,Minor,Insubordination
D0185,G09851,Gamma,2024,2,Warning,Minor,Equipment Mishandling
D0186,G24028,Gamma,2025,7,Warning,Minor,Equipment Mishandling
D0187,G22616,Gamma,2024,3,Warning,Minor,Insubordination
D0188,G22788,Gamma,2026,4,Reprimand,Minor,Uniform/Regulation Violation
D0189,G24144,Gamma,2026,4,Commendation,,Exemplary Conduct
D0190,G24144,Gamma,2025,3,Commendation,,Exemplary Conduct
D0191,AO12830,Sigma,2025,7,Warning,Minor,Equipment Mishandling
D0192,AO22617,Sigma,2026,2,Commendation,,Exemplary Conduct
D0193,AO21436,Sigma,2024,11,Warning,Minor,Late Arrival
D0194,AO25376,Sigma,2025,4,Warning,Minor,Uniform/Regulation Violation
D0195,AO25376,Sigma,2025,5,Warning,Minor,Uniform/Regulation Violation
D0196,AO23780,Sigma,2023,12,Warning,Minor,Unauthorized Absence
D0197,AO14671,Sigma,2023,8,Commendation,,Outstanding Duty Performance
D0198,AO11537,Sigma,2023,11,Commendation,,Exemplary Conduct
D0199,AO12140,Sigma,2025,4,Commendation,,Outstanding Duty Performance
D0200,AO14110,Sigma,2026,2,Warning,Minor,Insubordination
D0201,AO14110,Sigma,2022,7,Commendation,,Outstanding Duty Performance
D0202,AO23508,Sigma,2023,8,Commendation,,Outstanding Duty Performance
D0203,AO22645,Sigma,2023,6,Warning,Minor,Equipment Mishandling
D0204,AO21878,Sigma,2023,1,Commendation,,Exemplary Conduct
D0205,AO20873,Sigma,2026,3,Commendation,,Outstanding Duty Performance
D0206,AO17508,Sigma,2023,9,Reprimand,Major,Insubordination
D0207,AO13943,Sigma,2024,9,Warning,Minor,Late Arrival
D0208,AO25541,Sigma,2024,4,Warning,Minor,Equipment Mishandling
D0209,AO22788,Sigma,2024,2,Warning,Minor,Late Arrival
D0210,AO22788,Sigma,2023,6,Commendation,,Outstanding Duty Performance
D0211,AO21338,Sigma,2026,1,Warning,Minor,Uniform/Regulation Violation
D0212,G21956,Sigma,2024,4,Warning,Minor,Equipment Mishandling
D0213,G24754,Sigma,2024,11,Warning,Minor,Equipment Mishandling
D0214,G21555,Sigma,2025,7,Reprimand,Minor,Unauthorized Absence
D0215,G23967,Sigma,2023,1,Commendation,,Exemplary Conduct
D0216,G13345,Sigma,2025,10,Commendation,,Exemplary Conduct
D0217,G22782,Sigma,2026,1,Warning,Minor,Late Arrival
D0218,G22028,Sigma,2026,5,Commendation,,Outstanding Duty Performance
D0219,G21049,Sigma,2023,12,Reprimand,Minor,Uniform/Regulation Violation
D0220,G21049,Sigma,2024,5,Reprimand,Minor,Unauthorized Absence
D0221,G22471,Sigma,2024,8,Warning,Minor,Equipment Mishandling
D0222,G18512,Sigma,2024,6,Commendation,,Outstanding Duty Performance
D0223,G23291,Sigma,2026,6,Warning,Minor,Uniform/Regulation Violation
D0224,G23231,Sigma,2024,10,Reprimand,Minor,Uniform/Regulation Violation
D0225,G23588,Sigma,2024,6,Commendation,,Exemplary Conduct
D0226,G09565,Sigma,2024,1,Commendation,,Exemplary Conduct
D0227,G21906,Sigma,2026,4,Commendation,,Outstanding Duty Performance
D0228,G17879,Sigma,2022,4,Commendation,,Exemplary Conduct
D0229,G22590,Sigma,2023,11,Reprimand,Minor,Uniform/Regulation Violation
D0230,G23419,Sigma,2026,4,Warning,Minor,Insubordination
D0231,G23419,Sigma,2022,12,Reprimand,Minor,Equipment Mishandling
D0232,G23419,Sigma,2026,3,Reprimand,Major,Insubordination
D0233,G25531,Sigma,2024,12,Commendation,,Outstanding Duty Performance
