department,specialization,year,planned_headcount,new_hires_needed_this_year,cumulative_growth_from_2026_pct
Sigma,Technical Staff,2028,41,6,36.7
Sigma,Technical Staff,2029,48,7,60.0
Sigma,Technical Staff,2030,56,8,86.7
Sigma,Training & Standardization Lead,2027,1,0,0.0
Sigma,Training & Standardization Lead,2028,1,0,0.0
Sigma,Training & Standardization Lead,2029,1,0,0.0
Sigma,Training & Standardization Lead,2030,1,0,0.0
Sigma,Training & Standardization Officer,2027,3,0,0.0
Sigma,Training & Standardization Officer,2028,3,0,0.0
Sigma,Training & Standardization Officer,2029,3,0,0.0
Sigma,Training & Standardization Officer,2030,3,0,0.0
Sigma,UAV Operator,2027,30,4,15.4
Sigma,UAV Operator,2028,34,4,30.8
Sigma,UAV Operator,2029,39,5,50.0
Sigma,UAV Operator,2030,45,6,73.1
