person_id,department,exam_year,standardization_score,flight_clearance,retake_required,retake_score,final_clearance_status,evaluator_id
AO12461,Alpha,2021,80.1,Cleared,False,,Cleared,AO16543
AO12461,Alpha,2022,82.5,Cleared,False,,Cleared,AO16543
AO12461,Alpha,2023,88.9,Cleared,False,,Cleared,AO16543
AO12461,Alpha,2024,79.2,Cleared,False,,Cleared,AO16543
AO12461,Alpha,2025,89.7,Cleared,False,,Cleared,AO16543
AO12461,Alpha,2026,57.0,Not Cleared,True,67.0,Not Cleared,AO16543
AO12488,Gamma,2023,100.0,Cleared,False,,Cleared,AO18162
AO12488,Gamma,2024,99.6,Cleared,False,,Cleared,AO18162
AO12488,Gamma,2025,93.8,Cleared,False,,Cleared,AO18162
AO12488,Gamma,2026,90.4,Cleared,False,,Cleared,AO18162
AO12560,Beta,2023,61.6,Not Cleared,True,73.2,Cleared,AO13826
AO12560,Beta,2024,81.0,Cleared,False,,Cleared,AO13826
AO12560,Beta,2025,73.4,Cleared,False,,Cleared,AO13826
AO12560,Beta,2026,78.3,Cleared,False,,Cleared,AO13826
AO12605,Alpha,2021,93.4,Cleared,False,,Cleared,AO16543
AO12605,Alpha,2022,81.8,Cleared,False,,Cleared,AO16543
AO12605,Alpha,2023,78.1,Cleared,False,,Cleared,AO16543
AO12605,Alpha,2024,78.9,Cleared,False,,Cleared,AO16543
AO12605,Alpha,2025,85.0,Cleared,False,,Cleared,AO16543
AO12605,Alpha,2026,85.2,Cleared,False,,Cleared,AO16543
AO12822,Gamma,2023,75.9,Cleared,False,,Cleared,AO18162
AO12822,Gamma,2024,62.0,Not Cleared,True,76.6,Cleared,AO18162
AO12822,Gamma,2025,78.3,Cleared,False,,Cleared,AO18162
AO12822,Gamma,2026,74.4,Cleared,False,,Cleared,AO18162
AO12824,Delta,2021,67.8,Not Cleared,True,78.3,Cleared,AO13387
AO12824,Delta,2022,48.1,Not Cleared,True,65.0,Not Cleared,AO13387
AO12824,Delta,2023,77.7,Cleared,False,,Cleared,AO13387
AO12824,Delta,2024,75.3,Cleared,False,,Cleared,AO13387
AO12824,Delta,2025,87.3,Cleared,False,,Cleared,AO13387
AO12824,Delta,2026,59.7,Not Cleared,True,73.7,Cleared,AO13387
AO13289,Delta,2021,88.8,Cleared,False,,Cleared,AO13387
AO13289,Delta,2022,79.8,Cleared,False,,Cleared,AO13387
AO13289,Delta,2023,83.1,Cleared,False,,Cleared,AO13387
AO13289,Delta,2024,75.2,Cleared,False,,Cleared,AO13387
AO13289,Delta,2025,86.9,Cleared,False,,Cleared,AO13387
AO13289,Delta,2026,74.0,Cleared,False,,Cleared,AO13387
AO13357,Alpha,2021,86.4,Cleared,False,,Cleared,AO16543
AO13357,Alpha,2022,100.0,Cleared,False,,Cleared,AO16543
AO13357,Alpha,2023,100.0,Cleared,False,,Cleared,AO16543
AO13357,Alpha,2024,87.1,Cleared,False,,Cleared,AO16543
AO13357,Alpha,2025,79.2,Cleared,False,,Cleared,AO16543
AO13357,Alpha,2026,82.2,Cleared,False,,Cleared,AO16543
AO13467,Sigma,2021,87.1,Cleared,False,,Cleared,AO12830
AO13467,Sigma,2022,71.6,Cleared,False,,Cleared,AO12830
AO13467,Sigma,2023,77.6,Cleared,False,,Cleared,AO12830
AO13467,Sigma,2024,64.1,Not Cleared,True,73.7,Cleared,AO12830
AO13467,Sigma,2025,73.2,Cleared,False,,Cleared,AO12830
AO13497,Alpha,2022,96.3,Cleared,False,,Cleared,AO16543
AO13497,Alpha,2023,100.0,Cleared,False,,Cleared,AO16543
AO13497,Alpha,2024,77.4,Cleared,False,,Cleared,AO16543
AO13497,Alpha,2025,75.4,Cleared,False,,Cleared,AO16543
AO13497,Alpha,2026,74.4,Cleared,False,,Cleared,AO16543
AO13576,Delta,2023,93.0,Cleared,False,,Cleared,AO13387
AO13576,Delta,2024,90.5,Cleared,False,,Cleared,AO13387
AO13576,Delta,2025,65.0,Not Cleared,True,76.9,Cleared,AO13387
AO13576,Delta,2026,78.9,Cleared,False,,Cleared,AO13387
AO13655,Gamma,2022,87.8,Cleared,False,,Cleared,AO18162
AO13655,Gamma,2023,71.2,Cleared,False,,Cleared,AO18162
AO13655,Gamma,2024,62.7,Not Cleared,True,68.9,Not Cleared,AO18162
AO13655,Gamma,2025,100.0,Cleared,False,,Cleared,AO18162
AO13655,Gamma,2026,88.5,Cleared,False,,Cleared,AO18162
AO13943,Sigma,2021,83.3,Cleared,False,,Cleared,AO12830
AO13943,Sigma,2022,81.0,Cleared,False,,Cleared,AO12830
AO13943,Sigma,2023,75.8,Cleared,False,,Cleared,AO12830
AO13943,Sigma,2024,81.1,Cleared,False,,Cleared,AO12830
AO13943,Sigma,2025,84.4,Cleared,False,,Cleared,AO12830
AO13943,Sigma,2026,85.5,Cleared,False,,Cleared,AO12830
AO14110,Sigma,2021,84.4,Cleared,False,,Cleared,AO12830
AO14110,Sigma,2022,69.3,Not Cleared,True,80.3,Cleared,AO12830
AO14110,Sigma,2023,90.4,Cleared,False,,Cleared,AO12830
AO14110,Sigma,2024,72.1,Cleared,False,,Cleared,AO12830
AO14110,Sigma,2025,84.4,Cleared,False,,Cleared,AO12830
AO14110,Sigma,2026,84.9,Cleared,False,,Cleared,AO12830
AO14187,Delta,2021,86.5,Cleared,False,,Cleared,AO13387
AO14187,Delta,2022,97.1,Cleared,False,,Cleared,AO13387
AO14187,Delta,2023,81.0,Cleared,False,,Cleared,AO13387
AO14187,Delta,2024,81.3,Cleared,False,,Cleared,AO13387
AO14187,Delta,2025,79.7,Cleared,False,,Cleared,AO13387
AO14187,Delta,2026,84.0,Cleared,False,,Cleared,AO13387
AO14212,Gamma,2025,64.2,Not Cleared,True,77.3,Cleared,AO18162
AO14212,Gamma,2026,67.7,Not Cleared,True,82.2,Cleared,AO18162
AO14271,Delta,2022,77.8,Cleared,False,,Cleared,AO13387
AO14271,Delta,2023,88.1,Cleared,False,,Cleared,AO13387
AO14271,Delta,2024,83.9,Cleared,False,,Cleared,AO13387
AO14271,Delta,2025,73.8,Cleared,False,,Cleared,AO13387
AO14271,Delta,2026,86.1,Cleared,False,,Cleared,AO13387
AO14299,Beta,2021,71.7,Cleared,False,,Cleared,AO13826
AO14299,Beta,2022,98.3,Cleared,False,,Cleared,AO13826
AO14299,Beta,2023,74.4,Cleared,False,,Cleared,AO13826
AO14299,Beta,2024,100.0,Cleared,False,,Cleared,AO13826
AO14299,Beta,2025,78.4,Cleared,False,,Cleared,AO13826
AO14299,Beta,2026,100.0,Cleared,False,,Cleared,AO13826
AO14416,Gamma,2023,79.7,Cleared,False,,Cleared,AO18162
AO14416,Gamma,2024,87.2,Cleared,False,,Cleared,AO18162
AO14416,Gamma,2025,81.4,Cleared,False,,Cleared,AO18162
AO14416,Gamma,2026,84.0,Cleared,False,,Cleared,AO18162
AO14671,Sigma,2022,67.0,Not Cleared,True,76.8,Cleared,AO12830
AO14671,Sigma,2023,78.1,Cleared,False,,Cleared,AO12830
AO14671,Sigma,2024,90.0,Cleared,False,,Cleared,AO12830
AO14671,Sigma,2025,86.2,Cleared,False,,Cleared,AO12830
AO14671,Sigma,2026,73.4,Cleared,False,,Cleared,AO12830
AO15343,Gamma,2021,76.4,Cleared,False,,Cleared,AO18162
AO15343,Gamma,2022,79.3,Cleared,False,,Cleared,AO18162
AO15343,Gamma,2023,78.5,Cleared,False,,Cleared,AO18162
AO15343,Gamma,2024,71.6,Cleared,False,,Cleared,AO18162
AO15343,Gamma,2025,91.4,Cleared,False,,Cleared,AO18162
AO15343,Gamma,2026,75.4,Cleared,False,,Cleared,AO18162
AO15583,Delta,2024,53.3,Not Cleared,True,64.1,Not Cleared,AO13387
AO15583,Delta,2025,62.9,Not Cleared,True,81.3,Cleared,AO13387
AO15583,Delta,2026,71.7,Cleared,False,,Cleared,AO13387
AO15626,Gamma,2022,70.9,Cleared,False,,Cleared,AO18162
AO15626,Gamma,2023,77.8,Cleared,False,,Cleared,AO18162
AO15626,Gamma,2024,80.1,Cleared,False,,Cleared,AO18162
AO15626,Gamma,2025,63.8,Not Cleared,True,79.5,Cleared,AO18162
AO15626,Gamma,2026,68.7,Not Cleared,True,82.5,Cleared,AO18162
AO15635,Alpha,2021,65.8,Not Cleared,True,75.6,Cleared,AO16543
AO15635,Alpha,2022,64.2,Not Cleared,True,80.3,Cleared,AO16543
AO15635,Alpha,2023,57.7,Not Cleared,True,62.7,Not Cleared,AO16543
AO15635,Alpha,2024,64.4,Not Cleared,True,74.2,Cleared,AO16543
AO15635,Alpha,2025,49.1,Not Cleared,True,59.7,Not Cleared,AO16543
AO15635,Alpha,2026,58.5,Not Cleared,True,70.6,Cleared,AO16543
AO15781,Delta,2022,87.8,Cleared,False,,Cleared,AO13387
AO15781,Delta,2023,67.8,Not Cleared,True,81.5,Cleared,AO13387
AO15781,Delta,2024,90.2,Cleared,False,,Cleared,AO13387
AO15781,Delta,2025,75.3,Cleared,False,,Cleared,AO13387
AO15781,Delta,2026,61.5,Not Cleared,True,74.6,Cleared,AO13387
AO15870,Beta,2022,94.0,Cleared,False,,Cleared,AO13826
AO15870,Beta,2023,89.8,Cleared,False,,Cleared,AO13826
AO15870,Beta,2024,96.5,Cleared,False,,Cleared,AO13826
AO15870,Beta,2025,74.2,Cleared,False,,Cleared,AO13826
AO15870,Beta,2026,65.9,Not Cleared,True,79.2,Cleared,AO13826
AO16212,Sigma,2021,81.6,Cleared,False,,Cleared,AO12830
AO16212,Sigma,2022,80.1,Cleared,False,,Cleared,AO12830
AO16212,Sigma,2023,76.7,Cleared,False,,Cleared,AO12830
AO16212,Sigma,2024,71.6,Cleared,False,,Cleared,AO12830
AO16212,Sigma,2025,85.8,Cleared,False,,Cleared,AO12830
AO16212,Sigma,2026,77.3,Cleared,False,,Cleared,AO12830
AO16242,Delta,2021,79.1,Cleared,False,,Cleared,AO13387
AO16242,Delta,2022,67.5,Not Cleared,True,88.8,Cleared,AO13387
AO16242,Delta,2023,81.2,Cleared,False,,Cleared,AO13387
AO16242,Delta,2024,67.0,Not Cleared,True,72.1,Cleared,AO13387
AO16242,Delta,2025,74.5,Cleared,False,,Cleared,AO13387
AO16242,Delta,2026,75.1,Cleared,False,,Cleared,AO13387
AO16360,Delta,2021,88.6,Cleared,False,,Cleared,AO13387
AO16360,Delta,2022,70.3,Cleared,False,,Cleared,AO13387
AO16360,Delta,2023,51.9,Not Cleared,True,64.3,Not Cleared,AO13387
AO16360,Delta,2024,74.7,Cleared,False,,Cleared,AO13387
AO16360,Delta,2025,71.3,Cleared,False,,Cleared,AO13387
AO16360,Delta,2026,64.6,Not Cleared,True,79.1,Cleared,AO13387
AO16430,Beta,2021,60.1,Not Cleared,True,73.8,Cleared,AO13826
AO16430,Beta,2022,91.6,Cleared,False,,Cleared,AO13826
AO16430,Beta,2023,100.0,Cleared,False,,Cleared,AO13826
AO16430,Beta,2024,70.9,Cleared,False,,Cleared,AO13826
AO16430,Beta,2025,89.6,Cleared,False,,Cleared,AO13826
AO16430,Beta,2026,95.9,Cleared,False,,Cleared,AO13826
AO16486,Beta,2022,67.3,Not Cleared,True,72.8,Cleared,AO13826
AO16486,Beta,2023,70.6,Cleared,False,,Cleared,AO13826
AO16486,Beta,2024,78.6,Cleared,False,,Cleared,AO13826
AO16486,Beta,2025,89.0,Cleared,False,,Cleared,AO13826
AO16486,Beta,2026,72.5,Cleared,False,,Cleared,AO13826
AO16547,Alpha,2024,83.1,Cleared,False,,Cleared,AO16543
AO16547,Alpha,2025,71.9,Cleared,False,,Cleared,AO16543
AO16547,Alpha,2026,66.7,Not Cleared,True,84.9,Cleared,AO16543
AO16557,Beta,2022,80.9,Cleared,False,,Cleared,AO13826
AO16557,Beta,2023,75.3,Cleared,False,,Cleared,AO13826
AO16557,Beta,2024,81.3,Cleared,False,,Cleared,AO13826
AO16557,Beta,2025,65.2,Not Cleared,True,76.8,Cleared,AO13826
AO16557,Beta,2026,88.1,Cleared,False,,Cleared,AO13826
AO16652,Gamma,2021,62.8,Not Cleared,True,72.2,Cleared,AO18162
AO16652,Gamma,2022,77.6,Cleared,False,,Cleared,AO18162
AO16652,Gamma,2023,83.9,Cleared,False,,Cleared,AO18162
AO16652,Gamma,2024,55.7,Not Cleared,True,66.8,Not Cleared,AO18162
AO16652,Gamma,2025,63.9,Not Cleared,True,67.6,Not Cleared,AO18162
AO16652,Gamma,2026,84.9,Cleared,False,,Cleared,AO18162
AO16664,Beta,2024,64.6,Not Cleared,True,75.1,Cleared,AO13826
AO16664,Beta,2025,84.1,Cleared,False,,Cleared,AO13826
AO16664,Beta,2026,78.9,Cleared,False,,Cleared,AO13826
AO16860,Gamma,2023,87.9,Cleared,False,,Cleared,AO18162
AO16860,Gamma,2024,87.1,Cleared,False,,Cleared,AO18162
AO16860,Gamma,2025,88.7,Cleared,False,,Cleared,AO18162
AO16860,Gamma,2026,79.6,Cleared,False,,Cleared,AO18162
AO16958,Gamma,2021,88.4,Cleared,False,,Cleared,AO18162
AO16958,Gamma,2022,65.9,Not Cleared,True,85.5,Cleared,AO18162
AO16958,Gamma,2023,68.7,Not Cleared,True,84.2,Cleared,AO18162
AO16958,Gamma,2024,84.2,Cleared,False,,Cleared,AO18162
AO16958,Gamma,2025,79.3,Cleared,False,,Cleared,AO18162
AO16958,Gamma,2026,77.7,Cleared,False,,Cleared,AO18162
AO17015,Delta,2023,83.9,Cleared,False,,Cleared,AO13387
AO17015,Delta,2024,89.8,Cleared,False,,Cleared,AO13387
AO17015,Delta,2025,88.2,Cleared,False,,Cleared,AO13387
AO17015,Delta,2026,63.9,Not Cleared,True,73.5,Cleared,AO13387
AO17018,Alpha,2021,69.4,Not Cleared,True,80.6,Cleared,AO16543
AO17018,Alpha,2022,75.5,Cleared,False,,Cleared,AO16543
AO17018,Alpha,2023,73.9,Cleared,False,,Cleared,AO16543
AO17018,Alpha,2024,77.9,Cleared,False,,Cleared,AO16543
AO17018,Alpha,2025,87.1,Cleared,False,,Cleared,AO16543
AO17018,Alpha,2026,63.9,Not Cleared,True,81.0,Cleared,AO16543
AO17072,Gamma,2022,80.7,Cleared,False,,Cleared,AO18162
AO17072,Gamma,2023,85.8,Cleared,False,,Cleared,AO18162
AO17072,Gamma,2024,86.5,Cleared,False,,Cleared,AO18162
AO17072,Gamma,2025,87.1,Cleared,False,,Cleared,AO18162
AO17072,Gamma,2026,85.5,Cleared,False,,Cleared,AO18162
AO17098,Sigma,2024,78.2,Cleared,False,,Cleared,AO12830
AO17098,Sigma,2025,63.0,Not Cleared,True,79.9,Cleared,AO12830
AO17098,Sigma,2026,84.6,Cleared,False,,Cleared,AO12830
AO17162,Beta,2021,84.6,Cleared,False,,Cleared,AO13826
AO17162,Beta,2022,82.3,Cleared,False,,Cleared,AO13826
AO17162,Beta,2023,89.1,Cleared,False,,Cleared,AO13826
AO17162,Beta,2024,81.8,Cleared,False,,Cleared,AO13826
AO17162,Beta,2025,84.2,Cleared,False,,Cleared,AO13826
AO17162,Beta,2026,82.2,Cleared,False,,Cleared,AO13826
AO17172,Alpha,2024,92.4,Cleared,False,,Cleared,AO16543
AO17172,Alpha,2025,94.6,Cleared,False,,Cleared,AO16543
AO17172,Alpha,2026,70.8,Cleared,False,,Cleared,AO16543
AO17259,Alpha,2022,93.6,Cleared,False,,Cleared,AO16543
AO17259,Alpha,2023,77.5,Cleared,False,,Cleared,AO16543
AO17259,Alpha,2024,85.3,Cleared,False,,Cleared,AO16543
AO17259,Alpha,2025,79.6,Cleared,False,,Cleared,AO16543
AO17259,Alpha,2026,75.8,Cleared,False,,Cleared,AO16543
AO17445,Alpha,2024,78.0,Cleared,False,,Cleared,AO16543
AO17445,Alpha,2025,78.5,Cleared,False,,Cleared,AO16543
AO17445,Alpha,2026,87.6,Cleared,False,,Cleared,AO16543
AO17508,Sigma,2021,78.0,Cleared,False,,Cleared,AO12830
AO17508,Sigma,2022,64.5,Not Cleared,True,82.0,Cleared,AO12830
AO17508,Sigma,2023,79.2,Cleared,False,,Cleared,AO12830
AO17508,Sigma,2024,79.5,Cleared,False,,Cleared,AO12830
AO17508,Sigma,2025,75.7,Cleared,False,,Cleared,AO12830
AO17508,Sigma,2026,74.9,Cleared,False,,Cleared,AO12830
AO17637,Gamma,2023,98.0,Cleared,False,,Cleared,AO18162
AO17637,Gamma,2024,86.2,Cleared,False,,Cleared,AO18162
AO17637,Gamma,2025,79.3,Cleared,False,,Cleared,AO18162
AO17637,Gamma,2026,56.9,Not Cleared,True,63.4,Not Cleared,AO18162
AO17667,Gamma,2021,91.9,Cleared,False,,Cleared,AO18162
AO17667,Gamma,2022,83.5,Cleared,False,,Cleared,AO18162
AO17667,Gamma,2023,58.9,Not Cleared,True,70.0,Cleared,AO18162
AO17667,Gamma,2024,86.5,Cleared,False,,Cleared,AO18162
AO17667,Gamma,2025,77.4,Cleared,False,,Cleared,AO18162
AO17667,Gamma,2026,73.8,Cleared,False,,Cleared,AO18162
AO17682,Delta,2021,79.0,Cleared,False,,Cleared,AO13387
AO17682,Delta,2022,84.9,Cleared,False,,Cleared,AO13387
AO17682,Delta,2023,89.4,Cleared,False,,Cleared,AO13387
AO17682,Delta,2024,86.2,Cleared,False,,Cleared,AO13387
AO17682,Delta,2025,82.1,Cleared,False,,Cleared,AO13387
AO17682,Delta,2026,92.5,Cleared,False,,Cleared,AO13387
AO17887,Gamma,2025,68.2,Not Cleared,True,88.1,Cleared,AO18162
AO17887,Gamma,2026,66.0,Not Cleared,True,79.2,Cleared,AO18162
AO17999,Beta,2025,69.0,Not Cleared,True,78.3,Cleared,AO13826
AO17999,Beta,2026,67.4,Not Cleared,True,80.4,Cleared,AO13826
AO18046,Delta,2023,89.2,Cleared,False,,Cleared,AO13387
AO18046,Delta,2024,66.1,Not Cleared,True,81.2,Cleared,AO13387
AO18046,Delta,2025,85.7,Cleared,False,,Cleared,AO13387
AO18046,Delta,2026,67.4,Not Cleared,True,81.5,Cleared,AO13387
AO18148,Delta,2023,62.4,Not Cleared,True,83.8,Cleared,AO13387
AO18148,Delta,2024,88.9,Cleared,False,,Cleared,AO13387
AO18148,Delta,2025,97.1,Cleared,False,,Cleared,AO13387
AO18148,Delta,2026,84.8,Cleared,False,,Cleared,AO13387
AO18186,Delta,2021,62.8,Not Cleared,True,82.8,Cleared,AO13387
AO18186,Delta,2022,90.3,Cleared,False,,Cleared,AO13387
AO18186,Delta,2023,66.8,Not Cleared,True,86.5,Cleared,AO13387
AO18186,Delta,2024,64.5,Not Cleared,True,69.7,Not Cleared,AO13387
AO18186,Delta,2025,97.5,Cleared,False,,Cleared,AO13387
AO18186,Delta,2026,88.4,Cleared,False,,Cleared,AO13387
AO18238,Delta,2021,90.4,Cleared,False,,Cleared,AO13387
AO18238,Delta,2022,96.7,Cleared,False,,Cleared,AO13387
AO18238,Delta,2023,87.9,Cleared,False,,Cleared,AO13387
AO18238,Delta,2024,80.7,Cleared,False,,Cleared,AO13387
AO18238,Delta,2025,83.8,Cleared,False,,Cleared,AO13387
AO18238,Delta,2026,75.2,Cleared,False,,Cleared,AO13387
AO18342,Delta,2022,66.4,Not Cleared,True,85.1,Cleared,AO13387
AO18342,Delta,2023,78.0,Cleared,False,,Cleared,AO13387
AO18342,Delta,2024,66.1,Not Cleared,True,84.4,Cleared,AO13387
AO18342,Delta,2025,65.0,Not Cleared,True,78.2,Cleared,AO13387
AO18342,Delta,2026,91.8,Cleared,False,,Cleared,AO13387
AO18360,Gamma,2021,73.6,Cleared,False,,Cleared,AO18162
AO18360,Gamma,2022,93.2,Cleared,False,,Cleared,AO18162
AO18360,Gamma,2023,72.6,Cleared,False,,Cleared,AO18162
AO18360,Gamma,2024,85.3,Cleared,False,,Cleared,AO18162
AO18360,Gamma,2025,87.4,Cleared,False,,Cleared,AO18162
AO18360,Gamma,2026,100.0,Cleared,False,,Cleared,AO18162
AO18592,Beta,2021,78.1,Cleared,False,,Cleared,AO13826
AO18592,Beta,2022,65.1,Not Cleared,True,70.3,Cleared,AO13826
AO18592,Beta,2023,59.8,Not Cleared,True,68.8,Not Cleared,AO13826
AO18592,Beta,2024,62.5,Not Cleared,True,81.2,Cleared,AO13826
AO18592,Beta,2025,68.6,Not Cleared,True,79.5,Cleared,AO13826
AO18592,Beta,2026,69.1,Not Cleared,True,83.8,Cleared,AO13826
AO18652,Beta,2025,75.1,Cleared,False,,Cleared,AO13826
AO18652,Beta,2026,85.4,Cleared,False,,Cleared,AO13826
AO18742,Alpha,2023,87.3,Cleared,False,,Cleared,AO16543
AO18742,Alpha,2024,88.1,Cleared,False,,Cleared,AO16543
AO18742,Alpha,2025,96.8,Cleared,False,,Cleared,AO16543
AO18742,Alpha,2026,81.9,Cleared,False,,Cleared,AO16543
AO18793,Sigma,2023,63.4,Not Cleared,True,76.6,Cleared,AO12830
AO18793,Sigma,2024,66.9,Not Cleared,True,72.8,Cleared,AO12830
AO18793,Sigma,2025,69.7,Not Cleared,True,77.5,Cleared,AO12830
AO18793,Sigma,2026,86.5,Cleared,False,,Cleared,AO12830
AO18804,Beta,2025,76.3,Cleared,False,,Cleared,AO13826
AO18804,Beta,2026,96.8,Cleared,False,,Cleared,AO13826
AO18862,Sigma,2021,76.3,Cleared,False,,Cleared,AO12830
AO18862,Sigma,2022,92.7,Cleared,False,,Cleared,AO12830
AO18862,Sigma,2023,77.8,Cleared,False,,Cleared,AO12830
AO18862,Sigma,2024,83.9,Cleared,False,,Cleared,AO12830
AO18862,Sigma,2025,73.3,Cleared,False,,Cleared,AO12830
AO18862,Sigma,2026,91.2,Cleared,False,,Cleared,AO12830
AO18976,Alpha,2023,92.2,Cleared,False,,Cleared,AO16543
AO18976,Alpha,2024,85.7,Cleared,False,,Cleared,AO16543
AO18976,Alpha,2025,78.7,Cleared,False,,Cleared,AO16543
AO18976,Alpha,2026,84.1,Cleared,False,,Cleared,AO16543
AO19031,Sigma,2021,92.6,Cleared,False,,Cleared,AO12830
AO19031,Sigma,2022,83.4,Cleared,False,,Cleared,AO12830
AO19031,Sigma,2023,81.6,Cleared,False,,Cleared,AO12830
AO19031,Sigma,2024,61.2,Not Cleared,True,77.0,Cleared,AO12830
AO19031,Sigma,2025,86.2,Cleared,False,,Cleared,AO12830
AO19031,Sigma,2026,90.2,Cleared,False,,Cleared,AO12830
AO19192,Gamma,2022,75.5,Cleared,False,,Cleared,AO18162
AO19192,Gamma,2023,74.2,Cleared,False,,Cleared,AO18162
AO19192,Gamma,2024,83.0,Cleared,False,,Cleared,AO18162
AO19192,Gamma,2025,77.4,Cleared,False,,Cleared,AO18162
AO19192,Gamma,2026,60.3,Not Cleared,True,71.1,Cleared,AO18162
AO19316,Beta,2021,72.3,Cleared,False,,Cleared,AO13826
AO19316,Beta,2022,97.6,Cleared,False,,Cleared,AO13826
AO19316,Beta,2023,88.9,Cleared,False,,Cleared,AO13826
AO19316,Beta,2024,87.4,Cleared,False,,Cleared,AO13826
AO19316,Beta,2025,72.6,Cleared,False,,Cleared,AO13826
AO19316,Beta,2026,80.5,Cleared,False,,Cleared,AO13826
AO19336,Alpha,2021,67.8,Not Cleared,True,84.4,Cleared,AO16543
AO19336,Alpha,2022,66.9,Not Cleared,True,72.3,Cleared,AO16543
AO19336,Alpha,2023,64.3,Not Cleared,True,74.1,Cleared,AO16543
AO19336,Alpha,2024,77.6,Cleared,False,,Cleared,AO16543
AO19336,Alpha,2025,71.3,Cleared,False,,Cleared,AO16543
AO19336,Alpha,2026,80.6,Cleared,False,,Cleared,AO16543
AO19391,Alpha,2023,92.8,Cleared,False,,Cleared,AO16543
AO19391,Alpha,2024,85.3,Cleared,False,,Cleared,AO16543
AO19391,Alpha,2025,100.0,Cleared,False,,Cleared,AO16543
AO19391,Alpha,2026,95.5,Cleared,False,,Cleared,AO16543
