person_id,training_name,level,year,role,result,score
AO16636,Qartal Tactical Exercise,National,2024,Observer,Passed,76.3
AO16636,Joint Operations Training,Battalion,2025,Participant,Completed,79.1
AO25228,Joint Operations Training,International,2024,Participant,Passed,71.1
AO25228,Qartal Tactical Exercise,International,2025,Participant,Passed,87.8
AO25228,NATO Partnership Training,Battalion,2026,Participant,Passed,76.3
AO25228,Live Fire Exercise,Brigade,2023,Participant,Passed,74.3
AO25228,Joint Operations Training,Brigade,2023,Participant,Passed,61.8
AO18688,Regional Tactical Exercise,Brigade,2026,Participant,Completed,71.9
AO20164,Qartal Tactical Exercise,International,2025,Participant,Completed,77.9
AO20164,NATO Partnership Training,National,2024,Participant,Passed,79.6
AO25328,Qartal Tactical Exercise,Battalion,2026,Instructor,Passed,76.9
AO25328,NATO Partnership Training,International,2022,Participant,Passed,64.5
AO25328,Winter Readiness Drill,National,2024,Observer,Passed,97.8
AO25328,Regional Tactical Exercise,Battalion,2024,Participant,Passed,76.5
AO22646,Şahin Readiness Drill,Battalion,2021,Participant,Passed,97.4
AO22701,Live Fire Exercise,Brigade,2024,Instructor,Passed,68.2
AO22585,Winter Readiness Drill,Battalion,2023,Participant,Passed,75.8
AO22585,Border Watch Exercise,Battalion,2026,Participant,Passed,93.9
AO12461,Qartal Tactical Exercise,Brigade,2025,Instructor,Completed,83.9
AO17172,NATO Partnership Training,Brigade,2026,Participant,Passed,77.7
AO17172,Border Watch Exercise,Battalion,2021,Observer,Passed,69.8
AO22921,Joint Operations Training,Battalion,2021,Participant,Passed,78.2
AO20473,Qartal Tactical Exercise,Brigade,2024,Participant,Passed,70.2
AO21607,Border Watch Exercise,National,2025,Participant,Passed,65.7
AO21607,NATO Partnership Training,Battalion,2026,Participant,Passed,77.3
AO21607,Joint Operations Training,Battalion,2026,Participant,Completed,84.0
AO22937,Qartal Tactical Exercise,Brigade,2026,Participant,Passed,76.2
AO22937,Winter Readiness Drill,Battalion,2024,Participant,Failed,57.8
AO23491,Şahin Readiness Drill,Brigade,2023,Participant,Completed,76.4
AO23491,Regional Tactical Exercise,Battalion,2021,Observer,Passed,95.7
AO23491,Live Fire Exercise,International,2026,Participant,Completed,73.5
AO18742,NATO Partnership Training,Brigade,2026,Participant,Completed,64.4
AO18742,NATO Partnership Training,Battalion,2021,Participant,Passed,82.2
AO18742,Border Watch Exercise,National,2022,Instructor,Completed,72.2
AO18742,Şahin Readiness Drill,National,2024,Participant,Passed,89.5
G11740,Regional Tactical Exercise,Battalion,2022,Participant,Completed,90.6
G23944,Regional Tactical Exercise,Brigade,2026,Participant,Passed,79.8
G25596,Regional Tactical Exercise,Battalion,2025,Observer,Passed,100.0
G25596,Şahin Readiness Drill,Brigade,2021,Participant,Passed,64.7
G25596,NATO Partnership Training,Battalion,2024,Participant,Passed,67.7
G25596,Border Watch Exercise,Battalion,2026,Participant,Passed,91.6
G23253,Qartal Tactical Exercise,National,2021,Observer,Passed,100.0
G22206,Regional Tactical Exercise,Brigade,2024,Participant,Completed,93.1
G23305,Winter Readiness Drill,Brigade,2024,Participant,Passed,65.1
G24645,Live Fire Exercise,Brigade,2023,Participant,Passed,82.0
G24379,Winter Readiness Drill,Battalion,2024,Participant,Completed,78.6
G15195,Live Fire Exercise,National,2021,Observer,Passed,74.2
G19538,Winter Readiness Drill,Battalion,2024,Participant,Passed,64.2
G19538,Regional Tactical Exercise,Brigade,2023,Participant,Failed,57.8
G19538,Qartal Tactical Exercise,Brigade,2022,Observer,Completed,63.0
G22733,Regional Tactical Exercise,Battalion,2021,Participant,Passed,88.6
G25255,Winter Readiness Drill,National,2024,Participant,Passed,80.4
AO16486,Border Watch Exercise,Brigade,2022,Participant,Passed,79.9
AO16486,Live Fire Exercise,Battalion,2025,Instructor,Passed,73.9
AO16486,NATO Partnership Training,Battalion,2023,Observer,Passed,63.0
AO16486,Winter Readiness Drill,Battalion,2026,Participant,Passed,64.9
AO16486,NATO Partnership Training,Battalion,2026,Instructor,Completed,87.1
AO13826,Winter Readiness Drill,Brigade,2022,Participant,Completed,91.1
AO13826,Şahin Readiness Drill,Brigade,2022,Participant,Completed,73.6
AO18804,Regional Tactical Exercise,Battalion,2026,Observer,Failed,57.7
AO22715,Joint Operations Training,Battalion,2023,Observer,Passed,81.4
AO22715,Border Watch Exercise,National,2025,Observer,Passed,85.2
AO22715,Winter Readiness Drill,National,2025,Observer,Completed,84.4
AO22715,Border Watch Exercise,International,2021,Participant,Passed,76.2
AO24322,Live Fire Exercise,National,2022,Participant,Passed,77.2
AO24322,Joint Operations Training,Battalion,2021,Participant,Passed,77.9
AO24322,NATO Partnership Training,National,2025,Observer,Passed,71.4
AO24322,Joint Operations Training,National,2021,Participant,Completed,69.5
AO24715,Regional Tactical Exercise,National,2023,Participant,Passed,79.7
AO24715,Live Fire Exercise,Battalion,2025,Participant,Passed,75.9
AO24715,Winter Readiness Drill,Brigade,2023,Participant,Passed,76.0
AO16557,Border Watch Exercise,International,2025,Participant,Passed,100.0
AO16557,NATO Partnership Training,Battalion,2026,Participant,Completed,75.5
AO16557,Border Watch Exercise,Battalion,2026,Instructor,Passed,83.2
AO16557,Qartal Tactical Exercise,Brigade,2026,Participant,Completed,74.8
AO16557,Winter Readiness Drill,International,2024,Participant,Passed,80.8
AO15870,Border Watch Exercise,Battalion,2026,Participant,Passed,71.7
AO17162,Border Watch Exercise,Battalion,2024,Observer,Passed,82.8
AO17162,Regional Tactical Exercise,National,2021,Participant,Passed,65.8
AO24481,Şahin Readiness Drill,Battalion,2026,Participant,Passed,84.7
AO23007,Live Fire Exercise,Battalion,2021,Participant,Passed,76.6
AO23007,NATO Partnership Training,Battalion,2026,Participant,Completed,83.4
AO23007,Winter Readiness Drill,National,2026,Participant,Completed,69.0
AO21316,Qartal Tactical Exercise,Brigade,2021,Participant,Passed,85.4
AO21906,Border Watch Exercise,Battalion,2026,Participant,Passed,79.1
AO21906,Live Fire Exercise,Brigade,2022,Participant,Passed,65.1
AO24203,Şahin Readiness Drill,Brigade,2025,Participant,Passed,93.7
AO20690,Live Fire Exercise,Battalion,2021,Participant,Completed,67.2
AO19316,NATO Partnership Training,Brigade,2023,Participant,Completed,72.6
AO19316,Live Fire Exercise,Battalion,2024,Participant,Completed,82.1
AO19316,Regional Tactical Exercise,Battalion,2023,Participant,Completed,62.6
AO20211,Şahin Readiness Drill,National,2026,Participant,Passed,74.0
AO20211,Border Watch Exercise,Battalion,2022,Participant,Completed,74.0
AO20211,Live Fire Exercise,Battalion,2024,Participant,Passed,82.5
AO14299,Şahin Readiness Drill,Battalion,2025,Participant,Completed,83.5
AO14299,Live Fire Exercise,Battalion,2023,Observer,Passed,76.7
AO14299,Border Watch Exercise,Battalion,2024,Participant,Failed,57.4
AO14299,Winter Readiness Drill,Battalion,2023,Participant,Completed,69.5
AO23728,Border Watch Exercise,Battalion,2024,Participant,Passed,75.8
AO23728,Regional Tactical Exercise,Brigade,2026,Participant,Passed,71.3
AO18652,Şahin Readiness Drill,Battalion,2025,Instructor,Completed,89.6
AO24038,Regional Tactical Exercise,International,2026,Participant,Passed,61.4
AO24038,Qartal Tactical Exercise,National,2022,Participant,Completed,86.0
AO23051,Live Fire Exercise,Battalion,2021,Participant,Failed,58.4
AO23051,Şahin Readiness Drill,International,2025,Participant,Passed,88.2
AO23051,Winter Readiness Drill,Brigade,2025,Participant,Completed,96.5
AO25210,Regional Tactical Exercise,Brigade,2024,Participant,Completed,84.6
AO25210,Live Fire Exercise,Battalion,2025,Observer,Failed,50.3
AO24602,Qartal Tactical Exercise,Battalion,2023,Participant,Passed,88.5
AO24602,Live Fire Exercise,Battalion,2021,Observer,Completed,81.2
AO23001,Qartal Tactical Exercise,Battalion,2024,Participant,Passed,100.0
AO16430,Regional Tactical Exercise,Battalion,2025,Participant,Completed,61.4
AO24756,Regional Tactical Exercise,Brigade,2026,Instructor,Completed,81.4
AO24756,Şahin Readiness Drill,Battalion,2024,Participant,Passed,78.5
AO24395,NATO Partnership Training,Brigade,2026,Participant,Passed,87.9
AO23430,Border Watch Exercise,Brigade,2026,Participant,Passed,65.4
AO23430,Regional Tactical Exercise,Brigade,2024,Observer,Passed,80.2
AO24998,Regional Tactical Exercise,National,2026,Observer,Passed,91.7
AO24998,Joint Operations Training,Battalion,2026,Participant,Failed,59.1
AO24998,Border Watch Exercise,Battalion,2023,Participant,Passed,85.8
G22440,Winter Readiness Drill,Brigade,2022,Participant,Passed,80.1
G22440,Border Watch Exercise,Battalion,2023,Participant,Passed,70.5
G22927,NATO Partnership Training,Battalion,2022,Participant,Passed,92.6
G21624,Qartal Tactical Exercise,International,2022,Participant,Passed,73.3
G25008,Qartal Tactical Exercise,Battalion,2023,Participant,Passed,84.8
G16019,Winter Readiness Drill,Brigade,2022,Observer,Completed,73.8
G23895,Şahin Readiness Drill,International,2021,Participant,Passed,76.7
G24250,Winter Readiness Drill,National,2025,Participant,Passed,86.0
G22635,Border Watch Exercise,Brigade,2022,Participant,Completed,69.9
G22544,Qartal Tactical Exercise,National,2026,Participant,Passed,69.5
G23763,Joint Operations Training,Battalion,2022,Participant,Passed,68.4
G23763,Live Fire Exercise,Brigade,2023,Participant,Passed,73.4
G08568,Border Watch Exercise,Battalion,2022,Participant,Passed,78.8
G08568,Qartal Tactical Exercise,Battalion,2021,Participant,Completed,89.6
AO05709,Regional Tactical Exercise,Brigade,2022,Participant,Passed,86.7
AO05709,Winter Readiness Drill,National,2026,Participant,Passed,66.4
AO05709,NATO Partnership Training,International,2021,Participant,Completed,68.5
AO18342,NATO Partnership Training,National,2021,Observer,Completed,88.0
AO23991,Joint Operations Training,Brigade,2023,Instructor,Passed,85.7
AO24278,Qartal Tactical Exercise,Battalion,2024,Participant,Passed,79.6
AO24278,Winter Readiness Drill,Battalion,2022,Participant,Passed,82.3
AO24578,Regional Tactical Exercise,Battalion,2023,Participant,Completed,82.1
AO24578,Joint Operations Training,National,2021,Participant,Passed,70.2
AO25711,NATO Partnership Training,Battalion,2024,Participant,Passed,66.7
AO25711,Winter Readiness Drill,Brigade,2024,Participant,Passed,87.8
AO25711,Border Watch Exercise,Battalion,2025,Participant,Passed,88.0
AO14187,Joint Operations Training,Battalion,2023,Participant,Passed,77.5
AO18186,NATO Partnership Training,Brigade,2026,Observer,Passed,67.4
AO18186,Border Watch Exercise,Brigade,2023,Participant,Passed,82.0
AO18186,Regional Tactical Exercise,Brigade,2024,Participant,Passed,78.0
AO18238,Joint Operations Training,Battalion,2025,Instructor,Passed,91.5
AO25379,Joint Operations Training,Battalion,2022,Observer,Completed,79.6
AO25379,Winter Readiness Drill,National,2025,Instructor,Passed,72.6
AO12189,Border Watch Exercise,National,2021,Participant,Passed,70.3
AO12189,Qartal Tactical Exercise,Battalion,2023,Participant,Passed,68.1
AO12189,NATO Partnership Training,Battalion,2021,Participant,Passed,79.7
AO15860,NATO Partnership Training,Brigade,2021,Observer,Completed,91.9
AO15860,Live Fire Exercise,National,2023,Instructor,Completed,82.0
AO23574,Joint Operations Training,Battalion,2024,Observer,Failed,58.7
AO24436,NATO Partnership Training,Brigade,2026,Participant,Passed,81.8
AO24631,Border Watch Exercise,National,2023,Participant,Failed,56.7
AO24631,Regional Tactical Exercise,Brigade,2023,Instructor,Passed,79.8
AO24631,Joint Operations Training,Brigade,2021,Participant,Completed,83.6
AO24190,Border Watch Exercise,Battalion,2025,Participant,Passed,63.6
AO24190,Joint Operations Training,Battalion,2026,Participant,Passed,92.8
AO15781,NATO Partnership Training,Brigade,2024,Participant,Completed,68.8
AO12061,Joint Operations Training,Battalion,2026,Instructor,Passed,78.8
AO12061,Qartal Tactical Exercise,Battalion,2023,Observer,Completed,75.3
AO18148,Border Watch Exercise,Brigade,2024,Participant,Completed,84.8
AO13289,Qartal Tactical Exercise,Battalion,2022,Observer,Passed,100.0
AO13289,Joint Operations Training,Brigade,2023,Participant,Passed,70.0
AO25607,NATO Partnership Training,International,2025,Participant,Completed,88.9
AO25607,NATO Partnership Training,Brigade,2022,Participant,Passed,85.6
AO25607,Qartal Tactical Exercise,Battalion,2025,Participant,Passed,70.7
AO21091,Şahin Readiness Drill,International,2021,Participant,Passed,82.6
AO21091,Qartal Tactical Exercise,International,2025,Observer,Passed,77.4
AO17682,Qartal Tactical Exercise,National,2025,Participant,Passed,87.2
AO17015,NATO Partnership Training,Brigade,2023,Participant,Passed,76.1
AO17015,Qartal Tactical Exercise,Battalion,2021,Participant,Passed,88.5
AO13576,Qartal Tactical Exercise,Brigade,2023,Participant,Passed,72.6
AO13576,NATO Partnership Training,Battalion,2026,Participant,Passed,65.8
AO13576,Regional Tactical Exercise,Brigade,2023,Participant,Passed,84.1
AO20306,Regional Tactical Exercise,Battalion,2021,Participant,Passed,82.3
AO14271,Live Fire Exercise,Battalion,2021,Participant,Passed,79.6
AO14271,Qartal Tactical Exercise,International,2022,Participant,Passed,80.5
AO25477,Qartal Tactical Exercise,Battalion,2022,Observer,Passed,73.6
AO25477,Border Watch Exercise,Battalion,2022,Participant,Completed,78.7
G07690,NATO Partnership Training,National,2023,Participant,Completed,62.1
G24311,NATO Partnership Training,Brigade,2021,Observer,Completed,64.2
G24311,Winter Readiness Drill,Battalion,2022,Participant,Completed,86.1
G07820,Joint Operations Training,Brigade,2023,Participant,Passed,84.4
G24390,Winter Readiness Drill,International,2021,Participant,Passed,91.4
G24390,Regional Tactical Exercise,Battalion,2024,Observer,Passed,78.4
G09841,Live Fire Exercise,National,2023,Observer,Passed,84.7
G23810,Border Watch Exercise,Battalion,2022,Participant,Passed,65.2
G20187,Border Watch Exercise,National,2022,Participant,Passed,93.2
G25456,Live Fire Exercise,Brigade,2023,Participant,Passed,88.7
G22415,Live Fire Exercise,National,2023,Participant,Completed,68.1
G07673,Live Fire Exercise,Battalion,2021,Observer,Completed,61.9
G23312,Qartal Tactical Exercise,Battalion,2023,Participant,Completed,94.7
G25177,Qartal Tactical Exercise,Brigade,2026,Participant,Passed,75.1
AO97317,Live Fire Exercise,Battalion,2024,Participant,Completed,85.6
AO97317,NATO Partnership Training,National,2023,Participant,Completed,80.3
AO14416,Winter Readiness Drill,National,2023,Participant,Failed,48.4
AO14416,Şahin Readiness Drill,Brigade,2022,Participant,Passed,75.2
AO14416,Winter Readiness Drill,Battalion,2026,Participant,Passed,80.7
AO14416,Regional Tactical Exercise,Battalion,2022,Participant,Passed,61.6
AO14416,Live Fire Exercise,Battalion,2024,Participant,Completed,92.5
AO18162,Live Fire Exercise,National,2025,Participant,Passed,74.0
AO18162,NATO Partnership Training,Brigade,2021,Observer,Completed,72.7
AO17072,Winter Readiness Drill,Battalion,2026,Participant,Passed,69.8
AO17072,Joint Operations Training,Battalion,2022,Observer,Completed,81.5
AO17072,Qartal Tactical Exercise,Battalion,2021,Participant,Passed,87.9
AO17072,Border Watch Exercise,National,2025,Participant,Passed,72.0
AO24985,Border Watch Exercise,International,2021,Participant,Passed,75.2
AO24985,Winter Readiness Drill,Brigade,2025,Participant,Passed,79.8
AO24985,Live Fire Exercise,Battalion,2025,Observer,Passed,69.8
AO24985,Border Watch Exercise,Brigade,2024,Participant,Completed,75.4
AO21429,Şahin Readiness Drill,Battalion,2021,Observer,Failed,59.0
AO21429,Şahin Readiness Drill,Battalion,2026,Participant,Passed,86.3
AO21429,Winter Readiness Drill,Battalion,2026,Participant,Passed,60.6
AO21429,Regional Tactical Exercise,Brigade,2026,Participant,Completed,81.3
AO21429,Qartal Tactical Exercise,Battalion,2025,Participant,Completed,74.2
AO20240,Live Fire Exercise,Battalion,2021,Participant,Passed,73.5
AO20240,Regional Tactical Exercise,National,2022,Participant,Completed,81.2
AO20240,Regional Tactical Exercise,Brigade,2022,Participant,Passed,65.9
AO20240,Regional Tactical Exercise,Battalion,2022,Participant,Passed,71.6
AO16860,NATO Partnership Training,Battalion,2023,Instructor,Passed,86.7
AO16860,Qartal Tactical Exercise,Brigade,2025,Participant,Completed,87.6
AO16860,NATO Partnership Training,Battalion,2021,Participant,Passed,81.3
AO16860,Şahin Readiness Drill,Battalion,2021,Participant,Passed,84.5
AO24451,Şahin Readiness Drill,Brigade,2022,Observer,Passed,69.2
AO24451,Live Fire Exercise,Brigade,2025,Participant,Passed,88.9
AO24080,Şahin Readiness Drill,National,2022,Instructor,Passed,86.2
AO24080,NATO Partnership Training,Brigade,2025,Participant,Passed,73.9
AO18600,Border Watch Exercise,International,2021,Participant,Passed,74.6
AO18600,NATO Partnership Training,National,2024,Participant,Completed,72.4
AO18070,Winter Readiness Drill,Battalion,2022,Participant,Passed,83.6
AO18070,Regional Tactical Exercise,Brigade,2025,Participant,Passed,82.0
AO18070,Şahin Readiness Drill,Brigade,2022,Participant,Passed,73.5
AO18070,NATO Partnership Training,Brigade,2024,Participant,Passed,75.6
AO18070,Live Fire Exercise,Battalion,2022,Instructor,Passed,91.6
AO24903,Winter Readiness Drill,International,2025,Participant,Completed,75.4
AO24903,Qartal Tactical Exercise,Battalion,2024,Observer,Passed,85.6
AO24903,Winter Readiness Drill,Battalion,2022,Participant,Passed,89.3
AO24903,NATO Partnership Training,National,2024,Participant,Passed,81.9
AO21206,Border Watch Exercise,Battalion,2026,Instructor,Completed,74.3
AO21206,Joint Operations Training,Brigade,2024,Participant,Passed,74.4
AO16652,Joint Operations Training,International,2024,Participant,Passed,79.0
AO21394,NATO Partnership Training,National,2024,Observer,Passed,97.2
AO21394,Joint Operations Training,International,2025,Participant,Completed,67.6
AO25008,Şahin Readiness Drill,International,2022,Participant,Passed,75.4
AO25008,Live Fire Exercise,Brigade,2023,Participant,Passed,79.5
AO25008,Qartal Tactical Exercise,Battalion,2023,Participant,Failed,57.8
AO21911,Joint Operations Training,Battalion,2026,Participant,Passed,83.5
AO13655,Joint Operations Training,National,2021,Participant,Completed,68.4
AO13655,Live Fire Exercise,Battalion,2023,Participant,Passed,60.5
AO13655,Şahin Readiness Drill,Brigade,2025,Observer,Passed,92.2
AO13655,Live Fire Exercise,Battalion,2024,Participant,Passed,84.6
AO19192,Border Watch Exercise,Battalion,2023,Participant,Completed,75.2
AO19192,Qartal Tactical Exercise,Battalion,2021,Participant,Completed,66.8
AO12488,NATO Partnership Training,Brigade,2025,Participant,Completed,76.4
AO24665,Winter Readiness Drill,National,2021,Participant,Passed,82.0
AO24665,Regional Tactical Exercise,International,2021,Participant,Completed,87.8
AO24665,Regional Tactical Exercise,Battalion,2024,Participant,Passed,79.7
AO24665,Qartal Tactical Exercise,Brigade,2024,Participant,Passed,73.5
AO18360,Joint Operations Training,Battalion,2022,Observer,Passed,91.0
AO12822,NATO Partnership Training,National,2023,Participant,Passed,82.6
AO12822,Live Fire Exercise,National,2025,Participant,Passed,83.8
AO11938,Winter Readiness Drill,Battalion,2022,Participant,Passed,88.7
AO21355,Border Watch Exercise,Brigade,2022,Observer,Failed,59.1
AO16958,Joint Operations Training,Battalion,2021,Observer,Completed,69.4
G23405,Border Watch Exercise,International,2025,Participant,Passed,84.6
G21265,Şahin Readiness Drill,Battalion,2022,Participant,Passed,81.4
G12759,NATO Partnership Training,Brigade,2025,Participant,Passed,87.0
G24625,Şahin Readiness Drill,Brigade,2021,Participant,Passed,95.8
G24228,Joint Operations Training,Brigade,2024,Participant,Passed,73.4
G22914,Joint Operations Training,National,2022,Participant,Passed,80.5
G22495,Winter Readiness Drill,National,2021,Participant,Passed,61.6
G22495,Joint Operations Training,International,2026,Participant,Passed,77.5
G23603,Joint Operations Training,Battalion,2023,Participant,Completed,87.7
G21226,Qartal Tactical Exercise,Battalion,2023,Participant,Passed,86.1
G21086,Live Fire Exercise,Brigade,2026,Participant,Passed,81.4
G18336,Joint Operations Training,Battalion,2022,Participant,Completed,84.1
G25044,Qartal Tactical Exercise,Battalion,2022,Participant,Passed,85.3
G24144,Şahin Readiness Drill,Battalion,2021,Observer,Passed,66.6
AO97468,Şahin Readiness Drill,Battalion,2022,Participant,Completed,63.2
AO97468,Joint Operations Training,International,2026,Instructor,Failed,59.5
AO12000,Şahin Readiness Drill,Brigade,2025,Observer,Passed,89.7
AO12000,Qartal Tactical Exercise,Brigade,2024,Participant,Passed,64.7
AO12000,Joint Operations Training,National,2021,Participant,Passed,82.9
AO22617,NATO Partnership Training,Brigade,2023,Participant,Completed,81.1
AO25183,Joint Operations Training,Battalion,2021,Instructor,Passed,83.6
AO25183,Border Watch Exercise,National,2025,Participant,Passed,67.3
AO21436,Winter Readiness Drill,Brigade,2023,Participant,Completed,94.0
AO23681,Live Fire Exercise,Battalion,2023,Observer,Passed,83.5
AO22093,Winter Readiness Drill,Brigade,2026,Participant,Passed,84.0
AO22093,Live Fire Exercise,Battalion,2021,Participant,Passed,80.3
AO23780,Şahin Readiness Drill,Brigade,2021,Observer,Passed,94.0
AO23780,Winter Readiness Drill,Brigade,2026,Participant,Completed,69.6
AO14671,Şahin Readiness Drill,Battalion,2023,Observer,Passed,88.7
AO14671,Winter Readiness Drill,Battalion,2021,Participant,Completed,71.6
AO11537,NATO Partnership Training,International,2021,Participant,Completed,64.3
AO11537,NATO Partnership Training,Brigade,2023,Observer,Completed,87.3
AO20080,Qartal Tactical Exercise,Brigade,2021,Observer,Passed,73.8
AO19031,Live Fire Exercise,International,2022,Instructor,Passed,93.3
AO19031,Live Fire Exercise,National,2025,Participant,Passed,71.5
AO19031,Winter Readiness Drill,Battalion,2026,Participant,Completed,70.7
AO23445,NATO Partnership Training,Brigade,2021,Observer,Passed,67.0
AO23445,Qartal Tactical Exercise,Battalion,2024,Participant,Passed,92.3
AO23445,Live Fire Exercise,Brigade,2024,Instructor,Completed,90.5
AO23445,NATO Partnership Training,International,2024,Participant,Passed,98.6
AO23445,NATO Partnership Training,Battalion,2024,Participant,Passed,82.6
AO25358,Live Fire Exercise,Battalion,2023,Observer,Passed,68.3
AO25358,NATO Partnership Training,Battalion,2022,Participant,Completed,71.5
AO13818,NATO Partnership Training,Brigade,2021,Participant,Completed,72.8
AO13818,Regional Tactical Exercise,Battalion,2022,Participant,Failed,58.0
AO23508,Regional Tactical Exercise,National,2021,Participant,Passed,65.9
AO23508,Şahin Readiness Drill,Brigade,2025,Instructor,Completed,80.3
AO23410,Qartal Tactical Exercise,National,2021,Participant,Passed,100.0
AO23410,Border Watch Exercise,International,2026,Observer,Passed,86.0
AO18024,Regional Tactical Exercise,Battalion,2023,Participant,Passed,66.7
AO18024,Joint Operations Training,National,2021,Participant,Failed,59.9
AO22645,Regional Tactical Exercise,Battalion,2022,Participant,Passed,75.4
AO22645,Winter Readiness Drill,International,2023,Participant,Passed,73.6
AO21263,Qartal Tactical Exercise,Brigade,2025,Participant,Completed,70.1
AO21263,NATO Partnership Training,Battalion,2024,Participant,Passed,94.4
AO20873,Şahin Readiness Drill,Battalion,2026,Observer,Passed,84.6
AO20873,NATO Partnership Training,International,2021,Instructor,Passed,72.9
AO24366,Winter Readiness Drill,National,2024,Participant,Completed,75.0
AO24140,Şahin Readiness Drill,International,2025,Observer,Passed,80.9
AO18793,Winter Readiness Drill,National,2022,Participant,Passed,88.0
AO18793,Joint Operations Training,Brigade,2024,Participant,Passed,81.7
AO13943,Live Fire Exercise,National,2021,Participant,Passed,86.6
AO13943,NATO Partnership Training,Brigade,2025,Participant,Passed,96.1
AO13943,Border Watch Exercise,Battalion,2024,Instructor,Passed,65.1
AO25541,Live Fire Exercise,Battalion,2022,Instructor,Passed,76.8
AO25541,Regional Tactical Exercise,National,2022,Participant,Passed,83.8
AO17098,Border Watch Exercise,Brigade,2024,Participant,Completed,76.1
AO17098,NATO Partnership Training,National,2021,Instructor,Completed,87.5
AO17098,Joint Operations Training,Brigade,2021,Observer,Passed,88.3
AO22788,Qartal Tactical Exercise,Brigade,2026,Observer,Failed,57.7
AO22788,Regional Tactical Exercise,International,2025,Participant,Completed,85.7
AO22788,NATO Partnership Training,International,2025,Instructor,Passed,94.5
G23248,Şahin Readiness Drill,Brigade,2025,Participant,Passed,86.5
G24918,NATO Partnership Training,Battalion,2022,Participant,Passed,79.7
G24754,Qartal Tactical Exercise,Brigade,2021,Participant,Completed,82.6
G22667,Qartal Tactical Exercise,Battalion,2023,Participant,Passed,71.7
G22667,NATO Partnership Training,Battalion,2024,Participant,Completed,66.8
G22398,Şahin Readiness Drill,National,2024,Participant,Passed,89.0
G21555,Winter Readiness Drill,National,2024,Participant,Passed,78.8
G21379,Qartal Tactical Exercise,Battalion,2022,Participant,Passed,83.2
G23878,Regional Tactical Exercise,Battalion,2021,Participant,Passed,90.2
G22782,Qartal Tactical Exercise,National,2025,Participant,Passed,97.8
G22471,Border Watch Exercise,Battalion,2025,Participant,Passed,96.0
G23592,Live Fire Exercise,International,2024,Participant,Completed,75.5
G22982,Border Watch Exercise,Brigade,2026,Observer,Passed,76.7
G23231,Border Watch Exercise,Brigade,2024,Observer,Passed,82.8
G22347,Border Watch Exercise,Battalion,2025,Participant,Completed,88.8
G23588,Border Watch Exercise,Brigade,2021,Participant,Passed,68.4
G09565,Live Fire Exercise,International,2025,Participant,Passed,70.3
G22712,Live Fire Exercise,Brigade,2026,Participant,Passed,75.9
G23276,Qartal Tactical Exercise,Battalion,2026,Participant,Passed,86.4
G25531,Qartal Tactical Exercise,Brigade,2023,Participant,Passed,72.6
G25531,Şahin Readiness Drill,National,2025,Observer,Passed,81.1
G17402,NATO Partnership Training,Battalion,2021,Participant,Passed,100.0
G17402,Joint Operations Training,Battalion,2024,Participant,Completed,73.2
G23270,NATO Partnership Training,Brigade,2026,Observer,Passed,74.9
