mission_id,aircraft_id,department,year,month,mission_date,aircraft_age_years,planned_duration_hours,actual_duration_hours,hours_returned_early,pre_flight_check_minutes,pre_flight_issue_found,post_flight_check_minutes,had_inflight_technical_problem,problem_type,problem_duration_minutes,effective_condition_score
MSN00034,TB2-A03,Alpha,2021,3,2021-03-11,1,17.76,17.76,0.0,50.7,False,59.3,False,,0.0,87.0
MSN00035,TB2-A03,Alpha,2021,3,2021-03-02,1,18.38,18.38,0.0,84.1,True,67.5,False,,0.0,87.0
MSN00036,TB2-A03,Alpha,2021,4,2021-04-06,1,16.35,16.35,0.0,61.1,False,55.5,False,,0.0,89.9
MSN00037,TB2-A03,Alpha,2021,4,2021-04-15,1,18.97,18.97,0.0,69.2,False,75.0,False,,0.0,89.9
MSN00038,TB2-A03,Alpha,2021,4,2021-04-01,1,18.35,18.35,0.0,124.5,True,81.9,False,,0.0,89.9
MSN00039,TB2-A03,Alpha,2021,4,2021-04-15,1,18.19,18.19,0.0,83.3,False,62.5,False,,0.0,89.9
MSN00040,TB2-A03,Alpha,2021,4,2021-04-24,1,16.09,16.09,0.0,92.3,False,59.8,False,,0.0,89.9
MSN00041,TB2-A03,Alpha,2021,4,2021-04-18,1,15.02,15.02,0.0,88.9,True,88.0,False,,0.0,89.9
MSN00042,TB2-A03,Alpha,2021,4,2021-04-07,1,20.0,20.0,0.0,71.4,False,75.8,False,,0.0,89.9
MSN00044,TB2-A03,Alpha,2021,4,2021-04-13,1,13.0,11.41,1.59,80.9,False,85.3,True,Communication Link,95.4,89.9
MSN00045,TB2-A03,Alpha,2021,4,2021-04-01,1,20.0,20.0,0.0,70.6,False,41.6,False,,0.0,89.9
MSN00046,TB2-A03,Alpha,2021,4,2021-04-02,1,17.96,17.96,0.0,86.0,False,66.8,False,,0.0,89.9
MSN00047,TB2-A03,Alpha,2021,4,2021-04-16,1,16.12,16.12,0.0,84.3,True,71.3,False,,0.0,89.9
MSN00048,TB2-A03,Alpha,2021,4,2021-04-10,1,19.58,19.58,0.0,63.4,False,67.4,False,,0.0,89.9
MSN00049,TB2-A03,Alpha,2021,4,2021-04-10,1,15.31,15.31,0.0,73.6,False,71.3,False,,0.0,89.9
MSN00050,TB2-A03,Alpha,2021,4,2021-04-03,1,18.38,18.38,0.0,55.5,False,59.8,False,,0.0,89.9
MSN00051,TB2-A03,Alpha,2021,4,2021-04-18,1,17.56,17.56,0.0,70.5,False,56.9,False,,0.0,89.9
MSN00052,TB2-A03,Alpha,2021,4,2021-04-10,1,12.09,12.09,0.0,82.4,False,75.6,False,,0.0,89.9
MSN00053,TB2-A03,Alpha,2021,4,2021-04-02,1,16.1,16.1,0.0,53.6,False,70.0,False,,0.0,89.9
MSN00054,TB2-A03,Alpha,2021,4,2021-04-21,1,17.05,17.05,0.0,54.0,False,59.5,False,,0.0,89.9
MSN00055,TB2-A03,Alpha,2021,4,2021-04-24,1,18.82,18.82,0.0,63.2,False,89.9,False,,0.0,89.9
MSN00056,TB2-A03,Alpha,2021,4,2021-04-21,1,15.2,15.2,0.0,57.3,False,79.8,False,,0.0,89.9
MSN00057,TB2-A03,Alpha,2021,5,2021-05-07,1,15.59,15.59,0.0,30.0,False,67.4,False,,0.0,94.9
MSN00058,TB2-A03,Alpha,2021,5,2021-05-03,1,18.34,18.34,0.0,77.1,False,64.8,False,,0.0,94.9
MSN00059,TB2-A03,Alpha,2021,5,2021-05-15,1,16.74,16.74,0.0,65.4,False,78.4,False,,0.0,94.9
MSN00060,TB2-A03,Alpha,2021,5,2021-05-01,1,15.2,15.2,0.0,83.7,False,97.0,False,,0.0,94.9
MSN00061,TB2-A03,Alpha,2021,5,2021-05-20,1,13.16,13.16,0.0,150.0,True,85.5,False,,0.0,94.9
MSN00062,TB2-A03,Alpha,2021,5,2021-05-06,1,15.46,15.46,0.0,84.9,False,63.6,False,,0.0,94.9
MSN00063,TB2-A03,Alpha,2021,5,2021-05-02,1,19.92,19.92,0.0,70.2,False,71.5,False,,0.0,94.9
MSN00064,TB2-A03,Alpha,2021,5,2021-05-01,1,17.0,17.0,0.0,75.0,False,86.3,False,,0.0,94.9
MSN00065,TB2-A03,Alpha,2021,5,2021-05-18,1,16.63,16.63,0.0,61.8,False,44.2,False,,0.0,94.9
MSN00066,TB2-A03,Alpha,2021,5,2021-05-24,1,18.02,18.02,0.0,96.1,False,73.4,True,Electrical System,19.4,94.9
MSN00067,TB2-A03,Alpha,2021,5,2021-05-03,1,16.07,16.07,0.0,82.8,False,68.4,False,,0.0,94.9
MSN00068,TB2-A03,Alpha,2021,5,2021-05-25,1,16.26,16.26,0.0,85.0,False,76.1,False,,0.0,94.9
MSN00069,TB2-A03,Alpha,2021,5,2021-05-11,1,20.0,20.0,0.0,69.6,False,84.1,False,,0.0,94.9
MSN00070,TB2-A03,Alpha,2021,5,2021-05-01,1,17.03,17.03,0.0,97.9,True,86.3,False,,0.0,94.9
MSN00071,TB2-A03,Alpha,2021,5,2021-05-24,1,17.44,17.44,0.0,71.6,False,55.2,False,,0.0,94.9
MSN00072,TB2-A03,Alpha,2021,5,2021-05-24,1,20.0,20.0,0.0,77.0,False,61.1,False,,0.0,94.9
MSN00073,TB2-A03,Alpha,2021,5,2021-05-09,1,15.03,15.03,0.0,67.2,False,85.5,False,,0.0,94.9
MSN00074,TB2-A03,Alpha,2021,5,2021-05-21,1,15.39,15.39,0.0,62.6,False,66.1,False,,0.0,94.9
MSN00075,TB2-A03,Alpha,2021,5,2021-05-06,1,15.09,15.09,0.0,64.9,False,74.2,False,,0.0,94.9
MSN00076,TB2-A03,Alpha,2021,5,2021-05-05,1,16.75,16.75,0.0,73.2,False,79.9,False,,0.0,94.9
MSN00077,TB2-A03,Alpha,2021,5,2021-05-28,1,18.46,18.46,0.0,85.2,True,76.2,False,,0.0,94.9
MSN00078,TB2-A03,Alpha,2021,5,2021-05-24,1,18.57,18.57,0.0,92.1,False,65.8,False,,0.0,94.9
MSN00079,TB2-A03,Alpha,2021,5,2021-05-09,1,16.61,16.61,0.0,65.9,False,73.9,False,,0.0,94.9
MSN00080,TB2-A03,Alpha,2021,5,2021-05-27,1,19.63,19.63,0.0,102.5,True,66.8,False,,0.0,94.9
MSN00081,TB2-A03,Alpha,2021,5,2021-05-14,1,15.18,15.18,0.0,66.6,False,76.3,False,,0.0,94.9
MSN00082,TB2-A03,Alpha,2021,5,2021-05-19,1,15.62,15.62,0.0,67.5,False,67.2,False,,0.0,94.9
MSN00083,TB2-A03,Alpha,2021,6,2021-06-16,1,16.89,16.89,0.0,63.0,False,85.0,False,,0.0,86.6
MSN00084,TB2-A03,Alpha,2021,6,2021-06-28,1,19.04,19.04,0.0,73.5,False,55.8,False,,0.0,86.6
MSN00085,TB2-A03,Alpha,2021,6,2021-06-05,1,17.77,17.77,0.0,54.2,False,64.2,False,,0.0,86.6
MSN00086,TB2-A03,Alpha,2021,6,2021-06-02,1,19.99,19.99,0.0,77.2,False,75.0,False,,0.0,86.6
MSN00087,TB2-A03,Alpha,2021,6,2021-06-25,1,16.29,16.29,0.0,74.3,False,40.8,False,,0.0,86.6
MSN00088,TB2-A03,Alpha,2021,6,2021-06-06,1,17.61,17.61,0.0,42.5,False,79.6,False,,0.0,86.6
MSN00089,TB2-A03,Alpha,2021,6,2021-06-03,1,20.0,20.0,0.0,69.2,False,88.7,False,,0.0,86.6
MSN00090,TB2-A03,Alpha,2021,6,2021-06-18,1,14.34,14.34,0.0,117.2,True,81.4,False,,0.0,86.6
MSN00091,TB2-A03,Alpha,2021,6,2021-06-13,1,18.59,18.59,0.0,70.7,False,70.1,True,Navigation/GPS,31.5,86.6
MSN00092,TB2-A03,Alpha,2021,6,2021-06-05,1,18.04,18.04,0.0,77.1,False,63.0,False,,0.0,86.6
MSN00093,TB2-A03,Alpha,2021,6,2021-06-03,1,15.25,15.25,0.0,70.0,False,58.1,False,,0.0,86.6
MSN00094,TB2-A03,Alpha,2021,6,2021-06-25,1,16.39,16.39,0.0,51.5,False,88.8,False,,0.0,86.6
MSN00095,TB2-A03,Alpha,2021,6,2021-06-22,1,18.48,18.48,0.0,89.7,False,55.4,False,,0.0,86.6
MSN00096,TB2-A03,Alpha,2021,6,2021-06-10,1,16.81,16.81,0.0,76.6,False,85.9,False,,0.0,86.6
MSN00097,TB2-A03,Alpha,2021,6,2021-06-03,1,19.47,19.47,0.0,69.1,False,86.1,False,,0.0,86.6
MSN00098,TB2-A03,Alpha,2021,6,2021-06-08,1,14.96,14.96,0.0,75.0,False,64.7,False,,0.0,86.6
MSN00099,TB2-A03,Alpha,2021,6,2021-06-11,1,12.89,12.89,0.0,76.9,False,46.0,False,,0.0,86.6
MSN00100,TB2-A03,Alpha,2021,6,2021-06-20,1,17.05,17.05,0.0,55.3,False,81.0,True,Engine,28.2,86.6
MSN00101,TB2-A03,Alpha,2021,6,2021-06-01,1,20.0,20.0,0.0,82.9,True,68.7,False,,0.0,86.6
MSN00102,TB2-A03,Alpha,2021,6,2021-06-26,1,18.06,18.06,0.0,53.5,False,67.5,False,,0.0,86.6
MSN00103,TB2-A03,Alpha,2021,7,2021-07-18,1,16.61,16.61,0.0,61.1,False,91.1,False,,0.0,84.5
MSN00104,TB2-A03,Alpha,2021,7,2021-07-11,1,15.73,15.73,0.0,64.9,False,68.5,False,,0.0,84.5
MSN00105,TB2-A03,Alpha,2021,7,2021-07-25,1,16.66,16.66,0.0,40.0,False,84.9,False,,0.0,84.5
MSN00106,TB2-A03,Alpha,2021,7,2021-07-16,1,19.35,19.35,0.0,136.9,True,72.4,False,,0.0,84.5
MSN00107,TB2-A03,Alpha,2021,7,2021-07-19,1,15.72,15.72,0.0,86.9,False,74.0,False,,0.0,84.5
MSN00108,TB2-A03,Alpha,2021,7,2021-07-04,1,19.98,19.98,0.0,79.9,False,69.4,False,,0.0,84.5
MSN00109,TB2-A03,Alpha,2021,7,2021-07-01,1,18.39,18.39,0.0,72.2,False,86.2,True,Control Surface,35.8,84.5
MSN00110,TB2-A03,Alpha,2021,7,2021-07-03,1,20.0,20.0,0.0,55.2,False,58.6,False,,0.0,84.5
MSN00111,TB2-A03,Alpha,2021,7,2021-07-20,1,14.61,14.61,0.0,87.5,True,65.1,False,,0.0,84.5
MSN00112,TB2-A03,Alpha,2021,7,2021-07-05,1,19.96,19.96,0.0,78.9,True,71.0,False,,0.0,84.5
MSN00113,TB2-A03,Alpha,2021,7,2021-07-28,1,18.79,18.79,0.0,70.3,False,76.9,False,,0.0,84.5
MSN00114,TB2-A03,Alpha,2021,7,2021-07-11,1,18.4,18.4,0.0,61.4,False,76.2,False,,0.0,84.5
MSN00115,TB2-A03,Alpha,2021,7,2021-07-09,1,16.35,16.35,0.0,51.6,False,70.7,False,,0.0,84.5
MSN00116,TB2-A03,Alpha,2021,7,2021-07-23,1,15.9,11.36,4.54,76.5,False,73.0,True,Control Surface,272.4,84.5
MSN00117,TB2-A03,Alpha,2021,7,2021-07-02,1,16.59,16.59,0.0,121.2,True,44.9,False,,0.0,84.5
MSN00118,TB2-A03,Alpha,2021,7,2021-07-17,1,17.9,17.9,0.0,68.5,False,57.9,False,,0.0,84.5
MSN00119,TB2-A03,Alpha,2021,7,2021-07-02,1,13.58,13.58,0.0,73.9,False,63.1,False,,0.0,84.5
MSN00120,TB2-A03,Alpha,2021,7,2021-07-04,1,13.07,13.07,0.0,70.0,False,76.0,False,,0.0,84.5
MSN00122,TB2-A03,Alpha,2021,7,2021-07-24,1,15.93,15.93,0.0,70.7,False,91.8,False,,0.0,84.5
MSN00123,TB2-A03,Alpha,2021,8,2021-08-04,1,20.0,20.0,0.0,62.9,False,68.6,False,,0.0,93.0
MSN00124,TB2-A03,Alpha,2021,8,2021-08-22,1,15.38,15.38,0.0,61.4,False,80.0,False,,0.0,93.0
MSN00125,TB2-A03,Alpha,2021,8,2021-08-28,1,16.94,16.94,0.0,56.1,False,62.3,False,,0.0,93.0
MSN00126,TB2-A03,Alpha,2021,8,2021-08-03,1,16.11,16.11,0.0,84.4,False,60.5,False,,0.0,93.0
MSN00127,TB2-A03,Alpha,2021,8,2021-08-24,1,19.49,19.49,0.0,72.9,False,61.0,False,,0.0,93.0
MSN00128,TB2-A03,Alpha,2021,8,2021-08-21,1,18.8,18.8,0.0,79.2,False,57.0,False,,0.0,93.0
MSN00129,TB2-A03,Alpha,2021,8,2021-08-06,1,15.27,15.27,0.0,67.3,False,77.1,False,,0.0,93.0
MSN00130,TB2-A03,Alpha,2021,8,2021-08-17,1,19.57,19.57,0.0,48.0,False,78.0,False,,0.0,93.0
MSN00131,TB2-A03,Alpha,2021,8,2021-08-04,1,17.97,17.97,0.0,57.6,False,96.2,False,,0.0,93.0
MSN00132,TB2-A03,Alpha,2021,8,2021-08-10,1,17.7,17.7,0.0,49.5,False,55.0,False,,0.0,93.0
MSN00133,TB2-A03,Alpha,2021,8,2021-08-08,1,18.67,18.67,0.0,70.1,False,69.6,False,,0.0,93.0
MSN00134,TB2-A03,Alpha,2021,8,2021-08-04,1,16.55,16.55,0.0,55.2,False,64.0,False,,0.0,93.0
MSN00135,TB2-A03,Alpha,2021,8,2021-08-18,1,16.96,16.96,0.0,70.7,False,65.8,False,,0.0,93.0
MSN00136,TB2-A03,Alpha,2021,8,2021-08-10,1,16.17,16.17,0.0,76.1,False,58.7,False,,0.0,93.0
MSN00137,TB2-A03,Alpha,2021,8,2021-08-11,1,14.25,14.25,0.0,70.1,False,69.6,False,,0.0,93.0
MSN00138,TB2-A03,Alpha,2021,8,2021-08-07,1,17.67,17.67,0.0,86.6,False,80.9,False,,0.0,93.0
MSN00139,TB2-A03,Alpha,2021,8,2021-08-17,1,16.22,16.22,0.0,36.9,False,63.1,False,,0.0,93.0
MSN00140,TB2-A03,Alpha,2021,8,2021-08-23,1,15.18,15.18,0.0,85.3,False,50.8,False,,0.0,93.0
MSN00141,TB2-A03,Alpha,2021,8,2021-08-07,1,18.16,18.16,0.0,78.8,False,73.2,False,,0.0,93.0
MSN00142,TB2-A03,Alpha,2021,8,2021-08-10,1,12.83,12.83,0.0,54.6,False,82.3,True,Electrical System,17.8,93.0
MSN00143,TB2-A03,Alpha,2021,8,2021-08-26,1,12.76,12.76,0.0,62.8,False,86.4,False,,0.0,93.0
MSN00144,TB2-A03,Alpha,2021,8,2021-08-26,1,14.92,14.92,0.0,82.1,False,52.8,False,,0.0,93.0
MSN00145,TB2-A03,Alpha,2021,8,2021-08-03,1,17.9,17.9,0.0,64.6,False,68.2,False,,0.0,93.0
MSN00146,TB2-A03,Alpha,2021,8,2021-08-19,1,17.32,17.32,0.0,67.1,False,72.1,False,,0.0,93.0
MSN00147,TB2-A03,Alpha,2021,8,2021-08-19,1,17.12,17.12,0.0,65.0,False,75.6,False,,0.0,93.0
MSN00148,TB2-A03,Alpha,2021,8,2021-08-12,1,16.84,16.84,0.0,65.2,False,66.6,False,,0.0,93.0
MSN00150,TB2-A03,Alpha,2021,9,2021-09-07,1,16.98,16.98,0.0,125.5,True,81.0,False,,0.0,93.3
MSN00151,TB2-A03,Alpha,2021,9,2021-09-09,1,19.2,19.2,0.0,37.3,False,72.0,False,,0.0,93.3
MSN00152,TB2-A03,Alpha,2021,9,2021-09-25,1,18.51,18.51,0.0,76.8,False,61.6,False,,0.0,93.3
MSN00153,TB2-A03,Alpha,2021,9,2021-09-14,1,17.18,17.18,0.0,68.8,False,83.5,False,,0.0,93.3
MSN00154,TB2-A03,Alpha,2021,9,2021-09-06,1,17.35,17.35,0.0,48.2,False,62.6,False,,0.0,93.3
MSN00155,TB2-A03,Alpha,2021,9,2021-09-08,1,18.04,18.04,0.0,58.7,False,64.2,False,,0.0,93.3
MSN00156,TB2-A03,Alpha,2021,9,2021-09-08,1,19.44,19.44,0.0,70.8,False,81.1,True,Engine,21.9,93.3
MSN00158,TB2-A03,Alpha,2021,9,2021-09-24,1,15.88,15.88,0.0,60.6,False,68.8,False,,0.0,93.3
MSN00159,TB2-A03,Alpha,2021,9,2021-09-10,1,18.06,18.06,0.0,75.3,False,58.1,False,,0.0,93.3
MSN00161,TB2-A03,Alpha,2021,9,2021-09-10,1,18.54,18.54,0.0,118.0,True,56.0,False,,0.0,93.3
MSN00162,TB2-A03,Alpha,2021,9,2021-09-12,1,18.89,18.89,0.0,77.2,False,41.5,False,,0.0,93.3
MSN00163,TB2-A03,Alpha,2021,9,2021-09-21,1,17.15,17.15,0.0,74.6,False,62.0,False,,0.0,93.3
MSN00164,TB2-A03,Alpha,2021,10,2021-10-19,1,16.55,16.55,0.0,39.8,False,81.5,True,Electrical System,21.1,84.6
MSN00165,TB2-A03,Alpha,2021,10,2021-10-15,1,16.85,16.85,0.0,148.2,True,40.5,False,,0.0,84.6
MSN00166,TB2-A03,Alpha,2021,10,2021-10-12,1,13.4,13.4,0.0,69.7,False,70.0,False,,0.0,84.6
MSN00167,TB2-A03,Alpha,2021,10,2021-10-13,1,12.49,12.49,0.0,75.6,False,76.4,False,,0.0,84.6
MSN00168,TB2-A03,Alpha,2021,10,2021-10-07,1,17.43,17.43,0.0,62.3,False,76.1,False,,0.0,84.6
MSN00169,TB2-A03,Alpha,2021,10,2021-10-27,1,18.89,18.89,0.0,73.0,False,56.1,False,,0.0,84.6
MSN00170,TB2-A03,Alpha,2021,10,2021-10-21,1,17.02,17.02,0.0,123.0,True,60.9,False,,0.0,84.6
MSN00171,TB2-A03,Alpha,2021,10,2021-10-10,1,15.26,15.26,0.0,136.2,True,89.9,False,,0.0,84.6
MSN00172,TB2-A03,Alpha,2021,10,2021-10-04,1,16.33,16.33,0.0,70.1,False,80.7,False,,0.0,84.6
MSN00173,TB2-A03,Alpha,2021,10,2021-10-17,1,18.79,18.79,0.0,70.6,False,69.3,False,,0.0,84.6
MSN00174,TB2-A03,Alpha,2021,10,2021-10-03,1,14.88,14.88,0.0,46.3,False,44.0,False,,0.0,84.6
MSN00175,TB2-A03,Alpha,2021,10,2021-10-07,1,15.89,15.89,0.0,47.8,False,64.1,False,,0.0,84.6
MSN00176,TB2-A03,Alpha,2021,10,2021-10-26,1,18.07,18.07,0.0,61.7,False,71.3,False,,0.0,84.6
MSN00177,TB2-A03,Alpha,2021,10,2021-10-06,1,18.19,18.19,0.0,79.1,False,54.4,True,Communication Link,35.0,84.6
MSN00179,TB2-A03,Alpha,2021,10,2021-10-16,1,15.72,15.72,0.0,93.7,True,40.6,False,,0.0,84.6
MSN00180,TB2-A03,Alpha,2021,10,2021-10-09,1,14.25,14.25,0.0,45.4,False,74.4,False,,0.0,84.6
MSN00181,TB2-A03,Alpha,2021,10,2021-10-11,1,15.15,15.15,0.0,68.9,False,86.2,False,,0.0,84.6
MSN00182,TB2-A03,Alpha,2021,11,2021-11-22,1,20.0,20.0,0.0,119.6,True,61.9,False,,0.0,93.8
MSN00183,TB2-A03,Alpha,2021,11,2021-11-25,1,16.13,16.13,0.0,55.6,False,33.6,False,,0.0,93.8
MSN00184,TB2-A03,Alpha,2021,11,2021-11-16,1,17.99,17.99,0.0,63.0,False,70.6,False,,0.0,93.8
MSN00185,TB2-A03,Alpha,2021,11,2021-11-21,1,15.25,15.25,0.0,79.4,False,65.4,True,Navigation/GPS,8.7,93.8
MSN00186,TB2-A03,Alpha,2021,11,2021-11-10,1,17.69,17.69,0.0,67.8,False,55.2,False,,0.0,93.8
MSN00187,TB2-A03,Alpha,2021,11,2021-11-22,1,16.91,16.91,0.0,84.0,False,61.0,False,,0.0,93.8
MSN00188,TB2-A03,Alpha,2021,11,2021-11-18,1,14.69,14.69,0.0,54.0,False,65.7,False,,0.0,93.8
MSN00189,TB2-A03,Alpha,2021,11,2021-11-15,1,14.17,14.17,0.0,76.7,False,63.9,False,,0.0,93.8
MSN00190,TB2-A03,Alpha,2021,11,2021-11-02,1,16.94,16.94,0.0,84.1,False,71.2,False,,0.0,93.8
MSN00192,TB2-A03,Alpha,2021,11,2021-11-19,1,14.99,14.99,0.0,63.8,False,74.7,False,,0.0,93.8
MSN00193,TB2-A03,Alpha,2021,11,2021-11-26,1,15.74,15.74,0.0,103.7,False,89.8,False,,0.0,93.8
MSN00194,TB2-A03,Alpha,2021,11,2021-11-09,1,18.43,18.43,0.0,97.3,False,49.6,False,,0.0,93.8
MSN00195,TB2-A03,Alpha,2021,11,2021-11-25,1,15.91,15.91,0.0,41.4,False,89.0,False,,0.0,93.8
MSN00196,TB2-A03,Alpha,2021,11,2021-11-23,1,16.38,16.38,0.0,79.0,False,74.6,False,,0.0,93.8
MSN00197,TB2-A03,Alpha,2021,11,2021-11-10,1,13.34,13.34,0.0,69.9,False,76.1,False,,0.0,93.8
MSN00198,TB2-A03,Alpha,2021,12,2021-12-02,1,17.64,17.64,0.0,67.3,False,76.4,False,,0.0,91.6
MSN00199,TB2-A03,Alpha,2021,12,2021-12-09,1,18.85,18.85,0.0,86.5,False,101.0,False,,0.0,91.6
MSN00201,TB2-A03,Alpha,2021,12,2021-12-18,1,17.23,17.23,0.0,73.1,False,81.2,False,,0.0,91.6
MSN00202,TB2-A03,Alpha,2021,12,2021-12-06,1,20.0,20.0,0.0,77.0,False,74.7,False,,0.0,91.6
MSN00203,TB2-A03,Alpha,2021,12,2021-12-27,1,15.2,15.2,0.0,111.8,True,71.9,False,,0.0,91.6
MSN00205,TB2-A03,Alpha,2021,12,2021-12-06,1,20.0,20.0,0.0,73.9,False,82.8,False,,0.0,91.6
MSN00206,TB2-A03,Alpha,2021,12,2021-12-28,1,15.06,15.06,0.0,69.8,False,56.4,False,,0.0,91.6
MSN00207,TB2-A03,Alpha,2021,12,2021-12-02,1,17.17,17.17,0.0,67.0,False,57.9,False,,0.0,91.6
MSN00208,TB2-A03,Alpha,2021,12,2021-12-16,1,14.19,14.19,0.0,61.1,False,49.2,False,,0.0,91.6
MSN00209,TB2-A03,Alpha,2021,12,2021-12-28,1,17.96,17.96,0.0,69.5,False,65.3,False,,0.0,91.6
MSN00210,TB2-A03,Alpha,2021,12,2021-12-24,1,15.66,15.66,0.0,63.9,False,67.2,False,,0.0,91.6
MSN00211,TB2-A03,Alpha,2021,12,2021-12-28,1,16.2,16.2,0.0,55.2,False,83.5,False,,0.0,91.6
MSN00212,TB2-A01,Alpha,2022,1,2022-01-06,0,18.42,18.42,0.0,96.0,True,61.8,False,,0.0,98.7
MSN00214,TB2-A01,Alpha,2022,1,2022-01-16,0,16.41,16.41,0.0,69.4,False,69.7,False,,0.0,98.7
MSN00215,TB2-A01,Alpha,2022,1,2022-01-19,0,16.58,16.58,0.0,55.9,False,53.9,False,,0.0,98.7
MSN00216,TB2-A01,Alpha,2022,1,2022-01-05,0,16.46,16.46,0.0,74.0,False,63.4,False,,0.0,98.7
MSN00217,TB2-A03,Alpha,2022,1,2022-01-19,2,17.25,17.25,0.0,70.3,False,82.6,False,,0.0,90.0
MSN00218,TB2-A03,Alpha,2022,1,2022-01-14,2,17.02,17.02,0.0,87.8,False,72.7,False,,0.0,90.0
MSN00219,TB2-A03,Alpha,2022,1,2022-01-05,2,15.38,15.38,0.0,108.4,False,68.7,False,,0.0,90.0
MSN00220,TB2-A01,Alpha,2022,2,2022-02-23,0,14.49,14.49,0.0,45.8,False,47.5,False,,0.0,97.0
MSN00221,TB2-A01,Alpha,2022,2,2022-02-14,0,19.91,19.91,0.0,113.4,True,60.5,False,,0.0,97.0
MSN00223,TB2-A03,Alpha,2022,2,2022-02-20,2,18.68,18.68,0.0,42.6,False,60.1,False,,0.0,89.3
MSN00226,TB2-A03,Alpha,2022,2,2022-02-12,2,19.62,19.62,0.0,74.6,False,67.9,True,Engine,33.7,89.3
MSN00227,TB2-A03,Alpha,2022,3,2022-03-02,2,19.58,19.58,0.0,85.6,False,72.3,False,,0.0,90.9
MSN00228,TB2-A01,Alpha,2022,3,2022-03-07,0,14.06,14.06,0.0,82.4,True,66.0,False,,0.0,89.0
MSN00229,TB2-A03,Alpha,2022,3,2022-03-09,2,20.0,20.0,0.0,65.3,False,71.1,False,,0.0,90.9
MSN00230,TB2-A03,Alpha,2022,3,2022-03-28,2,17.78,17.78,0.0,56.4,False,101.7,False,,0.0,90.9
