person_id,english_certified,russian_certified,other_language_certified,other_language_name,nato_training,foreign_course,instructor_certified
G24422,False,False,False,,True,True,False
G24379,False,False,False,,False,False,False
G20209,False,False,False,,True,True,False
G23995,False,False,False,,False,False,False
G15195,False,False,False,,False,False,False
G10686,False,False,False,,False,False,False
G11957,False,True,False,,False,False,False
G17797,False,False,False,,False,False,False
G19538,False,False,False,,False,False,False
G24344,False,True,False,,False,False,False
G22249,False,True,False,,False,False,False
G22769,False,True,False,,False,False,False
G08859,False,True,False,,False,False,False
G22733,False,True,False,,False,False,False
G11223,False,True,False,,False,False,True
G13364,False,True,False,,False,False,False
G25102,False,False,False,,False,False,False
G13541,False,True,False,,True,False,False
G23338,False,True,False,,False,False,False
G21587,False,True,False,,False,False,False
G08482,False,False,False,,False,False,False
G25255,False,True,False,,True,True,False
AO97199,False,False,True,French,False,False,False
AO16486,False,False,True,Turkish,False,True,True
AO12560,False,False,False,,False,False,False
G15848,False,False,False,,False,False,False
AO13826,False,True,False,,True,False,True
AO21460,False,False,False,,False,True,False
AO18804,False,True,True,German,False,False,True
AO17999,False,False,False,,False,False,False
AO21945,False,False,False,,False,True,False
AO22715,False,False,False,,False,False,False
AO16664,False,False,False,,False,False,False
AO24322,False,False,True,Turkish,True,False,False
AO24715,False,False,False,,True,False,False
AO16557,False,True,False,,False,False,False
AO20423,False,False,False,,False,False,False
AO15870,False,True,False,,False,False,False
AO17162,False,True,False,,False,True,True
AO24225,False,True,False,,True,False,False
AO24481,False,True,False,,False,False,False
AO12508,False,True,False,,False,False,True
AO23007,False,False,False,,False,False,False
AO21316,False,True,True,French,True,False,False
AO21906,False,False,False,,False,False,False
AO24203,False,False,False,,False,False,False
AO20690,False,True,False,,False,False,False
AO19316,False,True,False,,False,False,False
AO20211,False,False,True,French,False,False,False
AO14299,False,True,True,French,False,False,False
AO23728,False,False,False,,False,False,False
AO22709,False,False,False,,False,False,False
AO18592,False,False,False,,False,False,False
AO18652,False,False,False,,False,False,False
AO24038,False,False,True,German,False,False,False
AO23051,False,True,False,,False,False,False
AO25210,False,False,False,,False,False,False
AO25050,False,True,False,,False,False,False
AO24602,True,False,False,,False,False,False
AO23001,False,True,False,,False,False,True
AO16430,False,True,False,,False,False,True
AO23143,False,True,False,,True,False,True
AO24756,True,False,False,,False,False,False
AO12366,False,False,False,,False,False,False
AO24395,False,True,True,German,False,False,False
AO23430,False,True,False,,False,False,False
AO24998,False,True,False,,False,False,True
G22440,False,False,False,,False,False,False
G11589,False,False,False,,False,False,False
G23771,False,True,False,,False,False,False
G17117,False,False,False,,False,False,False
G15417,False,False,False,,False,False,False
G24483,False,True,False,,False,False,False
G24819,False,True,False,,False,False,False
G22927,False,False,False,,False,False,False
G24599,False,False,True,French,False,False,False
G25161,False,True,False,,False,False,True
G13723,False,True,False,,False,False,False
G24135,False,False,False,,False,False,False
G21624,False,True,False,,False,False,False
G08986,False,False,False,,False,True,True
G21223,False,True,False,,False,False,False
G23268,False,True,False,,False,False,False
G25106,False,True,False,,False,False,False
G25990,False,True,False,,False,False,False
G15161,True,False,False,,False,False,False
G22969,False,False,False,,False,False,False
G25008,False,False,False,,False,False,False
G24879,False,True,False,,False,False,False
G16019,False,True,False,,False,False,False
G24796,False,False,False,,False,False,False
G23895,False,False,False,,False,False,False
G21967,False,True,False,,False,False,False
G24128,False,True,False,,True,True,False
G17208,False,False,False,,False,False,False
G23922,False,False,False,,False,False,False
G11685,False,False,False,,False,False,False
G23964,False,False,False,,False,False,False
G24038,False,False,False,,False,False,False
G23945,False,True,False,,False,False,False
G10758,False,False,False,,False,False,False
G08002,False,False,False,,False,False,False
G24250,False,False,False,,False,False,False
G24010,False,False,False,,False,False,False
G24043,False,True,False,,False,False,False
G22635,False,True,False,,False,False,False
G22413,False,True,False,,False,False,False
G21070,False,True,False,,False,False,False
G23299,False,True,False,,False,False,False
G25915,False,True,False,,False,False,False
G22473,False,False,False,,False,False,False
G24309,False,False,False,,False,False,False
G18175,False,False,False,,False,False,False
G10138,False,False,False,,False,False,False
G24284,False,False,False,,False,False,False
G22544,False,True,False,,False,False,False
G14731,False,False,False,,False,False,False
G23763,False,True,False,,False,False,True
G08568,False,True,True,German,False,False,False
G12593,False,False,False,,False,False,False
G08962,False,False,False,,False,False,False
G12425,False,True,False,,True,True,True
G25778,False,False,False,,False,False,False
G13609,False,False,False,,False,False,False
G24580,False,False,False,,False,False,False
G21267,False,False,False,,False,False,False
G23226,False,False,True,Turkish,False,False,False
AO05709,False,False,False,,False,False,False
AO12824,False,False,False,,False,False,False
AO16360,False,False,False,,False,False,False
G11837,False,False,False,,False,False,False
AO13387,False,False,False,,False,False,False
AO18342,False,False,False,,False,True,False
AO23991,False,False,False,,False,False,False
AO11296,False,False,False,,False,False,False
AO24278,False,True,False,,False,False,False
AO21963,False,False,False,,False,False,False
AO24578,False,False,False,,False,False,False
AO25711,False,True,False,,False,False,False
AO14187,True,True,False,,False,False,False
AO22316,False,True,False,,False,False,False
AO18186,False,True,False,,False,False,False
AO20436,False,False,False,,False,False,True
AO18238,False,True,False,,False,False,False
AO25379,False,True,False,,False,False,False
AO12189,False,False,False,,False,False,True
AO15573,False,True,False,,False,False,True
AO18127,False,False,False,,False,False,False
AO13278,False,False,False,,False,False,False
AO15860,False,True,True,Turkish,False,False,False
AO23574,False,False,False,,False,False,True
AO24436,False,False,True,Turkish,False,True,False
AO24631,False,False,False,,False,True,False
AO15583,False,False,False,,False,False,False
AO24190,False,False,False,,False,False,False
AO15781,False,False,False,,True,False,False
AO12061,False,True,False,,False,False,False
AO18148,False,False,False,,False,False,False
AO13289,False,False,False,,False,False,False
AO23475,False,False,False,,True,True,False
AO25607,False,False,True,German,True,False,True
AO21091,False,True,True,German,False,False,True
AO22207,False,False,False,,False,False,False
AO17682,False,True,False,,False,False,False
AO17015,False,True,False,,False,True,False
AO13576,False,False,False,,False,False,False
AO20306,False,False,False,,False,False,False
AO14271,False,False,False,,False,False,False
AO25477,False,False,False,,False,True,False
AO16242,False,True,False,,False,True,True
AO23405,False,True,False,,True,False,True
AO18046,False,False,False,,False,False,False
G20303,False,True,False,,False,False,False
G12516,False,True,False,,True,False,False
G11545,False,False,False,,False,False,False
G24443,False,True,False,,False,False,False
G24868,False,True,False,,False,False,False
G23314,False,False,False,,False,False,False
G19777,False,False,False,,False,False,False
G08440,False,False,False,,False,False,False
G23726,False,True,False,,False,False,False
G11657,False,False,False,,False,True,False
G21722,False,False,False,,False,False,False
G22580,False,False,False,,False,False,False
G16308,False,False,False,,False,False,False
G23263,False,False,False,,False,False,True
G22662,False,True,False,,False,False,False
G20911,False,False,False,,False,False,False
G22464,False,False,False,,False,False,False
G21369,False,False,False,,False,False,False
G18149,False,False,False,,False,False,False
G07690,False,False,False,,False,False,False
G23804,False,True,False,,False,False,False
G24311,False,True,False,,False,False,False
G07820,False,True,False,,False,False,False
G24390,False,False,False,,False,False,False
G09841,False,True,False,,False,False,False
G25584,False,True,False,,False,False,False
G23074,False,True,False,,False,False,False
G23810,False,False,False,,False,False,False
G21565,False,False,False,,False,False,False
G20187,False,True,False,,False,False,False
G24951,False,False,False,,False,False,False
G25456,False,True,False,,False,False,False
G15955,False,False,False,,False,False,False
G21305,False,False,False,,False,False,False
G22415,False,True,False,,False,False,False
G22037,False,False,False,,False,False,False
G22579,False,True,False,,False,False,False
G22977,False,True,False,,False,False,False
G24065,False,True,False,,False,False,False
G07673,False,False,False,,False,False,False
G22535,False,True,False,,False,False,False
G23918,False,False,False,,False,False,False
G25132,False,False,False,,False,False,False
G22485,False,False,False,,False,False,False
G22220,False,False,False,,False,False,True
G22168,False,False,False,,False,False,False
G13401,False,True,False,,False,False,True
G25062,False,True,False,,False,False,False
G23312,False,False,False,,False,False,False
G11789,False,False,False,,False,False,False
G25707,False,True,False,,False,False,False
G22436,False,True,False,,False,True,True
G13194,False,False,False,,False,False,False
G24151,False,True,False,,False,False,False
G07405,False,False,False,,False,False,False
G11903,False,False,False,,False,False,False
G23626,False,False,False,,False,False,False
G09553,False,False,False,,False,False,False
G22502,False,False,False,,False,False,False
G25177,False,False,False,,False,False,False
AO97317,False,True,False,,False,False,False
AO14416,True,True,False,,False,False,False
AO14212,False,False,False,,False,False,False
G23124,False,True,False,,False,False,True
AO18162,False,True,False,,False,False,False
AO17072,False,True,False,,False,False,True
AO24985,False,False,False,,False,False,True
AO21429,False,True,False,,False,False,False
AO20240,False,True,False,,True,False,False
AO16860,False,True,True,French,False,False,False
AO24475,False,False,False,,True,False,False
AO24451,False,True,False,,False,False,False
AO25736,False,True,False,,True,True,False
AO24080,False,True,False,,False,False,False
AO17637,False,False,False,,False,False,False
AO23313,False,True,False,,False,False,False
AO23316,False,False,False,,False,False,False
AO17887,False,False,False,,False,False,False
AO15343,False,False,False,,False,False,False
AO18123,False,False,False,,True,False,True
AO18600,False,False,False,,True,True,False
AO24112,False,True,False,,False,True,False
AO18070,False,True,False,,False,False,False
AO24903,False,False,False,,False,False,False
AO21835,False,False,False,,False,False,False
AO21206,False,False,False,,True,False,False
AO15626,False,True,False,,False,False,False
AO16652,False,False,True,Turkish,False,False,True
AO21394,False,True,False,,False,False,False
AO17667,False,False,False,,False,False,False
AO25008,False,True,False,,False,False,False
AO21911,False,True,False,,False,False,False
AO24650,False,False,False,,False,False,False
AO13655,False,True,False,,False,False,False
AO19192,False,False,False,,True,False,False
AO22118,False,False,False,,False,False,False
AO24579,False,True,False,,True,False,False
AO12488,False,True,False,,True,True,False
AO24665,False,True,False,,False,False,False
AO18360,False,True,False,,False,False,False
AO12822,False,False,False,,False,True,False
AO11938,False,True,False,,False,False,False
AO21355,False,False,False,,True,True,False
AO16958,False,True,False,,False,False,False
AO23557,False,True,False,,False,False,False
G08994,False,True,False,,False,False,False
G21193,False,False,False,,False,False,False
G23405,False,True,False,,False,False,False
G21265,False,False,False,,False,False,True
G23583,False,False,False,,False,False,False
G16237,False,True,False,,False,False,False
G12759,False,True,False,,False,False,False
G21712,False,True,False,,False,False,False
G11534,False,True,False,,False,False,False
G13338,False,False,False,,False,False,False
G24740,False,False,False,,False,False,False
G24625,False,False,False,,False,False,False
G08825,False,False,False,,False,False,False
G24228,False,True,False,,False,False,False
G22914,False,False,False,,False,False,False
G23950,False,True,False,,True,False,False
G18229,False,False,False,,False,False,False
G10034,False,False,False,,False,False,True
G24055,False,True,False,,False,False,False
G17751,False,False,False,,False,False,False
G21335,False,False,False,,False,False,False
G19692,False,True,False,,True,True,False
G18048,False,True,False,,False,False,False
G23617,False,True,False,,False,False,False
G18607,False,False,False,,False,False,False
G22495,False,True,False,,False,False,False
G22236,False,True,False,,False,False,False
G22081,False,True,False,,False,False,False
G23603,False,False,False,,False,False,False
G23250,False,False,False,,False,False,False
G21406,False,False,False,,False,False,False
G24842,False,False,False,,False,False,False
G09851,False,False,True,Turkish,False,False,False
G17884,False,False,False,,False,False,False
G25117,False,False,False,,False,False,False
G25881,False,True,False,,False,False,False
G22817,False,False,False,,False,False,True
G24028,False,True,False,,False,False,True
G21397,False,False,False,,False,False,False
G22616,False,True,False,,False,False,False
G16679,False,False,False,,False,False,False
G25490,False,True,False,,False,False,False
G22788,False,False,False,,False,False,True
G21226,False,False,False,,False,False,False
G22189,False,True,False,,False,False,False
G21086,False,True,False,,False,False,False
G07800,False,True,False,,False,False,False
G21074,False,False,False,,False,False,False
G23622,False,True,False,,False,False,False
G08080,False,True,False,,False,False,False
G18336,False,False,False,,False,False,False
G19856,False,False,False,,False,False,False
G06810,False,False,False,,False,False,False
G09028,False,False,False,,False,False,False
G25779,False,True,False,,False,False,False
G16461,False,False,False,,False,False,False
G25044,False,False,False,,False,False,False
G24144,False,False,False,,False,False,True
G22135,False,True,False,,False,False,False
G22448,False,True,False,,False,False,False
AO97468,False,True,False,,False,False,False
AO12000,False,True,False,,False,False,False
AO13467,False,False,False,,False,False,False
G06923,False,False,False,,False,False,False
AO12830,False,False,False,,False,False,False
AO22617,False,False,False,,False,False,False
AO25183,False,True,False,,False,False,False
AO21436,False,False,False,,False,False,False
AO23681,False,True,False,,True,False,False
AO25376,True,True,False,,False,False,False
AO22093,False,False,False,,False,False,False
AO23780,False,True,False,,False,False,False
AO14671,False,False,False,,False,True,False
AO11537,False,True,False,,False,True,True
AO12140,False,False,False,,False,False,False
AO20080,False,True,False,,False,False,False
AO19031,False,True,False,,False,False,False
AO18862,False,False,False,,False,False,False
AO14110,False,False,False,,False,False,False
AO23445,False,False,True,French,False,False,False
AO25358,False,True,False,,True,False,False
AO13818,False,True,False,,False,False,False
AO23508,False,True,False,,False,False,False
AO23410,False,True,False,,False,False,False
AO18024,False,False,False,,False,False,False
AO16212,False,False,False,,False,False,True
AO21707,False,False,False,,False,False,False
AO21034,False,False,False,,False,False,False
AO22645,False,True,False,,True,True,False
AO21263,False,False,False,,False,True,True
AO25112,False,False,False,,False,False,False
AO21878,False,False,False,,False,False,True
AO20873,False,True,False,,True,False,True
AO24366,False,False,False,,False,False,False
AO24140,True,True,False,,False,True,False
AO17508,False,True,False,,True,False,False
AO20321,False,False,False,,False,False,False
AO18793,False,False,False,,False,False,True
AO25165,False,True,True,German,False,False,False
AO13943,False,True,False,,False,False,False
AO25541,False,True,False,,False,False,True
AO17098,False,True,False,,False,False,False
AO22788,False,False,False,,False,False,False
AO24582,False,True,False,,False,False,True
AO21338,False,True,False,,False,False,False
G21228,False,True,False,,False,False,False
G23248,False,False,False,,False,False,False
G17472,False,False,False,,False,False,False
G25334,False,False,False,,False,False,False
G23853,False,True,False,,False,False,False
G24918,False,False,False,,False,False,False
G21956,False,False,False,,False,False,False
G24754,False,True,False,,False,False,False
G13596,False,False,False,,False,False,False
G22667,False,True,False,,False,False,False
G22398,True,False,False,,False,False,False
G23722,False,True,False,,False,False,False
G21555,False,True,False,,False,False,False
G23967,False,False,False,,False,False,False
G21563,False,True,False,,False,False,False
G13345,False,True,False,,False,False,True
G24895,False,False,False,,False,False,False
G21379,False,True,False,,False,False,False
G17341,False,True,False,,False,False,True
G10878,False,False,False,,False,False,False
G22691,False,False,False,,False,False,False
G23878,False,True,False,,False,False,False
G23264,False,False,False,,False,False,False
G09033,False,False,False,,False,False,False
G22782,False,False,False,,False,False,True
G10254,False,False,False,,False,False,False
G22028,False,False,False,,False,False,False
G21049,False,True,False,,False,False,False
G23282,False,True,False,,False,False,True
G25308,False,True,False,,False,False,False
G22471,False,True,False,,False,False,False
G23592,False,False,False,,False,False,False
G25920,False,True,False,,False,False,True
G24364,False,False,False,,False,False,False
G22982,False,False,False,,False,False,True
G23461,False,False,False,,False,False,False
G18512,False,False,False,,False,False,False
G23291,False,True,False,,False,False,False
G23231,False,False,False,,False,False,False
G22347,False,False,False,,False,False,False
G23588,False,True,False,,False,False,False
G09565,False,True,False,,False,False,False
G21906,False,True,False,,False,False,False
G22712,False,False,False,,False,False,False
G23902,False,False,False,,False,False,False
G18430,False,False,False,,False,False,False
G23276,False,False,False,,True,False,False
G17879,False,True,False,,False,False,False
G22590,False,False,False,,True,False,False
G23898,False,True,False,,False,False,False
G23419,False,True,False,,False,False,False
G25872,False,True,False,,False,False,False
G18131,False,False,False,,False,False,False
G24109,False,False,False,,False,False,False
G25531,False,False,False,,False,False,True
G18619,False,True,False,,False,False,False
G17402,False,True,False,,False,False,False
G25356,False,True,False,,False,True,False
G23270,False,False,False,,False,False,False
G22986,False,True,False,,False,False,False
