shot_id,person_id,department,shot_date,shot_sequence_number,is_first_shot,shot_type,outcome
AO21304-S017,AO21304,Alpha,2024-12-17,17,False,PUA,Successful
AO21304-S018,AO21304,Alpha,2025-02-20,18,False,PUA,Successful
AO21304-S019,AO21304,Alpha,2025-05-30,19,False,Training,Successful
AO21304-S020,AO21304,Alpha,2026-05-25,20,False,PUA,Failed
AO21304-S021,AO21304,Alpha,2026-06-15,21,False,Artillery Spotting,Successful
AO21304-S022,AO21304,Alpha,2026-06-27,22,False,Artillery Spotting,Successful
AO24033-S001,AO24033,Alpha,2025-08-14,1,True,PUA,Failed
AO24033-S002,AO24033,Alpha,2025-09-23,2,False,Laser-guided,Successful
AO24033-S003,AO24033,Alpha,2025-09-29,3,False,Laser-guided,Successful
AO24033-S004,AO24033,Alpha,2025-12-09,4,False,PUA,Successful
AO24033-S005,AO24033,Alpha,2026-01-25,5,False,Training,Successful
AO24033-S006,AO24033,Alpha,2026-05-16,6,False,PUA,Successful
AO24033-S007,AO24033,Alpha,2026-06-07,7,False,Artillery Spotting,Successful
AO25712-S001,AO25712,Alpha,2025-06-14,1,True,PUA,Successful
AO25712-S002,AO25712,Alpha,2025-06-21,2,False,PUA,Successful
AO25712-S003,AO25712,Alpha,2025-08-16,3,False,PUA,Successful
AO25712-S004,AO25712,Alpha,2025-09-04,4,False,PUA,Failed
AO25712-S005,AO25712,Alpha,2025-09-24,5,False,PUA,Successful
AO25712-S006,AO25712,Alpha,2026-04-09,6,False,Laser-guided,Successful
AO25712-S007,AO25712,Alpha,2026-06-06,7,False,Artillery Spotting,Successful
AO25712-S008,AO25712,Alpha,2026-06-18,8,False,PUA,Successful
AO21586-S001,AO21586,Alpha,2021-11-12,1,True,Artillery Spotting,Failed
AO21586-S002,AO21586,Alpha,2022-01-24,2,False,PUA,Failed
AO21586-S003,AO21586,Alpha,2022-01-27,3,False,Artillery Spotting,Successful
AO21586-S004,AO21586,Alpha,2022-02-25,4,False,PUA,Successful
AO21586-S005,AO21586,Alpha,2022-04-05,5,False,Artillery Spotting,Successful
AO21586-S006,AO21586,Alpha,2022-04-11,6,False,PUA,Failed
AO21586-S007,AO21586,Alpha,2022-04-22,7,False,PUA,Successful
AO21586-S008,AO21586,Alpha,2022-11-10,8,False,PUA,Successful
AO21586-S009,AO21586,Alpha,2023-01-14,9,False,Artillery Spotting,Successful
AO21586-S010,AO21586,Alpha,2023-02-13,10,False,PUA,Failed
AO21586-S011,AO21586,Alpha,2023-10-10,11,False,PUA,Successful
AO21586-S012,AO21586,Alpha,2023-12-30,12,False,Artillery Spotting,Successful
AO21586-S013,AO21586,Alpha,2024-01-12,13,False,Laser-guided,Failed
AO21586-S014,AO21586,Alpha,2024-05-27,14,False,PUA,Failed
AO21586-S015,AO21586,Alpha,2024-06-07,15,False,Laser-guided,Successful
AO21586-S016,AO21586,Alpha,2024-10-06,16,False,PUA,Failed
AO21586-S017,AO21586,Alpha,2025-03-17,17,False,PUA,Failed
AO21586-S018,AO21586,Alpha,2025-05-24,18,False,Training,Successful
AO21586-S019,AO21586,Alpha,2025-10-12,19,False,Laser-guided,Successful
AO21586-S020,AO21586,Alpha,2026-03-19,20,False,Laser-guided,Successful
AO21586-S021,AO21586,Alpha,2026-05-27,21,False,PUA,Successful
AO21458-S001,AO21458,Alpha,2024-02-11,1,True,Artillery Spotting,Failed
AO21458-S002,AO21458,Alpha,2024-03-07,2,False,Laser-guided,Successful
AO21458-S003,AO21458,Alpha,2024-04-27,3,False,Training,Successful
AO21458-S004,AO21458,Alpha,2024-07-19,4,False,PUA,Successful
AO21458-S005,AO21458,Alpha,2024-08-06,5,False,Artillery Spotting,Failed
AO21458-S006,AO21458,Alpha,2024-10-08,6,False,Training,Failed
AO21458-S007,AO21458,Alpha,2024-12-05,7,False,Artillery Spotting,Successful
AO21458-S008,AO21458,Alpha,2024-12-27,8,False,Artillery Spotting,Successful
AO21458-S009,AO21458,Alpha,2025-01-01,9,False,PUA,Successful
AO21458-S010,AO21458,Alpha,2025-04-03,10,False,PUA,Successful
AO21458-S011,AO21458,Alpha,2025-11-13,11,False,PUA,Failed
AO21458-S012,AO21458,Alpha,2026-05-07,12,False,Laser-guided,Successful
AO20164-S001,AO20164,Alpha,2021-03-13,1,True,PUA,Failed
AO20164-S002,AO20164,Alpha,2021-04-27,2,False,Laser-guided,Failed
AO20164-S003,AO20164,Alpha,2021-06-17,3,False,Artillery Spotting,Successful
AO20164-S004,AO20164,Alpha,2021-09-12,4,False,Artillery Spotting,Successful
AO20164-S005,AO20164,Alpha,2021-09-20,5,False,Laser-guided,Successful
AO20164-S006,AO20164,Alpha,2022-01-30,6,False,Artillery Spotting,Failed
AO20164-S007,AO20164,Alpha,2022-02-12,7,False,Artillery Spotting,Successful
AO20164-S008,AO20164,Alpha,2022-06-21,8,False,PUA,Successful
AO20164-S009,AO20164,Alpha,2022-09-29,9,False,PUA,Successful
AO20164-S010,AO20164,Alpha,2022-10-25,10,False,PUA,Successful
AO20164-S011,AO20164,Alpha,2022-12-13,11,False,Laser-guided,Successful
AO20164-S012,AO20164,Alpha,2023-02-23,12,False,PUA,Successful
AO20164-S013,AO20164,Alpha,2023-03-02,13,False,Laser-guided,Successful
AO20164-S014,AO20164,Alpha,2023-09-06,14,False,PUA,Successful
AO20164-S015,AO20164,Alpha,2023-09-23,15,False,Laser-guided,Successful
AO20164-S016,AO20164,Alpha,2023-10-24,16,False,PUA,Successful
AO20164-S017,AO20164,Alpha,2023-11-02,17,False,PUA,Successful
AO20164-S018,AO20164,Alpha,2024-04-13,18,False,PUA,Successful
AO20164-S019,AO20164,Alpha,2024-05-05,19,False,PUA,Successful
AO20164-S020,AO20164,Alpha,2024-05-13,20,False,Laser-guided,Successful
AO20164-S021,AO20164,Alpha,2024-08-03,21,False,PUA,Failed
AO20164-S022,AO20164,Alpha,2024-08-20,22,False,Artillery Spotting,Successful
AO20164-S023,AO20164,Alpha,2024-11-03,23,False,PUA,Successful
AO20164-S024,AO20164,Alpha,2025-02-21,24,False,PUA,Successful
AO20164-S025,AO20164,Alpha,2025-03-11,25,False,PUA,Successful
AO20164-S026,AO20164,Alpha,2025-04-02,26,False,PUA,Successful
AO20164-S027,AO20164,Alpha,2026-03-13,27,False,Artillery Spotting,Successful
AO25328-S001,AO25328,Alpha,2025-05-20,1,True,PUA,Successful
AO25328-S002,AO25328,Alpha,2025-10-23,2,False,PUA,Successful
AO25328-S003,AO25328,Alpha,2026-02-01,3,False,PUA,Successful
AO25328-S004,AO25328,Alpha,2026-06-23,4,False,PUA,Successful
AO24416-S001,AO24416,Alpha,2024-05-31,1,True,PUA,Successful
AO24416-S002,AO24416,Alpha,2024-07-29,2,False,PUA,Successful
AO24416-S003,AO24416,Alpha,2024-09-24,3,False,Training,Successful
AO24416-S004,AO24416,Alpha,2024-09-29,4,False,PUA,Successful
AO24416-S005,AO24416,Alpha,2025-08-28,5,False,Laser-guided,Successful
AO24416-S006,AO24416,Alpha,2026-04-21,6,False,Laser-guided,Successful
AO24416-S007,AO24416,Alpha,2026-06-11,7,False,PUA,Successful
AO22701-S001,AO22701,Alpha,2023-12-05,1,True,Artillery Spotting,Failed
AO22701-S002,AO22701,Alpha,2024-02-14,2,False,Laser-guided,Successful
AO22701-S003,AO22701,Alpha,2024-09-17,3,False,PUA,Successful
AO22701-S004,AO22701,Alpha,2024-10-24,4,False,Laser-guided,Successful
AO22701-S005,AO22701,Alpha,2025-03-04,5,False,Artillery Spotting,Successful
AO22701-S006,AO22701,Alpha,2025-08-28,6,False,Laser-guided,Successful
AO22701-S007,AO22701,Alpha,2025-11-03,7,False,Laser-guided,Successful
AO22701-S008,AO22701,Alpha,2026-01-03,8,False,PUA,Successful
AO22701-S009,AO22701,Alpha,2026-01-21,9,False,PUA,Successful
AO22701-S010,AO22701,Alpha,2026-05-01,10,False,Laser-guided,Successful
AO24250-S001,AO24250,Alpha,2025-05-07,1,True,PUA,Successful
AO24250-S002,AO24250,Alpha,2025-05-27,2,False,Laser-guided,Successful
AO24250-S003,AO24250,Alpha,2025-08-12,3,False,Artillery Spotting,Successful
AO24250-S004,AO24250,Alpha,2025-09-04,4,False,PUA,Successful
AO24250-S005,AO24250,Alpha,2025-12-09,5,False,PUA,Successful
AO24250-S006,AO24250,Alpha,2026-06-26,6,False,PUA,Successful
AO22585-S001,AO22585,Alpha,2022-10-15,1,True,PUA,Failed
AO22585-S002,AO22585,Alpha,2022-11-26,2,False,PUA,Successful
AO22585-S003,AO22585,Alpha,2022-12-08,3,False,Laser-guided,Successful
AO22585-S004,AO22585,Alpha,2023-02-04,4,False,Laser-guided,Successful
AO22585-S005,AO22585,Alpha,2023-03-25,5,False,Laser-guided,Successful
AO22585-S006,AO22585,Alpha,2023-04-20,6,False,Artillery Spotting,Successful
AO22585-S007,AO22585,Alpha,2023-04-27,7,False,PUA,Successful
AO22585-S008,AO22585,Alpha,2023-06-07,8,False,PUA,Successful
AO22585-S009,AO22585,Alpha,2023-08-24,9,False,PUA,Successful
AO22585-S010,AO22585,Alpha,2023-11-14,10,False,PUA,Successful
AO22585-S011,AO22585,Alpha,2024-07-21,11,False,PUA,Successful
AO22585-S012,AO22585,Alpha,2024-08-16,12,False,PUA,Successful
AO22585-S013,AO22585,Alpha,2024-09-01,13,False,Laser-guided,Successful
AO22585-S014,AO22585,Alpha,2024-10-05,14,False,Training,Successful
AO22585-S015,AO22585,Alpha,2026-01-06,15,False,PUA,Successful
AO22585-S016,AO22585,Alpha,2026-05-06,16,False,Laser-guided,Successful
AO22585-S017,AO22585,Alpha,2026-06-21,17,False,Training,Successful
AO12461-S001,AO12461,Alpha,2021-01-20,1,True,PUA,Successful
AO12461-S002,AO12461,Alpha,2021-11-25,2,False,PUA,Successful
AO12461-S003,AO12461,Alpha,2023-03-18,3,False,Training,Successful
AO12461-S004,AO12461,Alpha,2023-08-13,4,False,PUA,Successful
AO12461-S005,AO12461,Alpha,2023-09-14,5,False,Laser-guided,Successful
AO12461-S006,AO12461,Alpha,2024-02-16,6,False,PUA,Successful
AO12461-S007,AO12461,Alpha,2024-05-22,7,False,PUA,Successful
AO12461-S008,AO12461,Alpha,2024-06-21,8,False,PUA,Successful
AO12461-S009,AO12461,Alpha,2024-07-07,9,False,Laser-guided,Successful
AO12461-S010,AO12461,Alpha,2024-07-27,10,False,Laser-guided,Successful
AO12461-S011,AO12461,Alpha,2024-11-29,11,False,PUA,Successful
AO12461-S012,AO12461,Alpha,2025-08-02,12,False,PUA,Successful
AO12461-S013,AO12461,Alpha,2025-08-21,13,False,PUA,Successful
AO12461-S014,AO12461,Alpha,2025-12-30,14,False,Laser-guided,Successful
AO12461-S015,AO12461,Alpha,2026-01-03,15,False,PUA,Successful
AO12461-S016,AO12461,Alpha,2026-02-14,16,False,PUA,Successful
AO12461-S017,AO12461,Alpha,2026-03-29,17,False,Artillery Spotting,Successful
AO12461-S018,AO12461,Alpha,2026-05-08,18,False,PUA,Successful
AO19336-S001,AO19336,Alpha,2021-01-13,1,True,PUA,Failed
AO19336-S002,AO19336,Alpha,2021-03-01,2,False,PUA,Successful
AO19336-S003,AO19336,Alpha,2021-03-31,3,False,Laser-guided,Successful
AO19336-S004,AO19336,Alpha,2021-04-16,4,False,PUA,Successful
AO19336-S005,AO19336,Alpha,2021-04-21,5,False,Laser-guided,Successful
AO19336-S006,AO19336,Alpha,2021-10-24,6,False,Laser-guided,Successful
AO19336-S007,AO19336,Alpha,2022-05-03,7,False,Artillery Spotting,Successful
AO19336-S008,AO19336,Alpha,2022-05-17,8,False,Laser-guided,Successful
AO19336-S009,AO19336,Alpha,2022-06-15,9,False,PUA,Successful
AO19336-S010,AO19336,Alpha,2022-12-21,10,False,PUA,Successful
AO19336-S011,AO19336,Alpha,2023-03-03,11,False,Laser-guided,Successful
AO19336-S012,AO19336,Alpha,2023-04-03,12,False,PUA,Successful
AO19336-S013,AO19336,Alpha,2023-07-17,13,False,PUA,Successful
AO19336-S014,AO19336,Alpha,2023-09-15,14,False,PUA,Successful
AO19336-S015,AO19336,Alpha,2023-09-25,15,False,Training,Successful
AO19336-S016,AO19336,Alpha,2023-10-21,16,False,PUA,Successful
AO19336-S017,AO19336,Alpha,2023-11-04,17,False,PUA,Successful
AO19336-S018,AO19336,Alpha,2024-05-14,18,False,PUA,Successful
AO19336-S019,AO19336,Alpha,2024-09-11,19,False,Laser-guided,Successful
AO19336-S020,AO19336,Alpha,2024-11-12,20,False,PUA,Successful
AO19336-S021,AO19336,Alpha,2024-12-12,21,False,Training,Successful
AO19336-S022,AO19336,Alpha,2024-12-31,22,False,Laser-guided,Successful
AO19336-S023,AO19336,Alpha,2025-03-19,23,False,Laser-guided,Successful
AO19336-S024,AO19336,Alpha,2025-03-27,24,False,Laser-guided,Successful
AO19336-S025,AO19336,Alpha,2026-05-11,25,False,Training,Successful
AO19336-S026,AO19336,Alpha,2026-06-16,26,False,PUA,Successful
AO17172-S001,AO17172,Alpha,2024-04-29,1,True,Laser-guided,Successful
AO17172-S002,AO17172,Alpha,2024-10-10,2,False,Training,Successful
AO17172-S003,AO17172,Alpha,2024-12-07,3,False,PUA,Successful
AO17172-S004,AO17172,Alpha,2025-04-05,4,False,Laser-guided,Successful
AO17172-S005,AO17172,Alpha,2025-09-16,5,False,Artillery Spotting,Successful
AO22921-S001,AO22921,Alpha,2022-05-15,1,True,Laser-guided,Failed
AO22921-S002,AO22921,Alpha,2022-09-11,2,False,Artillery Spotting,Successful
AO22921-S003,AO22921,Alpha,2022-10-28,3,False,Artillery Spotting,Successful
AO22921-S004,AO22921,Alpha,2023-01-15,4,False,PUA,Successful
AO22921-S005,AO22921,Alpha,2023-04-28,5,False,Laser-guided,Successful
AO22921-S006,AO22921,Alpha,2024-02-28,6,False,Training,Successful
AO22921-S007,AO22921,Alpha,2024-11-25,7,False,PUA,Successful
AO22921-S008,AO22921,Alpha,2024-12-26,8,False,Training,Successful
AO22921-S009,AO22921,Alpha,2025-07-03,9,False,PUA,Successful
AO20473-S001,AO20473,Alpha,2022-06-27,1,True,Laser-guided,Successful
AO20473-S002,AO20473,Alpha,2023-03-08,2,False,Training,Successful
AO20473-S003,AO20473,Alpha,2023-04-19,3,False,PUA,Successful
AO20473-S004,AO20473,Alpha,2023-06-05,4,False,Laser-guided,Successful
AO20473-S005,AO20473,Alpha,2023-06-28,5,False,Training,Successful
AO20473-S006,AO20473,Alpha,2024-03-01,6,False,Laser-guided,Successful
AO20473-S007,AO20473,Alpha,2024-10-02,7,False,Training,Successful
AO20473-S008,AO20473,Alpha,2025-03-20,8,False,Artillery Spotting,Successful
AO20473-S009,AO20473,Alpha,2025-05-25,9,False,PUA,Successful
AO20473-S010,AO20473,Alpha,2026-01-06,10,False,PUA,Successful
AO20473-S011,AO20473,Alpha,2026-03-10,11,False,Laser-guided,Successful
AO20473-S012,AO20473,Alpha,2026-04-24,12,False,Training,Successful
AO20473-S013,AO20473,Alpha,2026-05-06,13,False,PUA,Successful
AO11628-S001,AO11628,Alpha,2022-11-15,1,True,PUA,Successful
AO11628-S002,AO11628,Alpha,2023-09-04,2,False,PUA,Successful
AO11628-S003,AO11628,Alpha,2023-11-01,3,False,Laser-guided,Successful
AO11628-S004,AO11628,Alpha,2023-12-19,4,False,Artillery Spotting,Successful
AO11628-S005,AO11628,Alpha,2024-01-26,5,False,Laser-guided,Successful
AO11628-S006,AO11628,Alpha,2024-02-04,6,False,Artillery Spotting,Successful
AO11628-S007,AO11628,Alpha,2024-03-22,7,False,PUA,Successful
AO11628-S008,AO11628,Alpha,2024-08-22,8,False,PUA,Successful
AO11628-S009,AO11628,Alpha,2024-08-28,9,False,Laser-guided,Successful
AO11628-S010,AO11628,Alpha,2025-01-09,10,False,PUA,Successful
AO11628-S011,AO11628,Alpha,2025-01-11,11,False,Artillery Spotting,Failed
AO11628-S012,AO11628,Alpha,2026-04-23,12,False,PUA,Successful
AO21607-S001,AO21607,Alpha,2023-03-16,1,True,Artillery Spotting,Failed
AO21607-S002,AO21607,Alpha,2023-03-16,2,False,PUA,Successful
AO21607-S003,AO21607,Alpha,2023-05-26,3,False,PUA,Successful
AO21607-S004,AO21607,Alpha,2024-12-10,4,False,Artillery Spotting,Successful
AO21607-S005,AO21607,Alpha,2025-02-03,5,False,Laser-guided,Successful
AO21607-S006,AO21607,Alpha,2026-03-29,6,False,PUA,Successful
AO21607-S007,AO21607,Alpha,2026-06-02,7,False,Laser-guided,Successful
AO21607-S008,AO21607,Alpha,2026-06-10,8,False,PUA,Successful
AO21607-S009,AO21607,Alpha,2026-06-23,9,False,Artillery Spotting,Successful
AO17445-S001,AO17445,Alpha,2024-11-23,1,True,Laser-guided,Successful
AO17445-S002,AO17445,Alpha,2025-06-07,2,False,Training,Successful
AO17445-S003,AO17445,Alpha,2025-07-10,3,False,PUA,Successful
AO17445-S004,AO17445,Alpha,2025-08-26,4,False,PUA,Successful
AO22937-S001,AO22937,Alpha,2025-08-05,1,True,Training,Failed
