medal_id,person_id,department,medal_type,award_date,reason
M0048,AO12328,Alpha,Unit Commendation,2022-07-20,Contribution to unit-level achievement
M0049,AO12328,Alpha,International Cooperation Medal,2023-03-21,Contribution to joint/NATO training exercises
M0050,AO12328,Alpha,Unit Commendation,2024-07-11,Contribution to unit-level achievement
M0051,AO12328,Alpha,Operational Excellence Medal,2026-02-26,Exceptional performance during operational missions
M0052,AO25328,Alpha,International Cooperation Medal,2025-06-13,Contribution to joint/NATO training exercises
M0053,AO25328,Alpha,Operational Excellence Medal,2026-03-28,Exceptional performance during operational missions
M0054,AO24416,Alpha,Operational Excellence Medal,2024-08-13,Exceptional performance during operational missions
M0055,AO24416,Alpha,Meritorious Service Medal,2026-05-01,Sustained high standard of duty performance
M0056,AO24416,Alpha,International Cooperation Medal,2025-09-16,Contribution to joint/NATO training exercises
M0057,AO24416,Alpha,Unit Commendation,2025-08-09,Contribution to unit-level achievement
M0058,AO22701,Alpha,Presidential Commendation,2024-03-02,Distinguished service recognized at command level
M0059,AO22701,Alpha,Presidential Commendation,2025-08-10,Distinguished service recognized at command level
M0060,AO24250,Alpha,Meritorious Service Medal,2026-01-22,Sustained high standard of duty performance
M0061,AO24250,Alpha,Distinguished Marksmanship Medal,2024-12-05,Recognized shooting proficiency
M0062,AO24250,Alpha,International Cooperation Medal,2025-03-13,Contribution to joint/NATO training exercises
M0063,AO24250,Alpha,Years of Service Medal,2025-10-29,Long and continuous military service
M0064,AO22585,Alpha,Unit Commendation,2022-06-02,Contribution to unit-level achievement
M0065,AO22585,Alpha,Presidential Commendation,2023-05-14,Distinguished service recognized at command level
M0066,AO22585,Alpha,Operational Excellence Medal,2024-05-20,Exceptional performance during operational missions
M0067,AO22585,Alpha,Meritorious Service Medal,2025-10-22,Sustained high standard of duty performance
M0068,AO12461,Alpha,Unit Commendation,2025-01-22,Contribution to unit-level achievement
M0069,AO19336,Alpha,Meritorious Service Medal,2021-12-23,Sustained high standard of duty performance
M0070,AO22921,Alpha,Years of Service Medal,2023-10-16,Long and continuous military service
M0071,AO20473,Alpha,Unit Commendation,2025-08-11,Contribution to unit-level achievement
M0072,AO20473,Alpha,International Cooperation Medal,2022-09-20,Contribution to joint/NATO training exercises
M0073,AO20473,Alpha,Operational Excellence Medal,2024-04-13,Exceptional performance during operational missions
M0074,AO24361,Alpha,Presidential Commendation,2026-05-23,Distinguished service recognized at command level
M0075,AO24361,Alpha,Presidential Commendation,2025-12-11,Distinguished service recognized at command level
M0076,AO24361,Alpha,Presidential Commendation,2024-11-14,Distinguished service recognized at command level
M0077,AO11628,Alpha,International Cooperation Medal,2026-05-09,Contribution to joint/NATO training exercises
M0078,AO21607,Alpha,Meritorious Service Medal,2025-06-23,Sustained high standard of duty performance
M0079,AO17445,Alpha,International Cooperation Medal,2026-06-16,Contribution to joint/NATO training exercises
M0080,AO23491,Alpha,Distinguished Marksmanship Medal,2025-09-30,Recognized shooting proficiency
M0081,AO23491,Alpha,Years of Service Medal,2023-10-14,Long and continuous military service
M0082,AO18742,Alpha,Operational Excellence Medal,2026-05-13,Exceptional performance during operational missions
M0083,AO15635,Alpha,Meritorious Service Medal,2023-03-19,Sustained high standard of duty performance
M0084,AO15635,Alpha,Years of Service Medal,2024-06-16,Long and continuous military service
M0085,AO15635,Alpha,Operational Excellence Medal,2023-08-30,Exceptional performance during operational missions
M0086,AO15635,Alpha,Presidential Commendation,2024-12-03,Distinguished service recognized at command level
M0087,G23402,Alpha,Years of Service Medal,2026-06-03,Long and continuous military service
M0088,G23402,Alpha,Unit Commendation,2026-06-15,Contribution to unit-level achievement
M0089,G19017,Alpha,Presidential Commendation,2026-02-25,Distinguished service recognized at command level
M0090,G19017,Alpha,Distinguished Marksmanship Medal,2021-01-18,Recognized shooting proficiency
M0091,G22746,Alpha,Distinguished Marksmanship Medal,2025-04-17,Recognized shooting proficiency
M0092,G22746,Alpha,Operational Excellence Medal,2025-05-09,Exceptional performance during operational missions
M0093,G18673,Alpha,International Cooperation Medal,2026-01-08,Contribution to joint/NATO training exercises
M0094,G18673,Alpha,Operational Excellence Medal,2023-09-02,Exceptional performance during operational missions
M0095,G18673,Alpha,International Cooperation Medal,2026-05-22,Contribution to joint/NATO training exercises
M0096,G18673,Alpha,Operational Excellence Medal,2024-02-25,Exceptional performance during operational missions
M0097,G18673,Alpha,International Cooperation Medal,2024-09-22,Contribution to joint/NATO training exercises
M0098,G11740,Alpha,Unit Commendation,2022-08-20,Contribution to unit-level achievement
M0099,G23944,Alpha,International Cooperation Medal,2024-02-11,Contribution to joint/NATO training exercises
M0100,G22677,Alpha,Operational Excellence Medal,2025-10-31,Exceptional performance during operational missions
M0101,G22677,Alpha,Distinguished Marksmanship Medal,2025-02-06,Recognized shooting proficiency
M0102,G22677,Alpha,Years of Service Medal,2024-11-01,Long and continuous military service
M0103,G25596,Alpha,Unit Commendation,2025-08-03,Contribution to unit-level achievement
M0104,G25878,Alpha,Unit Commendation,2025-08-18,Contribution to unit-level achievement
M0105,G22091,Alpha,Years of Service Medal,2026-06-03,Long and continuous military service
M0106,G22091,Alpha,Operational Excellence Medal,2025-08-16,Exceptional performance during operational missions
M0107,G18716,Alpha,Distinguished Marksmanship Medal,2022-05-20,Recognized shooting proficiency
M0108,G18716,Alpha,Meritorious Service Medal,2024-07-10,Sustained high standard of duty performance
M0109,G18716,Alpha,Meritorious Service Medal,2026-01-21,Sustained high standard of duty performance
M0110,G18716,Alpha,Meritorious Service Medal,2022-08-17,Sustained high standard of duty performance
M0111,G18716,Alpha,Meritorious Service Medal,2024-12-20,Sustained high standard of duty performance
M0112,G22153,Alpha,International Cooperation Medal,2023-10-07,Contribution to joint/NATO training exercises
M0113,G22153,Alpha,Years of Service Medal,2024-03-14,Long and continuous military service
M0114,G22153,Alpha,Operational Excellence Medal,2023-09-19,Exceptional performance during operational missions
M0115,G11488,Alpha,International Cooperation Medal,2023-06-19,Contribution to joint/NATO training exercises
M0116,G11488,Alpha,Presidential Commendation,2026-01-30,Distinguished service recognized at command level
M0117,G11488,Alpha,Operational Excellence Medal,2022-10-03,Exceptional performance during operational missions
M0118,G11488,Alpha,Presidential Commendation,2025-11-25,Distinguished service recognized at command level
M0119,G24197,Alpha,Meritorious Service Medal,2025-07-13,Sustained high standard of duty performance
M0120,G24197,Alpha,Presidential Commendation,2025-03-31,Distinguished service recognized at command level
M0121,G17139,Alpha,Unit Commendation,2024-08-13,Contribution to unit-level achievement
M0122,G22314,Alpha,Presidential Commendation,2024-07-09,Distinguished service recognized at command level
M0123,G22314,Alpha,Distinguished Marksmanship Medal,2023-04-30,Recognized shooting proficiency
M0124,G22314,Alpha,Meritorious Service Medal,2023-03-22,Sustained high standard of duty performance
M0125,G22314,Alpha,Presidential Commendation,2024-07-30,Distinguished service recognized at command level
M0126,G13885,Alpha,Meritorious Service Medal,2025-07-04,Sustained high standard of duty performance
M0127,G13885,Alpha,International Cooperation Medal,2025-12-08,Contribution to joint/NATO training exercises
M0128,G13885,Alpha,Presidential Commendation,2024-06-07,Distinguished service recognized at command level
M0129,G13885,Alpha,Meritorious Service Medal,2026-03-06,Sustained high standard of duty performance
M0130,G13885,Alpha,Presidential Commendation,2024-06-01,Distinguished service recognized at command level
M0131,G13885,Alpha,Operational Excellence Medal,2025-04-01,Exceptional performance during operational missions
M0132,G23673,Alpha,Operational Excellence Medal,2024-01-14,Exceptional performance during operational missions
M0133,G23673,Alpha,Unit Commendation,2024-04-24,Contribution to unit-level achievement
M0134,G23673,Alpha,Presidential Commendation,2025-06-19,Distinguished service recognized at command level
M0135,G24293,Alpha,Unit Commendation,2026-04-20,Contribution to unit-level achievement
M0136,G23445,Alpha,Meritorious Service Medal,2024-07-17,Sustained high standard of duty performance
M0137,G23445,Alpha,Meritorious Service Medal,2024-03-12,Sustained high standard of duty performance
M0138,G23445,Alpha,Meritorious Service Medal,2025-03-30,Sustained high standard of duty performance
M0139,G23445,Alpha,Meritorious Service Medal,2025-11-27,Sustained high standard of duty performance
M0140,G22206,Alpha,Distinguished Marksmanship Medal,2024-02-25,Recognized shooting proficiency
M0141,G23305,Alpha,Operational Excellence Medal,2026-05-14,Exceptional performance during operational missions
M0142,G23305,Alpha,International Cooperation Medal,2025-05-03,Contribution to joint/NATO training exercises
M0143,G23305,Alpha,Operational Excellence Medal,2024-09-06,Exceptional performance during operational missions
M0144,G23305,Alpha,Operational Excellence Medal,2023-11-22,Exceptional performance during operational missions
M0145,G24645,Alpha,Distinguished Marksmanship Medal,2025-08-31,Recognized shooting proficiency
M0146,G24645,Alpha,Operational Excellence Medal,2025-07-21,Exceptional performance during operational missions
M0147,G25276,Alpha,Meritorious Service Medal,2026-05-16,Sustained high standard of duty performance
M0148,G25276,Alpha,Meritorious Service Medal,2026-04-01,Sustained high standard of duty performance
M0149,G25276,Alpha,International Cooperation Medal,2025-08-09,Contribution to joint/NATO training exercises
M0150,G25276,Alpha,International Cooperation Medal,2026-02-26,Contribution to joint/NATO training exercises
M0151,G25276,Alpha,Presidential Commendation,2026-04-20,Distinguished service recognized at command level
M0152,G22585,Alpha,Presidential Commendation,2023-01-30,Distinguished service recognized at command level
M0153,G22585,Alpha,Meritorious Service Medal,2026-05-07,Sustained high standard of duty performance
M0154,G22585,Alpha,Presidential Commendation,2022-07-07,Distinguished service recognized at command level
M0155,G22585,Alpha,Unit Commendation,2025-02-19,Contribution to unit-level achievement
M0156,G22585,Alpha,Meritorious Service Medal,2023-11-29,Sustained high standard of duty performance
M0157,G18574,Alpha,Presidential Commendation,2026-03-07,Distinguished service recognized at command level
M0158,G18574,Alpha,Distinguished Marksmanship Medal,2026-01-21,Recognized shooting proficiency
M0159,G24422,Alpha,International Cooperation Medal,2025-03-18,Contribution to joint/NATO training exercises
M0160,G24379,Alpha,Years of Service Medal,2025-02-04,Long and continuous military service
M0161,G20209,Alpha,Distinguished Marksmanship Medal,2025-11-06,Recognized shooting proficiency
M0162,G20209,Alpha,Operational Excellence Medal,2022-03-05,Exceptional performance during operational missions
M0163,G20209,Alpha,Meritorious Service Medal,2023-02-07,Sustained high standard of duty performance
M0164,G20209,Alpha,Operational Excellence Medal,2023-09-21,Exceptional performance during operational missions
M0165,G15195,Alpha,Meritorious Service Medal,2023-12-11,Sustained high standard of duty performance
M0166,G15195,Alpha,Distinguished Marksmanship Medal,2025-11-14,Recognized shooting proficiency
M0167,G17797,Alpha,Presidential Commendation,2025-12-27,Distinguished service recognized at command level
M0168,G17797,Alpha,Operational Excellence Medal,2025-06-30,Exceptional performance during operational missions
M0169,G17797,Alpha,Distinguished Marksmanship Medal,2026-04-16,Recognized shooting proficiency
M0170,G17797,Alpha,International Cooperation Medal,2026-04-10,Contribution to joint/NATO training exercises
M0171,G17797,Alpha,Meritorious Service Medal,2026-02-10,Sustained high standard of duty performance
M0172,G19538,Alpha,Distinguished Marksmanship Medal,2025-10-24,Recognized shooting proficiency
M0173,G24344,Alpha,International Cooperation Medal,2025-08-17,Contribution to joint/NATO training exercises
M0174,G24344,Alpha,Meritorious Service Medal,2025-09-16,Sustained high standard of duty performance
M0175,G24344,Alpha,Years of Service Medal,2024-07-10,Long and continuous military service
M0176,G22249,Alpha,Distinguished Marksmanship Medal,2025-08-13,Recognized shooting proficiency
M0177,G11223,Alpha,International Cooperation Medal,2022-12-27,Contribution to joint/NATO training exercises
M0178,G25102,Alpha,Unit Commendation,2025-06-05,Contribution to unit-level achievement
M0179,G25102,Alpha,Years of Service Medal,2025-08-06,Long and continuous military service
M0180,G25102,Alpha,Distinguished Marksmanship Medal,2026-05-13,Recognized shooting proficiency
M0181,G25102,Alpha,Meritorious Service Medal,2026-02-04,Sustained high standard of duty performance
M0182,G25102,Alpha,Meritorious Service Medal,2025-07-30,Sustained high standard of duty performance
M0183,G13541,Alpha,Meritorious Service Medal,2025-11-07,Sustained high standard of duty performance
M0184,G21587,Alpha,Operational Excellence Medal,2024-12-03,Exceptional performance during operational missions
M0185,G21587,Alpha,Meritorious Service Medal,2023-03-11,Sustained high standard of duty performance
M0186,G21587,Alpha,Presidential Commendation,2026-01-25,Distinguished service recognized at command level
M0187,G21587,Alpha,Years of Service Medal,2024-11-17,Long and continuous military service
M0188,G08482,Alpha,Presidential Commendation,2023-10-14,Distinguished service recognized at command level
M0189,G08482,Alpha,Meritorious Service Medal,2023-09-20,Sustained high standard of duty performance
M0190,AO97199,Beta,Meritorious Service Medal,2022-07-25,Sustained high standard of duty performance
M0191,AO97199,Beta,Presidential Commendation,2026-02-15,Distinguished service recognized at command level
M0192,AO16486,Beta,Unit Commendation,2025-11-28,Contribution to unit-level achievement
M0193,AO16486,Beta,Distinguished Marksmanship Medal,2025-08-27,Recognized shooting proficiency
M0194,G15848,Beta,International Cooperation Medal,2024-04-19,Contribution to joint/NATO training exercises
M0195,AO21460,Beta,International Cooperation Medal,2025-07-08,Contribution to joint/NATO training exercises
M0196,AO21460,Beta,International Cooperation Medal,2025-12-28,Contribution to joint/NATO training exercises
M0197,AO21460,Beta,Years of Service Medal,2025-01-21,Long and continuous military service
M0198,AO21460,Beta,Operational Excellence Medal,2024-06-29,Exceptional performance during operational missions
M0199,AO21460,Beta,Distinguished Marksmanship Medal,2026-02-20,Recognized shooting proficiency
M0200,AO18804,Beta,Unit Commendation,2025-09-02,Contribution to unit-level achievement
M0201,AO18804,Beta,Distinguished Marksmanship Medal,2025-10-19,Recognized shooting proficiency
M0202,AO17999,Beta,Meritorious Service Medal,2025-10-24,Sustained high standard of duty performance
M0203,AO17999,Beta,Presidential Commendation,2026-04-02,Distinguished service recognized at command level
M0204,AO21945,Beta,International Cooperation Medal,2024-11-19,Contribution to joint/NATO training exercises
M0205,AO22715,Beta,Meritorious Service Medal,2026-04-07,Sustained high standard of duty performance
M0206,AO22715,Beta,Years of Service Medal,2025-11-18,Long and continuous military service
M0207,AO22715,Beta,Years of Service Medal,2022-02-24,Long and continuous military service
M0208,AO22715,Beta,Presidential Commendation,2026-06-19,Distinguished service recognized at command level
M0209,AO22715,Beta,Presidential Commendation,2025-10-12,Distinguished service recognized at command level
M0210,AO22715,Beta,Years of Service Medal,2024-02-24,Long and continuous military service
M0211,AO16664,Beta,Distinguished Marksmanship Medal,2024-08-25,Recognized shooting proficiency
M0212,AO24322,Beta,Distinguished Marksmanship Medal,2024-02-07,Recognized shooting proficiency
M0213,AO24322,Beta,Operational Excellence Medal,2025-02-16,Exceptional performance during operational missions
M0214,AO24322,Beta,Presidential Commendation,2024-12-10,Distinguished service recognized at command level
M0215,AO24322,Beta,Distinguished Marksmanship Medal,2024-05-29,Recognized shooting proficiency
M0216,AO24715,Beta,Operational Excellence Medal,2026-05-11,Exceptional performance during operational missions
M0217,AO24715,Beta,Presidential Commendation,2025-06-20,Distinguished service recognized at command level
M0218,AO24715,Beta,Years of Service Medal,2026-05-09,Long and continuous military service
M0219,AO24715,Beta,International Cooperation Medal,2026-06-23,Contribution to joint/NATO training exercises
M0220,AO16557,Beta,International Cooperation Medal,2023-05-16,Contribution to joint/NATO training exercises
M0221,AO16557,Beta,Years of Service Medal,2023-06-30,Long and continuous military service
M0222,AO16557,Beta,Years of Service Medal,2023-09-06,Long and continuous military service
M0223,AO20423,Beta,Unit Commendation,2024-06-12,Contribution to unit-level achievement
M0224,AO20423,Beta,Distinguished Marksmanship Medal,2024-01-09,Recognized shooting proficiency
M0225,AO20423,Beta,Distinguished Marksmanship Medal,2025-10-27,Recognized shooting proficiency
M0226,AO15870,Beta,Years of Service Medal,2023-07-31,Long and continuous military service
M0227,AO24225,Beta,Years of Service Medal,2024-10-27,Long and continuous military service
M0228,AO24225,Beta,Presidential Commendation,2026-04-22,Distinguished service recognized at command level
M0229,AO24225,Beta,Operational Excellence Medal,2025-07-08,Exceptional performance during operational missions
M0230,AO24225,Beta,Unit Commendation,2025-01-06,Contribution to unit-level achievement
M0231,AO24481,Beta,Unit Commendation,2025-08-06,Contribution to unit-level achievement
M0232,AO23007,Beta,Presidential Commendation,2025-07-04,Distinguished service recognized at command level
M0233,AO21316,Beta,Unit Commendation,2023-01-17,Contribution to unit-level achievement
M0234,AO24203,Beta,Operational Excellence Medal,2025-02-15,Exceptional performance during operational missions
M0235,AO20690,Beta,Distinguished Marksmanship Medal,2025-07-11,Recognized shooting proficiency
M0236,AO20690,Beta,Unit Commendation,2025-12-13,Contribution to unit-level achievement
M0237,AO19316,Beta,Operational Excellence Medal,2022-04-07,Exceptional performance during operational missions
M0238,AO19316,Beta,Operational Excellence Medal,2026-01-16,Exceptional performance during operational missions
M0239,AO19316,Beta,International Cooperation Medal,2024-11-10,Contribution to joint/NATO training exercises
M0240,AO20211,Beta,Operational Excellence Medal,2023-11-20,Exceptional performance during operational missions
M0241,AO14299,Beta,Presidential Commendation,2025-06-28,Distinguished service recognized at command level
M0242,AO22709,Beta,International Cooperation Medal,2025-08-31,Contribution to joint/NATO training exercises
M0243,AO18592,Beta,Presidential Commendation,2025-08-22,Distinguished service recognized at command level
M0244,AO18652,Beta,Unit Commendation,2026-04-25,Contribution to unit-level achievement
M0245,AO18652,Beta,Distinguished Marksmanship Medal,2026-01-07,Recognized shooting proficiency
M0246,AO18652,Beta,Presidential Commendation,2025-09-01,Distinguished service recognized at command level
M0247,AO18652,Beta,Operational Excellence Medal,2025-12-13,Exceptional performance during operational missions
M0248,AO24038,Beta,International Cooperation Medal,2026-02-17,Contribution to joint/NATO training exercises
M0249,AO24038,Beta,Meritorious Service Medal,2026-02-18,Sustained high standard of duty performance
M0250,AO24038,Beta,Years of Service Medal,2026-04-09,Long and continuous military service
M0251,AO25050,Beta,International Cooperation Medal,2025-08-06,Contribution to joint/NATO training exercises
M0252,AO25050,Beta,Unit Commendation,2026-01-02,Contribution to unit-level achievement
M0253,AO25050,Beta,Unit Commendation,2026-05-02,Contribution to unit-level achievement
M0254,AO25050,Beta,Presidential Commendation,2025-08-01,Distinguished service recognized at command level
M0255,AO25050,Beta,Distinguished Marksmanship Medal,2026-01-27,Recognized shooting proficiency
M0256,AO24602,Beta,International Cooperation Medal,2025-07-06,Contribution to joint/NATO training exercises
M0257,AO16430,Beta,Meritorious Service Medal,2024-01-06,Sustained high standard of duty performance
M0258,AO16430,Beta,Meritorious Service Medal,2026-06-09,Sustained high standard of duty performance
M0259,AO16430,Beta,Operational Excellence Medal,2023-07-03,Exceptional performance during operational missions
M0260,AO23143,Beta,International Cooperation Medal,2024-03-20,Contribution to joint/NATO training exercises
M0261,AO24756,Beta,Years of Service Medal,2024-09-28,Long and continuous military service
M0262,AO24756,Beta,International Cooperation Medal,2025-08-23,Contribution to joint/NATO training exercises
M0263,AO24395,Beta,Meritorious Service Medal,2024-09-16,Sustained high standard of duty performance
M0264,AO24395,Beta,International Cooperation Medal,2026-04-11,Contribution to joint/NATO training exercises
M0265,AO24395,Beta,International Cooperation Medal,2026-05-23,Contribution to joint/NATO training exercises
M0266,AO24395,Beta,Operational Excellence Medal,2024-08-02,Exceptional performance during operational missions
M0267,AO24395,Beta,Presidential Commendation,2025-02-10,Distinguished service recognized at command level
M0268,AO23430,Beta,Operational Excellence Medal,2025-02-09,Exceptional performance during operational missions
M0269,AO23430,Beta,International Cooperation Medal,2023-12-31,Contribution to joint/NATO training exercises
M0270,AO24998,Beta,Years of Service Medal,2026-05-29,Long and continuous military service
M0271,AO24998,Beta,Operational Excellence Medal,2025-08-11,Exceptional performance during operational missions
M0272,G22440,Beta,Operational Excellence Medal,2026-06-06,Exceptional performance during operational missions
M0273,G22440,Beta,Unit Commendation,2022-09-29,Contribution to unit-level achievement
M0274,G22440,Beta,Unit Commendation,2026-01-22,Contribution to unit-level achievement
M0275,G23771,Beta,Unit Commendation,2025-02-04,Contribution to unit-level achievement
M0276,G23771,Beta,Years of Service Medal,2025-11-22,Long and continuous military service
M0277,G23771,Beta,Unit Commendation,2024-06-01,Contribution to unit-level achievement
M0278,G23771,Beta,International Cooperation Medal,2025-09-01,Contribution to joint/NATO training exercises
M0279,G23771,Beta,Unit Commendation,2024-05-29,Contribution to unit-level achievement
M0280,G23771,Beta,International Cooperation Medal,2025-07-20,Contribution to joint/NATO training exercises
M0281,G17117,Beta,Operational Excellence Medal,2022-09-18,Exceptional performance during operational missions
M0282,G15417,Beta,Unit Commendation,2025-06-03,Contribution to unit-level achievement
M0283,G15417,Beta,Operational Excellence Medal,2025-02-26,Exceptional performance during operational missions
M0284,G24483,Beta,Meritorious Service Medal,2025-05-09,Sustained high standard of duty performance
M0285,G24483,Beta,Unit Commendation,2025-05-19,Contribution to unit-level achievement
M0286,G22927,Beta,Operational Excellence Medal,2024-10-21,Exceptional performance during operational missions
M0287,G22927,Beta,Presidential Commendation,2024-09-24,Distinguished service recognized at command level
M0288,G22927,Beta,Meritorious Service Medal,2023-03-05,Sustained high standard of duty performance
M0289,G22927,Beta,Years of Service Medal,2022-09-26,Long and continuous military service
M0290,G22927,Beta,Years of Service Medal,2025-10-06,Long and continuous military service
M0291,G22927,Beta,Presidential Commendation,2024-06-11,Distinguished service recognized at command level
M0292,G24599,Beta,Years of Service Medal,2024-09-06,Long and continuous military service
M0293,G25161,Beta,Unit Commendation,2025-10-09,Contribution to unit-level achievement
M0294,G25161,Beta,Operational Excellence Medal,2025-12-02,Exceptional performance during operational missions
M0295,G25161,Beta,Distinguished Marksmanship Medal,2025-08-21,Recognized shooting proficiency
M0296,G13723,Beta,Unit Commendation,2023-02-02,Contribution to unit-level achievement
M0297,G24135,Beta,International Cooperation Medal,2025-10-16,Contribution to joint/NATO training exercises
M0298,G21624,Beta,Unit Commendation,2023-07-15,Contribution to unit-level achievement
M0299,G21223,Beta,Unit Commendation,2025-08-03,Contribution to unit-level achievement
M0300,G23268,Beta,Meritorious Service Medal,2024-05-14,Sustained high standard of duty performance
M0301,G23268,Beta,Years of Service Medal,2026-06-30,Long and continuous military service
M0302,G23268,Beta,Years of Service Medal,2024-06-21,Long and continuous military service
M0303,G23268,Beta,Presidential Commendation,2025-09-06,Distinguished service recognized at command level
M0304,G23268,Beta,Presidential Commendation,2025-12-19,Distinguished service recognized at command level
M0305,G23268,Beta,Years of Service Medal,2024-03-28,Long and continuous military service
M0306,G25106,Beta,Distinguished Marksmanship Medal,2025-08-17,Recognized shooting proficiency
M0307,G25106,Beta,Years of Service Medal,2025-10-02,Long and continuous military service
M0308,G25106,Beta,Operational Excellence Medal,2025-07-16,Exceptional performance during operational missions
M0309,G25106,Beta,Distinguished Marksmanship Medal,2025-12-14,Recognized shooting proficiency
M0310,G25990,Beta,Meritorious Service Medal,2026-04-20,Sustained high standard of duty performance
M0311,G25990,Beta,Meritorious Service Medal,2026-02-01,Sustained high standard of duty performance
M0312,G25990,Beta,Presidential Commendation,2025-07-13,Distinguished service recognized at command level
M0313,G25990,Beta,Years of Service Medal,2025-07-17,Long and continuous military service
M0314,G15161,Beta,Meritorious Service Medal,2022-07-04,Sustained high standard of duty performance
M0315,G15161,Beta,Operational Excellence Medal,2024-07-02,Exceptional performance during operational missions
M0316,G15161,Beta,Meritorious Service Medal,2025-05-01,Sustained high standard of duty performance
M0317,G15161,Beta,Meritorious Service Medal,2025-03-13,Sustained high standard of duty performance
M0318,G15161,Beta,Unit Commendation,2026-05-22,Contribution to unit-level achievement
M0319,G15161,Beta,Unit Commendation,2023-12-05,Contribution to unit-level achievement
M0320,G24879,Beta,International Cooperation Medal,2025-08-27,Contribution to joint/NATO training exercises
M0321,G24879,Beta,Operational Excellence Medal,2024-05-16,Exceptional performance during operational missions
M0322,G24879,Beta,Distinguished Marksmanship Medal,2026-02-19,Recognized shooting proficiency
M0323,G16019,Beta,Unit Commendation,2024-06-11,Contribution to unit-level achievement
