"department","year","month","total_flight_hours","estimated_fuel_liters","total_shots","technical_problem_count"
"Delta",2023,11,"242.909999999999999","3802","4","0"
"Delta",2023,12,"465.27","7281","15","2"
"Delta",2024,1,"286.5899999999999995","4388","11","0"
"Delta",2024,2,"460.950000000000002","7057","6","1"
"Delta",2024,3,"618.810000000000008","9474","8","2"
"Delta",2024,4,"1089.389999999999996","16679","8","2"
"Delta",2024,5,"889.620000000000002","13620","11","0"
"Delta",2024,6,"1314.27","20121","9","2"
"Delta",2024,7,"1395.23999999999999","21361","16","4"
"Delta",2024,8,"963.210000000000003","14747","8","2"
"Delta",2024,9,"665.909999999999998","10195","5","0"
"Delta",2024,10,"780.149999999999993","11944","9","1"
"Delta",2024,11,"715.050000000000001","10947","14","1"
"Delta",2024,12,"242.490000000000002","3713","18","0"
"Delta",2025,1,"404.909999999999996","6256","12","1"
"Delta",2025,2,"578.2500000000000005","8934","13","4"
"Delta",2025,3,"670.710000000000001","10362","18","0"
"Delta",2025,4,"958.470000000000006","14808","12","1"
"Delta",2025,5,"1322.700000000000003","20436","14","3"
"Delta",2025,6,"1268.460000000000001","19598","18","4"
"Delta",2025,7,"782.820000000000001","12095","19","0"
"Delta",2025,8,"1003.079999999999999","15498","12","3"
"Delta",2025,9,"668.4899999999999945","10328","13","3"
"Delta",2025,10,"720.269999999999997","11128","18","0"
"Delta",2025,11,"473.9100000000000015","7322","10","1"
"Delta",2025,12,"567.09","8762","10","1"
"Delta",2026,1,"648.989999999999997","9845","11","1"
"Delta",2026,2,"415.83","6308","17","1"
"Delta",2026,3,"708.090000000000003","10742","11","3"
"Delta",2026,4,"594.960000000000005","9026","21","3"
"Delta",2026,5,"1548.780000000000006","23495","14","6"
"Delta",2026,6,"1112.250000000000001","16873","14","1"
"Gamma",2021,6,"1170.90","17388","1","3"
"Gamma",2021,7,"1211.43000000000001","17990","0","2"
"Gamma",2021,8,"1072.20000000000002","15922","2","0"
"Gamma",2021,9,"1297.529999999999986","19268","4","1"
"Gamma",2021,10,"507.929999999999998","7543","3","0"
"Gamma",2021,11,"585.960000000000005","8702","0","1"
"Gamma",2021,12,"399.06","5926","5","0"
"Gamma",2022,1,"596.549999999999998","9091","3","1"
"Gamma",2022,2,"607.020000000000004","9251","1","1"
"Gamma",2022,3,"604.470000000000001","9212","1","3"
"Gamma",2022,4,"789.89999999999999","12038","2","1"
"Gamma",2022,5,"1313.430000000000005","20017","2","3"
"Gamma",2022,6,"1036.650000000000005","15799","5","1"
"Gamma",2022,7,"1224.269999999999996","18658","3","0"
"Gamma",2022,8,"1154.91","17601","4","1"
"Gamma",2022,9,"769.320000000000002","11724","9","0"
"Gamma",2022,10,"581.190000000000003","8857","10","0"
"Gamma",2022,11,"449.19","6846","5","0"
"Gamma",2022,12,"360.000000000000002","5486","8","0"
"Gamma",2023,1,"198.75","2977","3","0"
"Gamma",2023,2,"360.539999999999997","5401","6","1"
"Gamma",2023,3,"570.269999999999996","8543","4","2"
"Gamma",2023,4,"986.370000000000013","14776","5","0"
"Gamma",2023,5,"1482.33","22205","8","1"
"Gamma",2023,6,"1069.169999999999996","16016","7","2"
"Gamma",2023,7,"1444.200000000000008","21634","5","3"
"Gamma",2023,8,"900.720000000000003","13493","10","1"
"Gamma",2023,9,"668.429999999999998","10013","6","0"
"Gamma",2023,10,"687.090000000000005","10293","8","1"
"Gamma",2023,11,"543.809999999999996","8146","8","0"
"Gamma",2023,12,"500.040000000000004","7491","3","0"
"Gamma",2024,1,"579.63","8810","6","0"
"Gamma",2024,2,"340.320000000000002","5173","5","2"
"Gamma",2024,3,"470.55","7152","12","1"
"Gamma",2024,4,"942.899999999999998","14332","12","2"
"Gamma",2024,5,"892.830000000000006","13571","9","3"
"Gamma",2024,6,"843.240000000000004","12817","11","3"
"Gamma",2024,7,"980.459999999999990","14903","12","3"
"Gamma",2024,8,"1408.139999999999992","21404","12","2"
"Gamma",2024,9,"885.029999999999996","13452","9","3"
"Gamma",2024,10,"400.6499999999999995","6090","9","1"
"Gamma",2024,11,"415.320000000000003","6313","20","0"
"Gamma",2024,12,"341.7599999999999995","5195","9","0"
"Gamma",2025,1,"524.789999999999997","7867","16","1"
"Gamma",2025,2,"567.7500000000000065","8511","25","0"
"Gamma",2025,3,"655.410000000000006","9825","19","2"
"Gamma",2025,4,"1113.299999999999998","16688","13","5"
"Gamma",2025,5,"1734.689999999999990","26003","16","3"
"Gamma",2025,6,"1197.60000000000002","17952","17","6"
"Gamma",2025,7,"1144.079999999999998","17150","21","7"
"Gamma",2025,8,"973.2899999999999965","14590","18","1"
"Gamma",2025,9,"1459.109999999999988","21872","14","4"
"Gamma",2025,10,"1025.099999999999997","15366","14","2"
"Gamma",2025,11,"647.5200000000000002","9706","13","1"
"Gamma",2025,12,"485.8499999999999985","7283","23","0"
"Gamma",2026,1,"252.5699999999999965","3720","14","1"
"Gamma",2026,2,"378.989999999999996","5583","15","0"
"Gamma",2026,3,"826.290000000000001","12171","25","3"
"Gamma",2026,4,"901.530000000000002","13280","16","3"
"Gamma",2026,5,"738.3900000000000010","10876","21","4"
"Gamma",2026,6,"1223.969999999999998","18029","13","2"
"Sigma",2021,1,"410.189999999999996","6473","0","0"
"Sigma",2021,2,"582.63","9194","2","0"
"Sigma",2021,3,"688.43999999999999","10864","1","3"
"Sigma",2021,4,"970.02000000000001","15307","2","1"
"Sigma",2021,5,"1543.71","24360","1","7"
"Sigma",2021,6,"896.58","14148","2","3"
"Sigma",2021,7,"955.230000000000016","15074","3","4"
"Sigma",2021,8,"701.34","11067","5","4"
"Sigma",2021,9,"864.06","13635","3","2"
"Sigma",2021,10,"309.24","4880","5","0"
"Sigma",2021,11,"517.800000000000007","8171","2","3"
"Sigma",2021,12,"451.62","7127","7","5"
"Sigma",2022,1,"241.379999999999999","3599","3","0"
"Sigma",2022,2,"312.72","4663","3","0"
"Sigma",2022,3,"563.190000000000004","8397","1","1"
"Sigma",2022,4,"748.680000000000005","11163","4","2"
"Sigma",2022,5,"1654.98","24676","3","3"
"Sigma",2022,6,"819.33","12216","6","4"
"Sigma",2022,7,"880.500000000000009","13128","3","2"
"Sigma",2022,8,"862.290000000000008","12857","3","4"
"Sigma",2022,9,"694.140000000000005","10350","5","3"
"Sigma",2022,10,"813.840000000000002","12134","9","1"
"Sigma",2022,11,"205.320000000000001","3061","3","1"
"Sigma",2022,12,"560.819999999999997","8362","7","1"
"Sigma",2023,1,"570.239999999999996","8833","8","1"
"Sigma",2023,2,"661.50","10247","7","3"
"Sigma",2023,3,"565.859999999999999","8765","5","0"
"Sigma",2023,4,"454.709999999999992","7043","11","1"
"Sigma",2023,5,"978.270000000000009","15153","5","3"
"Sigma",2023,6,"954.449999999999995","14784","14","0"
"Sigma",2023,7,"1476.449999999999994","22870","14","8"
"Sigma",2023,8,"1179.119999999999989","18265","15","5"
"Sigma",2023,9,"944.460000000000004","14630","10","3"
"Sigma",2023,10,"965.190000000000007","14951","4","2"
"Sigma",2023,11,"829.110000000000016","12843","5","3"
"Sigma",2023,12,"547.83","8486","11","0"
"Sigma",2024,1,"636.690000000000011","9665","10","1"
"Sigma",2024,2,"509.220000000000003","7730","9","2"
"Sigma",2024,3,"415.350000000000000","6305","13","1"
"Sigma",2024,4,"1154.160000000000010","17520","10","5"
"Sigma",2024,5,"1081.620000000000013","16419","20","6"
"Sigma",2024,6,"664.919999999999996","10093","11","3"
"Sigma",2024,7,"1073.910000000000001","16302","9","5"
"Sigma",2024,8,"941.580000000000002","14293","9","4"
"Sigma",2024,9,"880.3800000000000005","13364","4","1"
"Sigma",2024,10,"803.219999999999995","12193","17","4"
"Sigma",2024,11,"493.0500000000000005","7484","8","1"
"Sigma",2024,12,"926.099999999999993","14058","13","3"
"Sigma",2025,1,"566.399999999999999","8354","12","2"
"Sigma",2025,2,"666.180000000000002","9826","6","2"
"Sigma",2025,3,"787.259999999999998","11612","17","3"
"Sigma",2025,4,"901.440000000000000","13296","16","4"
"Sigma",2025,5,"1141.109999999999993","16831","10","6"
"Sigma",2025,6,"1306.800000000000011","19275","17","5"
"Sigma",2025,7,"959.9099999999999845","14159","13","7"
"Sigma",2025,8,"1254.419999999999993","18503","16","4"
"Sigma",2025,9,"1019.220000000000005","15033","18","4"
"Sigma",2025,10,"1024.650000000000008","15114","16","4"
"Sigma",2025,11,"764.8200000000000025","11281","17","3"
"Sigma",2025,12,"532.019999999999999","7847","18","0"
"Sigma",2026,1,"606.059999999999999","9582","20","3"
"Sigma",2026,2,"593.460000000000001","9383","18","1"
"Sigma",2026,3,"831.150000000000002","13140","21","2"
"Sigma",2026,4,"946.800000000000010","14969","21","7"
"Sigma",2026,5,"1257.240000000000016","19877","17","1"
"Sigma",2026,6,"971.160000000000018","15354","18","3"
