"person_id","department","person_total_hours","dept_avg_hours","diff_from_dept_avg"
"AO24481","Beta","297.230000000000002","870.7","-573.5"
"AO18804","Beta","277.73","870.7","-593.0"
"AO24395","Beta","271.750000000000005","870.7","-598.9"
"AO18652","Beta","247.100000000000001","870.7","-623.6"
"G25161","Beta","245.66","870.7","-625.0"
"AO24998","Beta","235.31","870.7","-635.4"
"AO16664","Beta","221.360000000000003","870.7","-649.3"
"G25990","Beta","220.779999999999999","870.7","-649.9"
"G25106","Beta","216.509999999999998","870.7","-654.2"
"G08986","Beta","206.45","870.7","-664.2"
"AO22709","Beta","148.96","870.7","-721.7"
"AO17999","Beta","146.839999999999999","870.7","-723.9"
"AO25050","Beta","129.17","870.7","-741.5"
"G15417","Beta","120.10","870.7","-750.6"
"G12516","Delta","3650.310000000000008","917.1","2733.2"
"AO18238","Delta","2902.759999999999996","917.1","1985.6"
"G11657","Delta","2798.869999999999987","917.1","1881.7"
"AO16242","Delta","2548.259999999999978","917.1","1631.1"
"G08440","Delta","2472.699999999999995","917.1","1555.6"
"AO14187","Delta","2197.0200000000000005","917.1","1279.9"
"AO13289","Delta","2140.090000000000008","917.1","1222.9"
"AO18186","Delta","1941.4699999999999985","917.1","1024.3"
"AO17682","Delta","1783.21","917.1","866.1"
"AO22316","Delta","1730.379999999999998","917.1","813.2"
"AO16360","Delta","1448.270000000000013","917.1","531.1"
"AO20436","Delta","1256.859999999999998","917.1","339.7"
"AO21091","Delta","1165.309999999999998","917.1","248.2"
"AO14271","Delta","1145.689999999999999","917.1","228.5"
"G23314","Delta","1101.5600000000000035","917.1","184.4"
"AO12824","Delta","1098.2500000000000055","917.1","181.1"
"AO05709","Delta","1037.600000000000002","917.1","120.5"
"G20303","Delta","1035.439999999999999","917.1","118.3"
"AO18342","Delta","1019.089999999999996","917.1","101.9"
"AO17015","Delta","989.05","917.1","71.9"
"AO12189","Delta","828.280000000000007","917.1","-88.9"
"AO23991","Delta","807.860000000000006","917.1","-109.3"
"AO13576","Delta","802.899999999999995","917.1","-114.2"
"AO15781","Delta","797.890000000000009","917.1","-119.3"
"AO24278","Delta","701.730000000000002","917.1","-215.4"
"AO24631","Delta","688.28","917.1","-228.9"
"G23726","Delta","682.239999999999998","917.1","-234.9"
"G16308","Delta","675.250000000000005","917.1","-241.9"
"AO23475","Delta","578.029999999999990","917.1","-339.1"
"G24868","Delta","565.520000000000000","917.1","-351.6"
"G19777","Delta","548.03","917.1","-369.1"
"G22662","Delta","523.310000000000001","917.1","-393.8"
"G24443","Delta","512.39","917.1","-404.8"
"AO25379","Delta","498.340000000000003","917.1","-418.8"
"AO18046","Delta","490.95","917.1","-426.2"
"AO11296","Delta","470.809999999999997","917.1","-446.3"
"AO18148","Delta","466.67000000000000","917.1","-450.5"
"AO23405","Delta","447.43","917.1","-469.7"
"G20911","Delta","446.669999999999999","917.1","-470.5"
"G21722","Delta","436.75","917.1","-480.4"
"AO24190","Delta","429.30","917.1","-487.8"
"AO24578","Delta","371.029999999999998","917.1","-546.1"
"G21369","Delta","367.250000000000003","917.1","-549.9"
"AO21963","Delta","332.190000000000001","917.1","-585.0"
"G22580","Delta","319.909999999999999","917.1","-597.2"
"AO20306","Delta","309.95","917.1","-607.2"
"AO15583","Delta","307.16","917.1","-610.0"
"G23263","Delta","299.369999999999999","917.1","-617.8"
"G11545","Delta","294.460000000000001","917.1","-622.7"
"G22464","Delta","274.840000000000000","917.1","-642.3"
"AO22207","Delta","261.949999999999995","917.1","-655.2"
"AO25477","Delta","261.86","917.1","-655.3"
"AO12061","Delta","260.06","917.1","-657.1"
"AO25711","Delta","232.060000000000002","917.1","-685.1"
"G18149","Delta","212.720000000000001","917.1","-704.4"
"G07690","Delta","208.14","917.1","-709.0"
"AO25607","Delta","103.42","917.1","-813.7"
"AO21429","Gamma","3359.910000000000011","868.3","2491.6"
"G08994","Gamma","2414.239999999999994","868.3","1545.9"
"G17751","Gamma","2073.459999999999996","868.3","1205.1"
"AO15343","Gamma","2011.400000000000002","868.3","1143.1"
"AO17072","Gamma","1786.000000000000004","868.3","917.7"
"G16237","Gamma","1745.1100000000000075","868.3","876.8"
"AO16652","Gamma","1702.430000000000007","868.3","834.1"
"AO20240","Gamma","1497.120000000000000","868.3","628.8"
"AO21911","Gamma","1449.629999999999996","868.3","581.3"
"AO21394","Gamma","1445.740000000000006","868.3","577.4"
"AO97317","Gamma","1436.269999999999992","868.3","567.9"
"AO18360","Gamma","1414.010000000000016","868.3","545.7"
"AO17667","Gamma","1397.610000000000014","868.3","529.3"
"G21265","Gamma","1352.949999999999992","868.3","484.6"
"AO11938","Gamma","1338.049999999999991","868.3","469.7"
"G18229","Gamma","1297.710000000000001","868.3","429.4"
"AO16958","Gamma","1228.779999999999995","868.3","360.5"
"AO19192","Gamma","1056.730000000000005","868.3","188.4"
"G12759","Gamma","902.8399999999999985","868.3","34.5"
"G23950","Gamma","894.279999999999998","868.3","26.0"
"G21193","Gamma","888.189999999999997","868.3","19.9"
"G23405","Gamma","831.850000000000003","868.3","-36.5"
"AO17637","Gamma","826.759999999999997","868.3","-41.6"
"AO23557","Gamma","822.259999999999991","868.3","-46.1"
"AO13655","Gamma","791.350000000000005","868.3","-77.0"
"AO15626","Gamma","747.590000000000009","868.3","-120.7"
"AO24475","Gamma","743.45","868.3","-124.9"
"AO24451","Gamma","701.89","868.3","-166.4"
"AO23316","Gamma","675.729999999999998","868.3","-192.6"
"AO23313","Gamma","672.510000000000000","868.3","-195.8"
"AO16860","Gamma","653.169999999999998","868.3","-215.2"
"AO24985","Gamma","572.8800000000000015","868.3","-295.4"
"AO12822","Gamma","572.339999999999997","868.3","-296.0"
"G21712","Gamma","568.55","868.3","-299.8"
"AO14416","Gamma","541.59","868.3","-326.7"
"G24625","Gamma","511.7999999999999975","868.3","-356.5"
"G13338","Gamma","498.580000000000001","868.3","-369.7"
"AO24650","Gamma","465.159999999999996","868.3","-403.2"
"AO24579","Gamma","448.01","868.3","-420.3"
"G11534","Gamma","437.919999999999998","868.3","-430.4"
"AO25736","Gamma","431.68","868.3","-436.6"
"G24740","Gamma","424.210000000000001","868.3","-444.1"
"AO24080","Gamma","413.52","868.3","-454.8"
"AO24665","Gamma","395.689999999999996","868.3","-472.6"
"G24228","Gamma","386.1099999999999992","868.3","-482.2"
"G24055","Gamma","366.449999999999998","868.3","-501.9"
"AO12488","Gamma","327.079999999999993","868.3","-541.2"
"G10034","Gamma","260.2399999999999985","868.3","-608.1"
"AO25008","Gamma","258.620000000000003","868.3","-609.7"
"G22914","Gamma","218.659999999999998","868.3","-649.7"
"G08825","Gamma","214.1900000000000015","868.3","-654.1"
"G23583","Gamma","210.890000000000002","868.3","-657.4"
"AO22118","Gamma","192.940000000000002","868.3","-675.4"
"AO21355","Gamma","181.61000000000001","868.3","-686.7"
"AO17887","Gamma","174.350000000000001","868.3","-694.0"
"AO14212","Gamma","134.09","868.3","-734.2"
"AO21206","Gamma","128.510000000000003","868.3","-739.8"
"AO17508","Sigma","2805.650000000000027","931.3","1874.3"
"G17341","Sigma","2724.910000000000008","931.3","1793.6"
"G21379","Sigma","2328.570000000000002","931.3","1397.2"
"AO20080","Sigma","2004.290000000000004","931.3","1073.0"
"AO13943","Sigma","1746.230000000000026","931.3","814.9"
"G21563","Sigma","1738.510000000000002","931.3","807.2"
"AO21436","Sigma","1690.620000000000000","931.3","759.3"
"AO20873","Sigma","1617.730000000000005","931.3","686.4"
"AO21263","Sigma","1600.490000000000021","931.3","669.2"
"AO18862","Sigma","1514.329999999999994","931.3","583.0"
"AO19031","Sigma","1510.840000000000003","931.3","579.5"
"AO11537","Sigma","1437.889999999999996","931.3","506.6"
"G22667","Sigma","1427.229999999999995","931.3","495.9"
"AO22093","Sigma","1334.990000000000002","931.3","403.7"
"AO22617","Sigma","1245.5899999999999965","931.3","314.3"
"AO12000","Sigma","1229.780000000000002","931.3","298.5"
"G17472","Sigma","1173.050000000000006","931.3","241.7"
"AO16212","Sigma","1167.589999999999999","931.3","236.3"
"AO22645","Sigma","1130.580000000000001","931.3","199.3"
"AO14671","Sigma","1109.640000000000002","931.3","178.3"
"AO23681","Sigma","1082.219999999999996","931.3","150.9"
"AO21878","Sigma","1042.509999999999999","931.3","111.2"
"AO14110","Sigma","1022.600000000000000","931.3","91.3"
"AO13467","Sigma","1008.449999999999984","931.3","77.1"
"G21228","Sigma","986.790000000000002","931.3","55.5"
"G22398","Sigma","966.500000000000002","931.3","35.2"
"G23248","Sigma","850.400000000000002","931.3","-80.9"
"AO12140","Sigma","785.330000000000000","931.3","-146.0"
"G23722","Sigma","779.340000000000004","931.3","-152.0"
"AO23780","Sigma","775.479999999999996","931.3","-155.8"
"AO22788","Sigma","743.469999999999995","931.3","-187.9"
"AO18793","Sigma","742.799999999999998","931.3","-188.5"
"G23853","Sigma","733.699999999999993","931.3","-197.6"
"AO24366","Sigma","612.140000000000007","931.3","-319.2"
"G21956","Sigma","611.2599999999999985","931.3","-320.1"
"AO21034","Sigma","606.410000000000005","931.3","-324.9"
"G10878","Sigma","571.270000000000004","931.3","-360.1"
"G24918","Sigma","518.150000000000004","931.3","-413.2"
"AO20321","Sigma","484.920000000000001","931.3","-446.4"
"AO24140","Sigma","474.440000000000008","931.3","-456.9"
"AO25376","Sigma","435.539999999999996","931.3","-495.8"
"G23967","Sigma","421.590000000000002","931.3","-509.7"
"AO25112","Sigma","399.409999999999991","931.3","-531.9"
"G24754","Sigma","398.189999999999998","931.3","-533.1"
"AO21338","Sigma","348.810000000000010","931.3","-582.5"
"G13596","Sigma","346.680000000000002","931.3","-584.6"
"G13345","Sigma","334.010000000000002","931.3","-597.3"
"AO25183","Sigma","285.41","931.3","-645.9"
"AO25541","Sigma","276.05000000000001","931.3","-655.3"
"G21555","Sigma","271.059999999999999","931.3","-660.3"
"AO25165","Sigma","270.490000000000005","931.3","-660.8"
"G25334","Sigma","269.780000000000005","931.3","-661.5"
"AO24582","Sigma","264.460000000000005","931.3","-666.9"
"G24895","Sigma","244.190000000000001","931.3","-687.1"
"AO97468","Sigma","230.6300000000000000","931.3","-700.7"
"AO17098","Sigma","216.44","931.3","-714.9"
"AO21707","Sigma","136.11","931.3","-795.2"
